Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/6/2018;10:40:51;12/10/2018;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;36354TAE2
12/6/2018;10:40:15;12/10/2018;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;36354TAE2
11/6/2018;13:45:56;11/8/2018;Trade;250000;100.050;;M;;_;_;-;-;B;D;C;36354TAE2
11/6/2018;13:41:42;11/8/2018;Trade;250000;100.150;;M;;_;_;-;-;S;D;C;36354TAE2
10/18/2018;09:47:26;10/22/2018;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;36354TAE2
10/18/2018;09:46:58;10/22/2018;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;36354TAE2
5/24/2018;11:02:38;5/29/2018;Trade;250000;99.695;;M;;_;_;-;-;S;D;C;36354TAE2
5/24/2018;11:02:08;5/29/2018;Trade;250000;99.645;;M;;_;_;-;-;B;D;C;36354TAE2
5/11/2018;12:22:51;5/15/2018;Cancel;1MM+;101.350;;M;;_;_;-;-;S;D;C;36354TAE2
5/11/2018;12:22:51;5/15/2018;Cancel;1MM+;101.350;;M;;_;_;-;-;S;D;C;36354TAE2
5/11/2018;12:09:05;5/15/2018;Cancel;1MM+;101.250;;M;;Z;_;-;-;B;D;C;36354TAE2
5/11/2018;12:09:05;5/15/2018;Cancel;1MM+;101.250;;M;;Z;_;-;-;B;D;C;36354TAE2
5/11/2018;11:17:45;5/15/2018;Cancel;1MM+;101.350;;M;;_;_;-;-;S;D;C;36354TAE2
5/11/2018;11:17:45;5/15/2018;Cancel;1MM+;101.350;;M;;_;_;-;-;S;D;C;36354TAE2
5/11/2018;11:16:34;5/15/2018;Cancel;1MM+;101.250;;M;;_;_;-;-;B;D;C;36354TAE2
5/11/2018;11:16:34;5/15/2018;Cancel;1MM+;101.250;;M;;_;_;-;-;B;D;C;36354TAE2
3/6/2018;09:11:00;3/8/2018;Trade;250000;99.795;;M;;_;_;-;-;S;D;C;36354TAE2
3/6/2018;09:09:25;3/8/2018;Trade;250000;99.745;;M;;_;_;-;-;B;D;C;36354TAE2
6/7/2017;10:36:31;6/12/2017;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;36354TAE2
6/7/2017;10:36:29;6/12/2017;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;36354TAE2
6/7/2017;10:36:27;6/12/2017;Trade;750000;100.800;;M;;_;_;-;-;S;D;C;36354TAE2
6/1/2017;12:13:59;6/6/2017;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;36354TAE2
6/1/2017;12:13:55;6/6/2017;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;36354TAE2
5/4/2017;10:15:00;5/9/2017;Trade;1MM+;100.750;;M;;_;_;-;-;B;D;C;36354TAE2
5/4/2017;10:15:00;5/9/2017;Trade;1MM+;100.850;;M;;_;_;-;-;S;D;C;36354TAE2
