Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/27/2020;15:31:50;5/29/2020;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;36354TAF9
5/27/2020;14:06:35;5/29/2020;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;36354TAF9
5/27/2020;14:04:21;5/29/2020;Trade;1MM+;97.250;;M;;_;_;-;-;B;D;C;36354TAF9
5/27/2020;13:44:00;5/29/2020;Trade;1MM+;97.250;;;;_;_;-;-;S;D;D;36354TAF9
3/24/2020;14:49:29;3/26/2020;Trade;750000;97.400;;M;;_;_;-;-;B;D;C;36354TAF9
3/24/2020;12:28:23;3/26/2020;Correction;750000;97.500;;M;;Z;_;-;-;S;D;C;36354TAF9
3/24/2020;12:28:23;3/26/2020;Cancel;750000;95.500;;M;;_;_;-;-;S;D;C;36354TAF9
3/24/2020;11:57:37;3/26/2020;Trade;650000;97.400;;M;;_;_;-;-;B;D;C;36354TAF9
3/24/2020;11:57:27;3/26/2020;Trade;650000;97.500;;M;;_;_;-;-;S;D;C;36354TAF9
3/24/2020;11:33:40;3/26/2020;Trade;1000000;97.450;;M;;_;_;-;-;B;D;C;36354TAF9
3/24/2020;11:31:39;3/26/2020;Trade;1000000;97.500;;M;;_;_;-;-;S;D;C;36354TAF9
1/21/2020;08:16:49;1/23/2020;Trade;500000;98.700;;M;;_;_;-;-;S;D;C;36354TAF9
1/21/2020;08:16:08;1/23/2020;Trade;500000;98.600;;M;;_;_;-;-;B;D;C;36354TAF9
11/20/2019;15:45:26;11/22/2019;Trade;250000;99.150;;M;;_;_;-;-;B;D;C;36354TAF9
11/20/2019;15:45:26;11/22/2019;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;36354TAF9
5/20/2019;13:09:34;5/22/2019;Trade;500000;99.400;;N;;_;_;-;-;B;D;C;36354TAF9
5/20/2019;13:09:34;5/22/2019;Trade;250000;99.500;;N;;_;_;-;-;S;D;C;36354TAF9
5/20/2019;13:09:34;5/22/2019;Trade;500000;99.500;;N;;_;_;-;-;S;D;C;36354TAF9
5/20/2019;13:09:34;5/22/2019;Trade;250000;99.400;;N;;_;_;-;-;B;D;C;36354TAF9
12/24/2018;13:32:32;12/27/2018;Trade;575000;100.250;;M;;T;_;-;-;B;D;C;36354TAF9
12/24/2018;13:32:09;12/27/2018;Trade;575000;100.250;;M;;T;_;-;-;B;D;C;36354TAF9
12/24/2018;13:30:26;12/27/2018;Trade;850000;100.250;;M;;T;_;-;-;B;D;C;36354TAF9
12/24/2018;11:58:26;12/27/2018;Cancel;1MM+;100.250;;M;;_;_;-;-;B;D;C;36354TAF9
12/24/2018;11:58:26;12/27/2018;Cancel;1MM+;100.250;;M;;_;_;-;-;B;D;C;36354TAF9
12/24/2018;11:57:26;12/27/2018;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;36354TAF9
11/14/2018;10:07:30;11/16/2018;Trade;1000000;101.850;;M;;_;_;-;-;S;D;C;36354TAF9
11/14/2018;10:06:58;11/16/2018;Trade;1MM+;101.850;;M;;_;_;-;-;S;D;C;36354TAF9
11/14/2018;10:06:23;11/16/2018;Trade;1MM+;101.750;;M;;_;_;-;-;B;D;C;36354TAF9
11/13/2018;09:35:57;11/15/2018;Trade;1MM+;101.850;;M;;_;_;-;-;S;D;C;36354TAF9
11/13/2018;09:35:04;11/15/2018;Trade;1MM+;101.750;;M;;_;_;-;-;B;D;C;36354TAF9
10/17/2018;10:30:32;10/19/2018;Cancel;1000000;101.750;;M;;_;_;-;-;B;D;C;36354TAF9
10/17/2018;10:30:32;10/19/2018;Cancel;1000000;101.750;;M;;_;_;-;-;B;D;C;36354TAF9
10/17/2018;10:30:00;10/19/2018;Trade;1000000;101.750;;M;;_;_;-;-;B;D;C;36354TAF9
10/17/2018;10:29:56;10/19/2018;Trade;250000;101.850;;M;;_;_;-;-;S;D;C;36354TAF9
10/17/2018;10:29:27;10/19/2018;Trade;250000;101.850;;M;;_;_;-;-;S;D;C;36354TAF9
10/17/2018;10:29:12;10/19/2018;Trade;250000;101.850;;M;;_;_;-;-;S;D;C;36354TAF9
10/17/2018;10:28:53;10/19/2018;Trade;250000;101.850;;M;;_;_;-;-;S;D;C;36354TAF9
9/27/2018;11:12:00;10/1/2018;Trade;350000;101.500;;M;;_;_;-;-;B;D;C;36354TAF9
9/27/2018;11:07:10;10/1/2018;Trade;350000;101.600;;M;;_;_;-;-;S;D;C;36354TAF9
8/6/2018;10:17:45;8/8/2018;Trade;250000;100.195;;M;;_;_;-;-;S;D;C;36354TAF9
8/6/2018;10:17:04;8/8/2018;Trade;250000;100.145;;M;;_;_;-;-;B;D;C;36354TAF9
7/6/2018;09:43:24;7/10/2018;Trade;300000;100.350;;M;;_;_;-;-;S;D;C;36354TAF9
7/6/2018;09:42:41;7/10/2018;Trade;300000;100.250;;M;;_;_;-;-;B;D;C;36354TAF9
6/5/2018;09:07:42;6/7/2018;Trade;250000;100.335;;M;;_;_;-;-;S;D;C;36354TAF9
6/5/2018;09:07:09;6/7/2018;Trade;250000;100.285;;M;;_;_;-;-;B;D;C;36354TAF9
3/22/2018;11:02:01;3/26/2018;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;36354TAF9
3/22/2018;11:01:58;3/26/2018;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;36354TAF9
11/22/2017;15:10:00;11/28/2017;Cancel;250000;100.000;;M;;_;_;-;-;S;D;C;36354TAF9
11/22/2017;15:10:00;11/28/2017;Correction;300000;100.000;;M;;_;_;-;-;S;D;C;36354TAF9
11/22/2017;15:06:35;11/28/2017;Trade;300000;99.900;;M;;_;_;-;-;B;D;C;36354TAF9
