Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/31/2018;14:00:00;1/3/2019;Trade;1MM+;99.825;;M;;_;_;-;-;B;D;C;38123FAA6
12/31/2018;14:00:00;1/3/2019;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;38123FAA6
10/23/2018;12:25:00;10/25/2018;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;38123FAA6
10/23/2018;12:24:44;10/25/2018;Trade;1000000;99.800;;M;;_;_;-;-;B;D;C;38123FAA6
8/30/2018;12:29:34;9/4/2018;Trade;250000;100.175;;M;;_;_;-;-;S;D;C;38123FAA6
8/30/2018;12:29:03;9/4/2018;Trade;250000;100.125;;M;;_;_;-;-;B;D;C;38123FAA6
7/26/2018;09:38:56;7/30/2018;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;38123FAA6
7/26/2018;09:37:25;7/30/2018;Trade;500000;100.100;;M;;_;_;-;-;B;D;C;38123FAA6
6/27/2018;12:49:22;6/29/2018;Trade;250000;100.100;;M;;_;_;-;-;B;D;C;38123FAA6
6/27/2018;12:06:02;6/29/2018;Trade;250000;100.200;;M;;_;_;-;-;S;D;C;38123FAA6
6/27/2018;11:45:00;6/29/2018;Trade;500000;100.000;;M;;_;_;-;-;B;D;C;38123FAA6
6/27/2018;11:45:00;6/28/2018;Trade;500000;100.050;;M;;_;_;-;-;S;D;C;38123FAA6
6/7/2018;11:49:00;6/11/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;38123FAA6
6/7/2018;11:49:00;6/11/2018;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;38123FAA6
5/31/2018;10:00:10;6/4/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;38123FAA6
5/31/2018;09:59:16;6/4/2018;Trade;1MM+;100.110;;M;;_;_;-;-;B;D;C;38123FAA6
