Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/9/2020;09:35:22;6/11/2020;Trade;750000;98.350;;M;;_;_;-;-;S;;;38123FAB4
6/9/2020;09:26:15;6/11/2020;Trade;750000;98.250;;M;;_;_;-;-;B;;;38123FAB4
5/12/2020;10:12:04;5/14/2020;Trade;875000;98.350;;M;;_;_;-;-;S;D;C;38123FAB4
5/12/2020;10:11:14;5/14/2020;Trade;875000;98.250;;M;;_;_;-;-;B;D;C;38123FAB4
5/1/2020;11:17:36;5/5/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;38123FAB4
5/1/2020;11:16:50;5/5/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;38123FAB4
4/28/2020;10:27:41;4/30/2020;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;38123FAB4
4/28/2020;10:26:57;4/30/2020;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;38123FAB4
4/27/2020;11:26:48;4/29/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;38123FAB4
4/27/2020;11:26:03;4/29/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;38123FAB4
4/23/2020;11:56:26;4/27/2020;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;38123FAB4
4/23/2020;11:53:33;4/27/2020;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;38123FAB4
4/23/2020;11:30:44;4/27/2020;Trade;375000;98.350;;M;;_;_;-;-;S;D;C;38123FAB4
4/23/2020;11:28:50;4/27/2020;Trade;375000;98.250;;M;;_;_;-;-;B;D;C;38123FAB4
4/23/2020;09:05:31;4/27/2020;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;38123FAB4
4/23/2020;09:03:57;4/27/2020;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;38123FAB4
3/10/2020;13:33:01;3/12/2020;Trade;1000000;99.750;;M;;_;_;-;-;B;D;C;38123FAB4
3/10/2020;13:28:08;3/12/2020;Trade;1000000;99.850;;M;;_;_;-;-;S;D;C;38123FAB4
