Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/7/2020;13:01:24;5/11/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;45833UAC5
5/7/2020;13:01:24;5/11/2020;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;45833UAC5
7/15/2019;15:02:34;7/17/2019;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;45833UAC5
7/15/2019;15:01:56;7/17/2019;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;45833UAC5
7/15/2019;15:00:59;7/17/2019;Trade;500000;99.000;;M;;_;_;-;-;B;D;C;45833UAC5
4/12/2019;14:11:11;4/16/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;45833UAC5
4/12/2019;13:55:00;4/16/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;45833UAC5
12/6/2018;18:11:16;12/10/2018;Trade;475000;99.800;;M;;T;_;-;-;S;D;C;45833UAC5
12/6/2018;10:52:24;12/10/2018;Trade;375000;99.700;;M;;_;_;-;-;B;D;C;45833UAC5
12/6/2018;10:51:39;12/10/2018;Cancel;1MM+;99.800;;M;;_;_;-;-;S;D;C;45833UAC5
12/6/2018;10:51:39;12/10/2018;Correction;900000;99.800;;M;;U;_;-;-;S;D;C;45833UAC5
12/6/2018;10:50:30;12/10/2018;Trade;1000000;99.700;;M;;_;_;-;-;B;D;C;45833UAC5
8/15/2018;15:14:16;8/17/2018;Trade;650000;84.000;;M;;_;_;-;-;S;D;C;45833UAC5
8/15/2018;12:59:43;8/17/2018;Trade;650000;84.000;;M;;_;_;-;-;B;D;C;45833UAC5
6/5/2018;09:14:04;6/7/2018;Trade;250000;99.635;;M;;_;_;-;-;S;D;C;45833UAC5
6/5/2018;09:13:19;6/7/2018;Trade;250000;99.585;;M;;_;_;-;-;B;D;C;45833UAC5
5/25/2018;11:39:37;5/30/2018;Trade;1000000;100.200;;M;;_;_;-;-;S;D;C;45833UAC5
5/25/2018;11:37:00;5/30/2018;Trade;1000000;100.110;;M;;_;_;-;-;B;D;C;45833UAC5
11/20/2017;18:06:14;11/22/2017;Trade;375000;99.750;;M;;T;_;-;-;S;D;C;45833UAC5
11/20/2017;18:05:33;11/22/2017;Trade;375000;99.500;;M;;T;_;-;-;B;D;C;45833UAC5
11/14/2017;10:44:00;11/17/2017;Cancel;1MM+;100.450;;M;;_;_;-;-;B;D;C;45833UAC5
11/14/2017;10:44:00;11/17/2017;Cancel;1MM+;100.550;;M;;_;_;-;-;S;D;C;45833UAC5
11/14/2017;10:44:00;11/16/2017;Correction;1MM+;100.550;;M;;Z;_;-;-;S;D;C;45833UAC5
11/14/2017;10:44:00;11/16/2017;Correction;1MM+;100.450;;M;;Z;_;-;-;B;D;C;45833UAC5
10/11/2017;15:25:22;10/13/2017;Trade;750000;98.250;;M;;_;_;-;-;S;D;C;45833UAC5
10/11/2017;15:25:12;10/13/2017;Trade;750000;98.150;;M;;_;_;-;-;B;D;C;45833UAC5
5/18/2017;11:09:54;5/23/2017;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;45833UAC5
5/18/2017;11:09:51;5/23/2017;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;45833UAC5
5/17/2017;13:06:00;5/22/2017;Trade;1000000;100.200;;;;_;_;-;-;S;D;D;45833UAC5
5/17/2017;13:04:45;5/22/2017;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;45833UAC5
