Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/3/2020;09:42:07;4/7/2020;Trade;300000;99.800;;M;;_;_;-;-;S;D;C;45833UAD3
4/3/2020;09:41:12;4/7/2020;Trade;300000;99.700;;M;;_;_;-;-;B;D;C;45833UAD3
8/9/2019;10:32:11;8/13/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;;;45833UAD3
8/9/2019;10:30:27;8/13/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;45833UAD3
6/11/2019;11:31:04;6/13/2019;Trade;250000;98.900;;N;;_;_;-;-;B;D;C;45833UAD3
6/11/2019;11:31:04;6/13/2019;Trade;250000;99.000;;N;;_;_;-;-;S;D;C;45833UAD3
1/8/2019;11:30:33;1/10/2019;Trade;300000;99.750;;M;;_;_;-;-;B;D;C;45833UAD3
1/8/2019;11:30:24;1/10/2019;Trade;300000;99.650;;M;;_;_;-;-;S;D;C;45833UAD3
12/6/2018;10:53:50;12/10/2018;Trade;250000;99.750;;M;;_;_;-;-;S;D;C;45833UAD3
12/6/2018;10:53:09;12/10/2018;Trade;250000;99.650;;M;;_;_;-;-;B;D;C;45833UAD3
9/24/2018;13:51:00;9/26/2018;Trade;1000000;100.150;;N;;_;_;-;-;S;D;C;45833UAD3
9/24/2018;13:51:00;9/26/2018;Trade;1000000;100.050;;N;;_;_;-;-;B;D;C;45833UAD3
10/18/2017;15:16:47;10/20/2017;Trade;250000;98.850;;M;;_;_;-;-;S;D;C;45833UAD3
10/18/2017;15:13:06;10/20/2017;Trade;250000;98.750;;M;;_;_;-;-;B;D;C;45833UAD3
7/24/2017;11:48:00;7/27/2017;Trade;1MM+;101.400;;M;;_;_;-;-;B;D;C;45833UAD3
7/24/2017;11:48:00;7/27/2017;Trade;1MM+;101.500;;M;;_;_;-;-;S;D;C;45833UAD3
