Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/14/2020;13:32:03;7/16/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;49407QAA6
7/14/2020;13:31:09;7/16/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;49407QAA6
4/9/2020;09:33:44;4/14/2020;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;49407QAA6
4/9/2020;09:31:21;4/14/2020;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;49407QAA6
4/3/2020;13:16:20;4/7/2020;Trade;900000;97.150;;M;;_;_;-;-;S;D;C;49407QAA6
4/3/2020;13:16:20;4/7/2020;Trade;1MM+;97.060;;M;;_;_;-;-;B;D;C;49407QAA6
4/3/2020;13:16:20;4/7/2020;Trade;1MM+;97.130;;M;;_;_;-;-;S;D;C;49407QAA6
3/17/2020;13:59:17;3/19/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;49407QAA6
3/17/2020;13:40:17;3/19/2020;Trade;1MM+;96.940;;M;;_;_;-;-;S;D;C;49407QAA6
3/17/2020;13:37:30;3/19/2020;Trade;1MM+;96.890;;M;;_;_;-;-;B;D;C;49407QAA6
3/17/2020;13:29:23;3/19/2020;Trade;1MM+;97.500;;M;;Z;_;-;-;B;D;C;49407QAA6
3/12/2020;11:55:40;3/16/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;49407QAA6
3/12/2020;11:54:24;3/16/2020;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;49407QAA6
3/11/2020;12:57:13;3/13/2020;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;49407QAA6
3/11/2020;12:53:11;3/13/2020;Trade;1000000;98.750;;M;;_;_;-;-;B;D;C;49407QAA6
3/11/2020;11:57:54;3/13/2020;Trade;250000;98.750;;M;;_;_;-;-;B;D;C;49407QAA6
1/27/2020;11:28:46;1/29/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;49407QAA6
1/27/2020;11:27:46;1/29/2020;Trade;1MM+;99.460;;M;;_;_;-;-;B;D;C;49407QAA6
1/27/2020;11:26:54;1/29/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;49407QAA6
11/25/2019;13:15:45;11/27/2019;Trade;750000;98.900;;M;;_;_;-;-;S;D;C;49407QAA6
11/25/2019;13:15:36;11/27/2019;Trade;750000;98.800;;M;;_;_;-;-;B;D;C;49407QAA6
11/5/2019;11:44:25;11/7/2019;Trade;500000;101.300;;M;;_;_;-;-;B;D;C;49407QAA6
11/5/2019;11:44:25;11/7/2019;Trade;500000;101.400;;M;;_;_;-;-;S;D;C;49407QAA6
10/1/2019;09:47:08;10/3/2019;Trade;650000;101.165;;M;;_;_;-;-;S;D;C;49407QAA6
10/1/2019;09:36:35;10/3/2019;Trade;650000;101.115;;M;;_;_;-;-;B;D;C;49407QAA6
8/6/2019;10:37:26;8/8/2019;Trade;600000;97.250;;M;;_;_;-;-;S;D;C;49407QAA6
8/6/2019;10:36:31;8/8/2019;Trade;600000;97.150;;M;;_;_;-;-;B;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;675000;97.000;;N;;Z;_;-;A;B;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;625000;97.000;;N;;Z;_;-;A;B;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;625000;97.000;;M;;Z;_;-;A;S;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;275000;97.000;;N;;Z;_;-;A;B;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;675000;97.000;;M;;Z;_;-;A;S;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;275000;97.000;;M;;Z;_;-;A;S;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;300000;97.000;;M;;Z;_;-;A;S;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;300000;97.000;;N;;Z;_;-;A;B;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;1MM+;96.900;;M;;Z;_;-;-;B;D;C;49407QAA6
7/10/2019;11:28:00;7/12/2019;Trade;1MM+;96.900;;N;;Z;_;-;-;S;D;C;49407QAA6
7/10/2019;11:26:00;7/12/2019;Trade;825000;97.000;;N;;Z;_;-;A;B;D;C;49407QAA6
7/10/2019;11:26:00;7/12/2019;Trade;825000;97.000;;M;;Z;_;-;A;S;D;C;49407QAA6
5/14/2019;11:30:00;5/16/2019;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;49407QAA6
5/14/2019;11:29:00;5/16/2019;Trade;500000;97.400;;M;;_;_;-;-;B;D;C;49407QAA6
5/14/2019;11:28:49;5/16/2019;Trade;600000;97.400;;M;;_;_;-;-;B;D;C;49407QAA6
5/14/2019;11:28:32;5/16/2019;Trade;600000;97.400;;M;;_;_;-;-;B;D;C;49407QAA6
5/14/2019;11:28:23;5/16/2019;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;49407QAA6
3/26/2019;12:36:43;3/28/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;49407QAA6
3/26/2019;12:34:25;3/28/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;49407QAA6
3/26/2019;12:32:52;3/28/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;49407QAA6
3/21/2019;10:09:00;3/25/2019;Trade;750000;100.000;;;;_;_;-;-;S;D;D;49407QAA6
3/21/2019;09:58:59;3/25/2019;Trade;750000;100.100;;M;;_;_;-;-;S;D;C;49407QAA6
3/21/2019;08:57:21;3/25/2019;Trade;750000;100.100;;M;;_;_;-;-;S;D;C;49407QAA6
