Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/14/2020;15:44:23;7/16/2020;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;49407QAB4
7/14/2020;15:42:38;7/16/2020;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/25/2020;10:14:12;6/29/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;49407QAB4
6/25/2020;10:12:46;6/29/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;49407QAB4
6/24/2020;14:31:32;6/26/2020;Trade;500000;98.250;;M;;_;_;-;-;B;D;C;49407QAB4
6/24/2020;09:16:10;6/26/2020;Trade;500000;98.250;;M;;_;_;-;-;B;D;C;49407QAB4
6/24/2020;09:13:46;6/26/2020;Trade;500000;98.350;;M;;_;_;-;-;S;D;C;49407QAB4
6/24/2020;09:13:46;6/26/2020;Trade;500000;98.350;;M;;Z;_;-;-;S;D;C;49407QAB4
6/23/2020;10:45:59;6/25/2020;Trade;500000;98.250;;M;;_;_;-;-;B;D;C;49407QAB4
6/23/2020;10:45:14;6/25/2020;Trade;500000;98.350;;M;;_;_;-;-;S;D;C;49407QAB4
6/15/2020;09:40:18;6/17/2020;Trade;1000000;97.700;;M;;_;_;-;-;S;D;C;49407QAB4
6/15/2020;09:39:31;6/17/2020;Trade;1000000;97.600;;M;;_;_;-;-;B;D;C;49407QAB4
5/19/2020;11:10:03;5/21/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;49407QAB4
5/19/2020;11:00:16;5/21/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;49407QAB4
4/6/2020;09:07:54;4/8/2020;Trade;1MM+;97.330;;M;;_;_;-;-;S;D;C;49407QAB4
4/6/2020;09:07:54;4/8/2020;Trade;675000;97.350;;M;;_;_;-;-;S;D;C;49407QAB4
4/6/2020;09:07:49;4/8/2020;Cancel;1MM+;99.260;;M;;_;_;-;-;B;D;C;49407QAB4
4/6/2020;09:07:49;4/8/2020;Correction;1MM+;97.260;;M;;_;_;-;-;B;D;C;49407QAB4
3/31/2020;14:36:18;4/2/2020;Trade;1MM+;97.260;;M;;_;_;-;-;B;D;C;49407QAB4
3/31/2020;14:36:18;4/2/2020;Trade;1MM+;97.330;;M;;_;_;-;-;S;D;C;49407QAB4
3/31/2020;14:36:18;4/2/2020;Trade;1000000;97.350;;M;;_;_;-;-;S;D;C;49407QAB4
3/26/2020;13:56:24;3/30/2020;Trade;1000000;97.100;;M;;_;_;-;-;S;D;C;49407QAB4
3/26/2020;13:54:34;3/30/2020;Trade;1000000;97.050;;M;;_;_;-;-;B;D;C;49407QAB4
3/20/2020;15:58:15;3/24/2020;Trade;1MM+;96.790;;M;;_;_;-;-;S;D;C;49407QAB4
3/20/2020;15:58:15;3/24/2020;Trade;1MM+;96.790;;M;;_;_;-;-;S;D;C;49407QAB4
3/20/2020;13:47:05;3/24/2020;Trade;1MM+;96.690;;M;;_;_;-;-;B;D;C;49407QAB4
3/19/2020;16:40:47;3/23/2020;Trade;1MM+;97.790;;M;;_;_;-;-;S;D;C;49407QAB4
3/19/2020;16:39:16;3/23/2020;Trade;1MM+;97.690;;M;;_;_;-;-;B;D;C;49407QAB4
3/17/2020;14:12:31;3/19/2020;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;49407QAB4
3/17/2020;14:12:31;3/19/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;49407QAB4
3/13/2020;15:38:34;3/17/2020;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;49407QAB4
3/13/2020;15:38:34;3/17/2020;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;49407QAB4
3/11/2020;11:54:32;3/13/2020;Trade;250000;99.850;;M;;_;_;-;-;S;D;C;49407QAB4
3/11/2020;11:51:09;3/13/2020;Trade;250000;99.750;;M;;_;_;-;-;B;D;C;49407QAB4
1/28/2020;12:01:18;1/30/2020;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;49407QAB4
1/28/2020;12:00:46;1/30/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;49407QAB4
1/23/2020;10:47:52;1/27/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;49407QAB4
1/23/2020;10:47:03;1/27/2020;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;49407QAB4
12/12/2019;14:14:13;12/16/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;49407QAB4
12/12/2019;14:13:21;12/16/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;49407QAB4
12/12/2019;10:37:39;12/16/2019;Trade;500000;99.500;;M;;_;_;-;-;S;D;C;49407QAB4
12/12/2019;10:36:32;12/16/2019;Trade;500000;99.400;;M;;_;_;-;-;B;D;C;49407QAB4
11/25/2019;13:15:42;11/27/2019;Trade;750000;98.900;;M;;_;_;-;-;S;D;C;49407QAB4
11/25/2019;13:15:39;11/27/2019;Trade;750000;98.800;;M;;_;_;-;-;B;D;C;49407QAB4
10/16/2019;09:17:21;10/18/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;49407QAB4
10/16/2019;09:15:54;10/18/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;49407QAB4
9/23/2019;10:42:45;9/25/2019;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;49407QAB4
9/23/2019;10:42:12;9/25/2019;Trade;1000000;100.250;;M;;_;_;-;-;B;D;C;49407QAB4
8/19/2019;11:10:19;8/21/2019;Trade;500000;99.250;;M;;_;_;-;-;S;D;C;49407QAB4
8/19/2019;11:09:21;8/21/2019;Trade;500000;99.150;;M;;_;_;-;-;B;D;C;49407QAB4
8/9/2019;10:02:20;8/13/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
8/9/2019;10:00:14;8/13/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;;;49407QAB4
8/6/2019;08:31:05;8/8/2019;Trade;1000000;99.016;;M;;_;_;-;-;S;D;C;49407QAB4
8/6/2019;08:30:28;8/8/2019;Trade;1000000;98.984;;M;;_;_;-;-;B;D;C;49407QAB4
7/19/2019;09:18:26;7/23/2019;Trade;550000;98.900;;M;;_;_;-;-;S;D;C;49407QAB4
7/19/2019;09:15:24;7/23/2019;Trade;550000;98.800;;M;;_;_;-;-;B;D;C;49407QAB4
7/17/2019;10:07:52;7/19/2019;Trade;250000;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/17/2019;10:07:18;7/19/2019;Trade;250000;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/16/2019;10:08:32;7/18/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/16/2019;10:07:56;7/18/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/16/2019;09:02:53;7/18/2019;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/16/2019;08:52:41;7/18/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/16/2019;08:51:19;7/18/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/16/2019;08:50:46;7/18/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/12/2019;10:13:36;7/16/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/12/2019;10:12:54;7/16/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/11/2019;11:48:57;7/15/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/11/2019;11:48:12;7/15/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/9/2019;11:47:00;7/11/2019;Trade;1MM+;98.900;;M;;Z;_;-;A;B;D;C;49407QAB4
7/9/2019;11:47:00;7/11/2019;Trade;1MM+;98.900;;N;;Z;_;-;A;S;D;C;49407QAB4
7/9/2019;11:47:00;7/11/2019;Trade;1MM+;99.000;;M;;Z;_;-;-;S;D;C;49407QAB4
7/9/2019;11:47:00;7/11/2019;Trade;1MM+;99.000;;N;;Z;_;-;-;B;D;C;49407QAB4
7/9/2019;09:10:07;7/11/2019;Trade;1000000;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/9/2019;09:09:34;7/11/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/9/2019;09:05:44;7/11/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/2/2019;10:54:32;7/5/2019;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/2/2019;10:54:24;7/5/2019;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/2/2019;10:49:45;7/5/2019;Cancel;500000;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/2/2019;10:49:45;7/5/2019;Cancel;500000;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
7/2/2019;10:47:15;7/5/2019;Cancel;500000;89.900;;M;;_;_;-;-;B;D;C;49407QAB4
7/2/2019;10:47:15;7/5/2019;Cancel;500000;89.900;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:54:54;6/18/2019;Trade;250000;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:54:41;6/18/2019;Trade;250000;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:54:23;6/18/2019;Trade;325000;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:53:55;6/18/2019;Trade;250000;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:53:37;6/18/2019;Trade;250000;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:50:24;6/18/2019;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:19:26;6/18/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;49407QAB4
6/14/2019;14:18:24;6/18/2019;Cancel;1MM+;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/14/2019;14:18:24;6/18/2019;Cancel;1MM+;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
5/21/2019;10:33:25;5/23/2019;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;49407QAB4
5/21/2019;10:32:36;5/23/2019;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;49407QAB4
5/14/2019;09:32:50;5/16/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49407QAB4
5/14/2019;09:31:58;5/16/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49407QAB4
4/25/2019;09:43:01;4/29/2019;Trade;250000;99.500;;M;;_;_;-;-;S;D;C;49407QAB4
4/25/2019;09:42:17;4/29/2019;Trade;250000;99.400;;M;;_;_;-;-;B;D;C;49407QAB4
4/3/2019;10:38:26;4/5/2019;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;49407QAB4
4/3/2019;10:37:56;4/5/2019;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;49407QAB4
3/27/2019;10:11:08;3/29/2019;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;49407QAB4
3/27/2019;10:10:27;3/29/2019;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;49407QAB4
2/21/2019;11:53:22;2/25/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;49407QAB4
2/21/2019;11:52:14;2/25/2019;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;49407QAB4
2/14/2019;11:19:12;2/19/2019;Trade;250000;100.700;;M;;_;_;-;-;S;D;C;49407QAB4
2/14/2019;11:18:27;2/19/2019;Trade;250000;100.600;;M;;_;_;-;-;B;D;C;49407QAB4
1/7/2019;10:04:07;1/9/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;49407QAB4
1/7/2019;10:03:16;1/9/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;49407QAB4
1/7/2019;10:02:33;1/9/2019;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;49407QAB4
1/3/2019;13:55:10;1/7/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;49407QAB4
1/3/2019;13:54:32;1/7/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;49407QAB4
1/3/2019;13:53:57;1/7/2019;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;49407QAB4
12/12/2018;11:25:09;12/14/2018;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;49407QAB4
12/12/2018;11:24:24;12/14/2018;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;49407QAB4
12/12/2018;09:33:56;12/14/2018;Trade;345000;99.500;;M;;_;_;-;-;S;D;C;49407QAB4
12/12/2018;09:33:23;12/14/2018;Trade;345000;99.400;;M;;_;_;-;-;B;D;C;49407QAB4
11/28/2018;18:22:00;11/30/2018;Trade;345000;99.850;;M;;T;_;-;-;S;D;C;49407QAB4
11/28/2018;11:29:39;11/30/2018;Cancel;345000;99.850;;M;;_;_;-;-;S;D;C;49407QAB4
11/28/2018;11:29:39;11/30/2018;Cancel;345000;99.850;;M;;_;_;-;-;S;D;C;49407QAB4
11/28/2018;11:29:00;11/30/2018;Trade;345000;99.750;;M;;_;_;-;-;B;D;C;49407QAB4
11/15/2018;10:05:15;11/19/2018;Trade;425000;100.700;;M;;_;_;-;-;B;D;C;49407QAB4
11/15/2018;09:56:59;11/19/2018;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;49407QAB4
11/15/2018;09:56:16;11/19/2018;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;49407QAB4
11/14/2018;15:04:27;11/16/2018;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;49407QAB4
11/14/2018;15:00:31;11/16/2018;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;49407QAB4
11/14/2018;08:58:19;11/16/2018;Trade;685000;100.800;;M;;_;_;-;-;S;D;C;49407QAB4
11/14/2018;08:56:57;11/16/2018;Trade;685000;100.700;;M;;_;_;-;-;B;D;C;49407QAB4
8/10/2018;11:15:00;8/14/2018;Trade;500000;100.250;;N;;_;_;-;-;S;D;C;49407QAB4
8/10/2018;11:15:00;8/14/2018;Trade;500000;100.150;;N;;_;_;-;-;B;D;C;49407QAB4
8/10/2018;11:15:00;8/14/2018;Trade;500000;100.150;;N;;_;_;-;-;B;D;C;49407QAB4
8/10/2018;11:15:00;8/14/2018;Trade;500000;100.250;;N;;_;_;-;-;S;D;C;49407QAB4
7/10/2018;12:22:27;7/12/2018;Trade;1MM+;100.310;;M;;_;_;-;-;B;D;C;49407QAB4
7/10/2018;12:10:00;7/12/2018;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;49407QAB4
7/10/2018;12:09:09;7/12/2018;Trade;250000;100.310;;M;;_;_;-;-;B;D;C;49407QAB4
7/6/2018;12:00:33;7/10/2018;Trade;1MM+;100.850;;M;;_;_;-;-;S;D;C;49407QAB4
7/6/2018;12:00:05;7/10/2018;Trade;1MM+;100.750;;M;;_;_;-;-;B;D;C;49407QAB4
6/7/2018;12:08:00;6/11/2018;Trade;1MM+;101.350;;M;;_;_;-;-;S;D;C;49407QAB4
6/7/2018;12:08:00;6/11/2018;Trade;1MM+;101.250;;M;;_;_;-;-;B;D;C;49407QAB4
6/5/2018;09:16:21;6/7/2018;Correction;500000;100.755;;M;;Z;_;-;-;S;D;C;49407QAB4
6/5/2018;09:16:21;6/7/2018;Cancel;250000;100.755;;M;;_;_;-;-;S;D;C;49407QAB4
6/5/2018;09:15:49;6/7/2018;Cancel;250000;100.705;;M;;_;_;-;-;B;D;C;49407QAB4
6/5/2018;09:15:49;6/7/2018;Correction;500000;100.705;;M;;Z;_;-;-;B;D;C;49407QAB4
3/23/2018;12:19:51;3/27/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;49407QAB4
3/23/2018;12:19:46;3/27/2018;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;49407QAB4
3/12/2018;11:47:16;3/14/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;49407QAB4
3/12/2018;11:46:37;3/14/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;49407QAB4
11/20/2017;17:08:54;11/22/2017;Trade;1MM+;96.000;;M;;_;_;-;-;S;D;C;49407QAB4
11/20/2017;17:08:17;11/22/2017;Trade;1MM+;95.500;;M;;_;_;-;-;B;D;C;49407QAB4
10/10/2017;12:31:26;10/12/2017;Trade;1MM+;93.500;;M;;_;_;-;-;S;D;C;49407QAB4
