Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/25/2020;15:24:34;6/29/2020;Trade;1000000;98.500;;M;;Z;_;-;-;S;D;C;49407QAC2
6/25/2020;15:24:34;6/29/2020;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;49407QAC2
6/25/2020;13:05:08;6/29/2020;Trade;1MM+;98.550;;M;;_;_;-;-;S;D;C;49407QAC2
6/25/2020;13:05:08;6/29/2020;Trade;1MM+;98.550;;M;;_;_;-;-;S;D;C;49407QAC2
6/25/2020;13:03:36;6/29/2020;Trade;1MM+;98.450;;M;;Z;_;-;-;B;D;C;49407QAC2
6/25/2020;13:03:36;6/29/2020;Trade;1MM+;98.450;;M;;_;_;-;-;B;D;C;49407QAC2
6/25/2020;10:37:37;6/29/2020;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;49407QAC2
6/19/2020;11:32:19;6/23/2020;Trade;850000;98.100;;M;;_;_;-;-;S;D;C;49407QAC2
6/19/2020;11:20:05;6/23/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;49407QAC2
6/19/2020;11:16:26;6/23/2020;Correction;1MM+;98.100;;M;;_;_;-;-;S;D;C;49407QAC2
6/19/2020;11:16:26;6/23/2020;Cancel;1MM+;98.100;;M;;_;_;-;-;B;D;C;49407QAC2
6/18/2020;14:37:25;6/22/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;49407QAC2
6/18/2020;14:35:34;6/22/2020;Trade;1MM+;98.000;;M;;Z;_;-;-;B;D;C;49407QAC2
6/18/2020;14:35:34;6/22/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;49407QAC2
6/18/2020;13:41:03;6/22/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;49407QAC2
6/18/2020;13:41:03;6/22/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;49407QAC2
6/18/2020;13:41:03;6/22/2020;Trade;1000000;98.100;;M;;_;_;-;-;S;D;C;49407QAC2
6/18/2020;13:05:09;6/22/2020;Trade;1MM+;98.000;;M;;Z;_;-;-;B;D;C;49407QAC2
6/18/2020;13:05:09;6/22/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;49407QAC2
6/5/2020;13:32:52;6/9/2020;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;49407QAC2
6/5/2020;13:31:28;6/9/2020;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;49407QAC2
5/22/2020;11:23:12;5/27/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;49407QAC2
5/22/2020;11:23:12;5/27/2020;Trade;1000000;97.750;;M;;_;_;-;-;B;D;C;49407QAC2
5/22/2020;11:23:12;5/27/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;49407QAC2
5/22/2020;11:23:12;5/27/2020;Trade;250000;97.750;;M;;Z;_;-;-;B;D;C;49407QAC2
5/22/2020;11:23:12;5/27/2020;Trade;750000;97.750;;M;;Z;_;-;-;B;D;C;49407QAC2
5/22/2020;11:15:00;5/27/2020;Correction;1MM+;97.750;;;;Z;_;-;-;S;D;D;49407QAC2
5/22/2020;11:15:00;5/26/2020;Cancel;1MM+;97.750;;;;_;_;-;-;S;D;D;49407QAC2
5/13/2020;11:43:41;5/15/2020;Trade;957000;97.500;;M;;_;_;-;-;S;D;C;49407QAC2
5/13/2020;11:42:45;5/15/2020;Trade;957000;97.400;;M;;_;_;-;-;B;D;C;49407QAC2
5/12/2020;09:33:00;5/14/2020;Trade;1000000;97.500;;M;;_;_;-;-;S;D;C;49407QAC2
5/7/2020;14:10:21;5/11/2020;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;49407QAC2
5/7/2020;14:10:21;5/11/2020;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;49407QAC2
5/7/2020;13:01:24;5/11/2020;Trade;250000;97.750;;M;;_;_;-;-;S;D;C;49407QAC2
5/7/2020;13:01:24;5/11/2020;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;49407QAC2
5/7/2020;13:01:24;5/11/2020;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;49407QAC2
3/31/2020;13:56:39;4/2/2020;Trade;250000;97.250;;M;;_;_;-;-;S;D;C;49407QAC2
3/31/2020;13:56:01;4/2/2020;Trade;545000;97.230;;M;;_;_;-;-;S;D;C;49407QAC2
3/31/2020;13:55:21;4/2/2020;Trade;795000;97.160;;M;;_;_;-;-;B;D;C;49407QAC2
