Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/26/2020;13:28:02;3/30/2020;Trade;1MM+;95.100;;M;;_;_;-;-;S;D;C;49407QAD0
3/26/2020;13:27:59;3/30/2020;Trade;1MM+;95.000;;M;;_;_;-;-;B;D;C;49407QAD0
1/27/2020;10:52:48;1/29/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;49407QAD0
1/27/2020;10:52:03;1/29/2020;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;49407QAD0
8/14/2019;10:06:39;8/16/2019;Trade;1MM+;97.600;;M;;_;_;-;-;S;;;49407QAD0
8/14/2019;10:06:00;8/16/2019;Trade;1MM+;97.500;;M;;_;_;-;-;B;D;C;49407QAD0
8/14/2019;09:15:23;8/16/2019;Trade;450000;97.600;;M;;_;_;-;-;S;D;C;49407QAD0
8/14/2019;09:11:13;8/16/2019;Trade;450000;97.500;;M;;_;_;-;-;B;D;C;49407QAD0
2/26/2019;09:10:34;2/28/2019;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;49407QAD0
2/26/2019;09:09:46;2/28/2019;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;49407QAD0
2/22/2019;10:21:25;2/26/2019;Trade;250000;101.250;;M;;_;_;-;-;B;D;C;49407QAD0
2/22/2019;10:20:50;2/26/2019;Trade;250000;101.350;;M;;_;_;-;-;S;D;C;49407QAD0
12/12/2018;18:05:23;12/14/2018;Trade;375000;98.550;;M;;T;_;-;-;S;D;C;49407QAD0
12/12/2018;13:56:23;12/14/2018;Cancel;375000;98.550;;M;;_;_;-;-;S;D;C;49407QAD0
12/12/2018;13:56:23;12/14/2018;Cancel;375000;98.550;;M;;_;_;-;-;S;D;C;49407QAD0
12/12/2018;13:55:37;12/14/2018;Trade;375000;98.450;;M;;_;_;-;-;B;D;C;49407QAD0
12/10/2018;12:11:51;12/12/2018;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;49407QAD0
12/10/2018;12:10:47;12/12/2018;Trade;500000;99.500;;M;;_;_;-;-;B;D;C;49407QAD0
12/3/2018;09:24:08;12/5/2018;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;49407QAD0
12/3/2018;09:22:23;12/5/2018;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;49407QAD0
11/30/2018;09:41:24;12/4/2018;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;49407QAD0
11/30/2018;09:40:41;12/4/2018;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;49407QAD0
10/25/2018;14:15:00;10/29/2018;Trade;1MM+;100.750;;M;;_;_;-;-;B;D;C;49407QAD0
10/25/2018;14:15:00;10/29/2018;Trade;1MM+;100.850;;M;;_;_;-;-;S;D;C;49407QAD0
9/27/2018;10:15:53;10/1/2018;Trade;1MM+;100.600;;M;;Z;_;-;-;S;D;C;49407QAD0
9/27/2018;10:15:07;10/1/2018;Trade;1MM+;100.600;;M;;Z;_;-;-;S;D;C;49407QAD0
9/27/2018;10:14:28;10/1/2018;Trade;1MM+;100.500;;M;;Z;_;-;-;B;D;C;49407QAD0
10/11/2017;11:45:45;10/13/2017;Trade;375000;61.500;;M;;Z;_;-;-;S;D;C;49407QAD0
10/11/2017;11:45:05;10/13/2017;Trade;375000;61.000;;M;;Z;_;-;-;B;D;C;49407QAD0
