Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/15/2020;11:14:59;7/17/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;49407PAB6
7/15/2020;10:58:14;7/17/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;49407PAB6
7/15/2020;10:55:47;7/17/2020;Trade;500000;98.500;;M;;_;_;-;-;S;D;C;49407PAB6
7/15/2020;10:55:47;7/17/2020;Trade;750000;98.500;;M;;_;_;-;-;S;D;C;49407PAB6
7/15/2020;10:55:47;7/17/2020;Trade;250000;98.500;;M;;_;_;-;-;S;D;C;49407PAB6
7/15/2020;10:53:06;7/17/2020;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;49407PAB6
7/15/2020;10:51:48;7/17/2020;Trade;500000;98.500;;M;;_;_;-;-;S;D;C;49407PAB6
7/15/2020;10:47:23;7/17/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;49407PAB6
6/15/2020;09:29:26;6/17/2020;Trade;750000;97.200;;M;;_;_;-;-;S;D;C;49407PAB6
6/15/2020;09:27:55;6/17/2020;Trade;750000;97.100;;M;;_;_;-;-;B;D;C;49407PAB6
6/12/2020;12:57:40;6/16/2020;Trade;1MM+;97.200;;M;;_;_;-;-;S;D;C;49407PAB6
6/12/2020;12:57:02;6/16/2020;Trade;1MM+;97.100;;M;;_;_;-;-;B;D;C;49407PAB6
6/12/2020;12:40:21;6/16/2020;Trade;1MM+;97.200;;M;;_;_;-;-;S;D;C;49407PAB6
6/12/2020;12:39:39;6/16/2020;Trade;1MM+;97.100;;M;;_;_;-;-;B;D;C;49407PAB6
5/11/2020;10:54:18;5/13/2020;Trade;1000000;97.800;;M;;_;_;-;-;S;D;C;49407PAB6
5/11/2020;10:53:09;5/13/2020;Trade;1000000;97.700;;M;;_;_;-;-;B;D;C;49407PAB6
3/25/2020;12:21:55;3/27/2020;Trade;1000000;96.000;;M;;_;_;-;-;S;D;C;49407PAB6
3/25/2020;12:21:55;3/27/2020;Trade;1MM+;95.980;;M;;_;_;-;-;S;D;C;49407PAB6
3/25/2020;12:21:55;3/27/2020;Trade;1MM+;95.910;;M;;_;_;-;-;B;D;C;49407PAB6
3/18/2020;12:34:31;3/20/2020;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;49407PAB6
3/18/2020;12:33:01;3/20/2020;Trade;750000;98.800;;M;;_;_;-;-;B;D;C;49407PAB6
3/18/2020;12:32:02;3/20/2020;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;49407PAB6
3/17/2020;14:36:04;3/19/2020;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;49407PAB6
3/17/2020;14:36:04;3/19/2020;Trade;1MM+;99.570;;M;;_;_;-;-;B;D;C;49407PAB6
3/17/2020;14:36:04;3/19/2020;Trade;1MM+;99.570;;M;;_;_;-;-;B;D;C;49407PAB6
