Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/17/2020;13:55:08;7/21/2020;Trade;1MM+;96.550;;M;;_;_;-;-;S;D;C;49407PAC4
7/17/2020;13:55:08;7/21/2020;Trade;1MM+;96.550;;M;;_;_;-;-;S;D;C;49407PAC4
7/17/2020;13:52:50;7/21/2020;Trade;1MM+;96.450;;M;;_;_;-;-;B;D;C;49407PAC4
7/17/2020;10:29:56;7/21/2020;Trade;1MM+;96.450;;M;;_;_;-;-;B;D;C;49407PAC4
7/17/2020;09:43:26;7/21/2020;Trade;1MM+;96.550;;M;;_;_;-;-;S;D;C;49407PAC4
7/15/2020;12:16:06;7/17/2020;Trade;1MM+;96.550;;M;;_;_;-;-;S;D;C;49407PAC4
7/15/2020;12:14:28;7/17/2020;Trade;1MM+;96.450;;M;;_;_;-;-;B;D;C;49407PAC4
6/23/2020;13:55:39;6/25/2020;Trade;1MM+;95.950;;M;;_;_;-;-;S;D;C;49407PAC4
6/23/2020;13:55:37;6/25/2020;Trade;1MM+;95.850;;M;;_;_;-;-;B;D;C;49407PAC4
5/11/2020;12:37:40;5/13/2020;Trade;1MM+;94.550;;M;;_;_;-;-;S;D;C;49407PAC4
5/11/2020;12:37:40;5/13/2020;Trade;1MM+;94.450;;M;;_;_;-;-;B;D;C;49407PAC4
5/5/2020;14:27:13;5/7/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;49407PAC4
5/5/2020;14:27:13;5/7/2020;Trade;1MM+;94.500;;M;;_;_;-;-;B;D;C;49407PAC4
5/5/2020;14:27:12;5/7/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;49407PAC4
5/5/2020;14:27:12;5/7/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;49407PAC4
4/29/2020;12:12:54;5/1/2020;Trade;1MM+;94.500;;M;;_;_;-;-;B;D;C;49407PAC4
4/29/2020;12:12:50;5/1/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;49407PAC4
4/29/2020;12:12:50;5/1/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;49407PAC4
4/9/2020;09:45:29;4/14/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;49407PAC4
4/9/2020;09:44:38;4/14/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;49407PAC4
