Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/14/2020;13:36:46;7/16/2020;Trade;1000000;97.300;;M;;_;_;-;-;B;D;C;49407PAD2
7/14/2020;13:33:42;7/16/2020;Trade;1000000;97.400;;M;;_;_;-;-;S;D;C;49407PAD2
5/15/2020;11:00:34;5/19/2020;Trade;500000;95.200;;M;;_;_;-;-;B;D;C;49407PAD2
5/15/2020;11:00:34;5/19/2020;Trade;500000;95.300;;M;;_;_;-;-;S;D;C;49407PAD2
5/14/2020;13:49:39;5/18/2020;Trade;1MM+;95.250;;M;;_;_;-;-;S;D;C;49407PAD2
5/14/2020;13:46:50;5/18/2020;Trade;1MM+;95.150;;M;;_;_;-;-;B;D;C;49407PAD2
5/11/2020;10:58:43;5/13/2020;Trade;1000000;96.800;;M;;_;_;-;-;S;D;C;49407PAD2
5/11/2020;10:58:06;5/13/2020;Trade;1000000;96.700;;M;;_;_;-;-;B;D;C;49407PAD2
4/7/2020;10:54:35;4/9/2020;Correction;1MM+;96.100;;M;;Z;_;-;-;S;D;C;49407PAD2
4/7/2020;10:54:35;4/9/2020;Trade;1MM+;96.000;;M;;_;_;-;-;B;D;C;49407PAD2
4/7/2020;10:54:35;4/9/2020;Cancel;1MM+;96.100;;M;;_;_;-;-;B;D;C;49407PAD2
4/7/2020;10:54:35;4/9/2020;Trade;1MM+;96.100;;M;;_;_;-;-;B;D;C;49407PAD2
3/25/2020;12:18:58;3/27/2020;Trade;1MM+;95.080;;M;;_;_;-;-;S;D;C;49407PAD2
3/25/2020;12:18:58;3/27/2020;Trade;1000000;95.100;;M;;_;_;-;-;S;D;C;49407PAD2
3/25/2020;12:18:58;3/27/2020;Trade;1MM+;95.010;;M;;_;_;-;-;B;D;C;49407PAD2
