Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/1/2019;10:41:27;11/5/2019;Trade;500000;99.750;;M;;_;_;-;-;S;D;C;494074AE7
11/1/2019;10:41:27;11/5/2019;Trade;500000;99.650;;M;;_;_;-;-;B;D;C;494074AE7
10/30/2019;09:54:01;11/1/2019;Trade;1000000;99.750;;M;;_;_;-;-;S;D;C;494074AE7
10/30/2019;09:53:01;11/1/2019;Trade;1000000;99.650;;M;;_;_;-;-;B;D;C;494074AE7
8/13/2019;10:35:14;8/15/2019;Trade;500000;99.620;;M;;_;_;-;-;S;D;C;494074AE7
8/13/2019;10:34:47;8/15/2019;Trade;500000;99.580;;M;;_;_;-;-;B;D;C;494074AE7
7/2/2019;09:23:34;7/5/2019;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;494074AE7
7/2/2019;09:19:41;7/5/2019;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;494074AE7
7/2/2019;09:03:45;7/5/2019;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;494074AE7
7/2/2019;09:02:59;7/5/2019;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;494074AE7
7/1/2019;09:31:22;7/3/2019;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;494074AE7
7/1/2019;09:30:40;7/3/2019;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;494074AE7
5/13/2019;12:15:00;5/15/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/13/2019;12:14:55;5/15/2019;Correction;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AE7
5/13/2019;12:14:55;5/15/2019;Cancel;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AE7
5/13/2019;12:14:17;5/15/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AE7
5/10/2019;12:35:00;5/14/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/10/2019;12:33:41;5/14/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/10/2019;12:09:37;5/14/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AE7
5/10/2019;12:09:28;5/14/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AE7
5/3/2019;12:49:06;5/7/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/3/2019;11:55:00;5/7/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AE7
5/3/2019;11:45:24;5/7/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/3/2019;11:16:00;5/7/2019;Cancel;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/3/2019;11:16:00;5/7/2019;Correction;1MM+;99.100;;M;;Z;_;-;-;S;D;C;494074AE7
5/3/2019;11:15:24;5/7/2019;Cancel;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/3/2019;11:15:24;5/7/2019;Cancel;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/3/2019;11:15:00;5/7/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/3/2019;09:04:51;5/7/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AE7
5/3/2019;09:04:00;5/7/2019;Trade;1MM+;99.050;;M;;_;_;-;-;B;D;C;494074AE7
4/17/2019;14:17:47;4/22/2019;Trade;1MM+;99.150;;M;;_;_;-;-;S;D;C;494074AE7
4/17/2019;14:16:53;4/22/2019;Trade;1MM+;99.150;;M;;_;_;-;-;S;D;C;494074AE7
4/17/2019;14:16:03;4/22/2019;Trade;1MM+;99.050;;M;;_;_;-;-;B;D;C;494074AE7
4/11/2019;11:54:28;4/15/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;494074AE7
4/11/2019;11:54:00;4/15/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;494074AE7
3/26/2019;10:12:00;3/28/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;494074AE7
3/26/2019;10:09:01;3/28/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;494074AE7
3/25/2019;11:20:24;3/27/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;494074AE7
3/25/2019;11:20:00;3/27/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;494074AE7
3/11/2019;12:14:00;3/13/2019;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;494074AE7
3/11/2019;12:13:10;3/13/2019;Trade;750000;99.250;;M;;_;_;-;-;B;D;C;494074AE7
3/11/2019;12:10:53;3/13/2019;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;494074AE7
3/11/2019;11:56:57;3/13/2019;Trade;1000000;99.250;;M;;_;_;-;-;B;D;C;494074AE7
2/8/2019;12:09:10;2/12/2019;Trade;250000;99.700;;M;;_;_;-;-;B;D;C;494074AE7
2/8/2019;10:28:10;2/12/2019;Cancel;250000;99.700;;M;;_;_;-;-;B;D;C;494074AE7
2/8/2019;10:28:10;2/12/2019;Cancel;250000;99.700;;M;;_;_;-;-;B;D;C;494074AE7
2/8/2019;10:27:20;2/12/2019;Trade;250000;99.800;;M;;_;_;-;-;S;D;C;494074AE7
2/8/2019;09:17:46;2/12/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;494074AE7
2/8/2019;09:17:13;2/12/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;494074AE7
2/6/2019;09:24:27;2/8/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;494074AE7
2/6/2019;09:22:55;2/8/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;494074AE7
1/23/2019;08:39:23;1/25/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;494074AE7
1/23/2019;08:38:56;1/25/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;494074AE7
1/7/2019;14:20:07;1/9/2019;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;494074AE7
1/7/2019;14:15:05;1/9/2019;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;494074AE7
12/18/2018;10:13:05;12/20/2018;Trade;250000;98.350;;M;;_;_;-;-;S;D;C;494074AE7
12/18/2018;10:12:09;12/20/2018;Trade;250000;98.250;;M;;_;_;-;-;B;D;C;494074AE7
12/10/2018;12:31:58;12/12/2018;Trade;500000;98.250;;M;;_;_;-;-;B;D;C;494074AE7
12/10/2018;12:31:58;12/12/2018;Trade;500000;98.350;;M;;_;_;-;-;S;D;C;494074AE7
