Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/8/2019;09:53:37;11/13/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;494074AF4
11/8/2019;09:52:54;11/13/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;494074AF4
11/7/2019;10:23:42;11/12/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;494074AF4
11/7/2019;10:22:52;11/12/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;494074AF4
11/1/2019;10:03:42;11/5/2019;Cancel;500000;99.650;;M;;_;_;-;-;B;D;C;494074AF4
11/1/2019;10:03:42;11/5/2019;Cancel;500000;99.750;;M;;_;_;-;-;S;D;C;494074AF4
11/1/2019;10:03:42;11/5/2019;Cancel;500000;99.650;;M;;_;_;-;-;B;D;C;494074AF4
11/1/2019;10:03:42;11/5/2019;Cancel;500000;99.750;;M;;_;_;-;-;S;D;C;494074AF4
10/8/2019;12:14:39;10/10/2019;Cancel;1MM+;99.550;;M;;_;_;-;-;S;D;C;494074AF4
10/8/2019;12:14:39;10/10/2019;Trade;1MM+;99.625;;M;;_;_;-;-;S;D;C;494074AF4
10/8/2019;12:14:39;10/10/2019;Correction;1MM+;99.550;;M;;_;_;-;-;B;D;C;494074AF4
10/4/2019;11:07:30;10/8/2019;Trade;1000000;99.550;;M;;_;_;-;-;B;D;C;494074AF4
10/4/2019;10:50:12;10/8/2019;Trade;500000;99.625;;M;;_;_;-;-;S;D;C;494074AF4
10/4/2019;10:50:12;10/8/2019;Trade;500000;99.625;;M;;_;_;-;-;S;D;C;494074AF4
10/3/2019;09:53:11;10/7/2019;Trade;1MM+;99.550;;M;;_;_;-;-;B;D;C;494074AF4
10/3/2019;09:49:31;10/7/2019;Trade;1MM+;99.625;;M;;_;_;-;-;S;D;C;494074AF4
9/17/2019;10:09:45;9/19/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;494074AF4
9/17/2019;10:08:50;9/19/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;494074AF4
7/29/2019;11:56:47;7/31/2019;Trade;1000000;98.300;;M;;_;_;-;-;S;D;C;494074AF4
7/29/2019;11:54:03;7/31/2019;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;494074AF4
7/15/2019;09:53:41;7/17/2019;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;494074AF4
7/15/2019;09:52:24;7/17/2019;Trade;1MM+;98.200;;M;;_;_;-;-;B;D;C;494074AF4
7/12/2019;14:44:00;7/16/2019;Trade;1000000;98.200;;M;;_;_;-;-;B;D;C;494074AF4
7/12/2019;14:44:00;7/16/2019;Trade;1000000;98.200;;N;;_;_;-;-;S;D;C;494074AF4
7/12/2019;14:44:00;7/16/2019;Trade;1000000;98.300;;M;;_;_;-;-;S;D;C;494074AF4
7/12/2019;14:44:00;7/16/2019;Trade;1000000;98.300;;N;;_;_;-;-;B;D;C;494074AF4
7/11/2019;11:43:50;7/15/2019;Trade;1000000;98.300;;M;;_;_;-;-;S;D;C;494074AF4
7/11/2019;11:41:22;7/15/2019;Trade;1000000;98.200;;M;;_;_;-;-;B;D;C;494074AF4
7/11/2019;11:14:56;7/15/2019;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;494074AF4
7/11/2019;10:17:24;7/15/2019;Trade;1MM+;98.200;;M;;_;_;-;-;B;D;C;494074AF4
7/10/2019;11:38:00;7/12/2019;Trade;500000;98.300;;M;;Z;_;-;-;S;D;C;494074AF4
7/10/2019;11:38:00;7/12/2019;Trade;500000;98.300;;N;;Z;_;-;-;B;D;C;494074AF4
7/10/2019;11:38:00;7/12/2019;Trade;500000;98.200;;M;;Z;_;-;-;B;D;C;494074AF4
7/10/2019;11:38:00;7/12/2019;Trade;500000;98.200;;N;;Z;_;-;-;S;D;C;494074AF4
7/10/2019;10:53:00;7/12/2019;Trade;1000000;98.200;;M;;Z;_;-;-;B;D;C;494074AF4
7/10/2019;10:53:00;7/12/2019;Trade;1000000;98.200;;N;;Z;_;-;-;S;D;C;494074AF4
7/10/2019;10:53:00;7/12/2019;Correction;750000;98.300;;M;;Z;_;-;-;B;D;C;494074AF4
7/10/2019;10:53:00;7/12/2019;Trade;750000;98.300;;M;;Z;_;-;-;S;D;C;494074AF4
7/10/2019;10:53:00;7/12/2019;Cancel;750000;98.300;;N;;Z;_;-;-;B;D;C;494074AF4
7/10/2019;10:53:00;7/12/2019;Trade;250000;98.300;;M;;Z;_;-;-;S;D;C;494074AF4
7/10/2019;10:53:00;7/12/2019;Trade;250000;98.300;;N;;Z;_;-;-;B;D;C;494074AF4
7/1/2019;08:48:00;7/3/2019;Trade;750000;98.300;;M;;_;_;-;-;S;D;C;494074AF4
7/1/2019;08:46:19;7/3/2019;Trade;750000;98.200;;M;;_;_;-;-;B;D;C;494074AF4
6/25/2019;11:10:00;6/27/2019;Trade;1MM+;97.800;;M;;_;_;-;-;B;D;C;494074AF4
6/25/2019;11:10:00;6/27/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;494074AF4
6/18/2019;11:48:29;6/20/2019;Trade;1000000;97.750;;M;;_;_;-;-;B;D;C;494074AF4
6/18/2019;11:47:34;6/20/2019;Trade;1000000;97.850;;M;;_;_;-;-;S;D;C;494074AF4
6/7/2019;09:52:01;6/11/2019;Trade;600000;98.000;;M;;_;_;-;-;S;D;C;494074AF4
6/7/2019;09:51:25;6/11/2019;Trade;600000;97.900;;M;;_;_;-;-;B;D;C;494074AF4
5/20/2019;11:33:24;5/22/2019;Trade;750000;99.100;;M;;_;_;-;-;S;D;C;494074AF4
