Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/20/2019;11:58:00;11/22/2019;Trade;1MM+;99.900;;N;;_;_;-;-;S;D;C;494074AG2
11/20/2019;11:58:00;11/22/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;494074AG2
11/20/2019;11:57:00;11/22/2019;Trade;1MM+;99.950;;N;;_;_;-;-;B;D;C;494074AG2
11/20/2019;11:57:00;11/22/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;494074AG2
11/14/2019;11:25:06;11/18/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;494074AG2
11/14/2019;11:24:34;11/18/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;494074AG2
11/8/2019;13:03:23;11/13/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;494074AG2
11/8/2019;13:02:42;11/13/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;494074AG2
11/8/2019;13:02:05;11/13/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;494074AG2
11/7/2019;10:36:20;11/12/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;494074AG2
11/7/2019;10:35:50;11/12/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;494074AG2
10/24/2019;12:28:16;10/28/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;494074AG2
10/24/2019;12:25:57;10/28/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;494074AG2
9/17/2019;10:50:50;9/19/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;494074AG2
9/17/2019;10:50:00;9/19/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;494074AG2
9/17/2019;10:12:08;9/19/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;494074AG2
9/17/2019;10:11:28;9/19/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;494074AG2
7/24/2019;09:54:36;7/26/2019;Trade;500000;99.100;;M;;_;_;-;-;S;D;C;494074AG2
7/24/2019;09:53:55;7/26/2019;Trade;500000;99.000;;M;;_;_;-;-;B;D;C;494074AG2
7/19/2019;10:35:20;7/23/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;494074AG2
7/19/2019;10:34:47;7/23/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;494074AG2
7/18/2019;10:00:00;7/22/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AG2
7/18/2019;09:19:20;7/22/2019;Cancel;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AG2
7/18/2019;09:19:20;7/22/2019;Cancel;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AG2
7/18/2019;09:18:46;7/22/2019;Trade;1000000;99.100;;M;;_;_;-;-;S;D;C;494074AG2
7/18/2019;09:17:52;7/22/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AG2
7/17/2019;16:44:06;7/19/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AG2
7/17/2019;16:44:00;7/19/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AG2
7/9/2019;09:59:16;7/11/2019;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;494074AG2
7/9/2019;09:57:04;7/11/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;494074AG2
7/9/2019;09:53:22;7/11/2019;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;494074AG2
7/1/2019;08:55:06;7/3/2019;Trade;500000;99.100;;M;;_;_;-;-;S;D;C;494074AG2
7/1/2019;08:54:31;7/3/2019;Trade;500000;99.000;;M;;_;_;-;-;B;D;C;494074AG2
6/25/2019;10:44:43;6/27/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;494074AG2
6/25/2019;10:42:00;6/27/2019;Trade;1MM+;98.910;;M;;_;_;-;-;B;D;C;494074AG2
6/6/2019;10:25:00;6/10/2019;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;494074AG2
6/6/2019;10:23:15;6/10/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;494074AG2
6/6/2019;10:22:29;6/10/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;494074AG2
6/3/2019;12:13:36;6/5/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;494074AG2
6/3/2019;11:12:11;6/5/2019;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;494074AG2
6/3/2019;10:56:23;6/5/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;494074AG2
6/3/2019;10:26:44;6/5/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;494074AG2
5/23/2019;09:42:25;5/28/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AG2
5/23/2019;09:41:49;5/28/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AG2
4/3/2019;10:56:00;4/5/2019;Trade;1MM+;100.350;;;;_;_;-;-;S;D;D;494074AG2
4/3/2019;10:54:40;4/5/2019;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;494074AG2
4/3/2019;10:53:29;4/5/2019;Trade;250000;100.350;;M;;_;_;-;-;B;D;C;494074AG2
3/28/2019;11:20:56;4/1/2019;Trade;1000000;100.500;;M;;_;_;-;-;S;D;C;494074AG2
3/28/2019;11:20:22;4/1/2019;Trade;500000;100.500;;M;;_;_;-;-;S;D;C;494074AG2
3/28/2019;11:19:40;4/1/2019;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;494074AG2
3/21/2019;08:50:59;3/25/2019;Cancel;250000;100.100;;M;;_;_;-;-;S;D;C;494074AG2
3/21/2019;08:50:59;3/25/2019;Cancel;250000;100.100;;M;;_;_;-;-;S;D;C;494074AG2
3/21/2019;08:50:20;3/25/2019;Cancel;250000;100.000;;M;;_;_;-;-;B;D;C;494074AG2
3/21/2019;08:50:20;3/25/2019;Cancel;250000;100.000;;M;;_;_;-;-;B;D;C;494074AG2
3/12/2019;10:02:59;3/14/2019;Trade;250000;100.400;;M;;_;_;-;-;S;D;C;494074AG2
3/12/2019;10:02:15;3/14/2019;Trade;250000;100.300;;M;;_;_;-;-;B;D;C;494074AG2
3/7/2019;15:46:12;3/11/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;494074AG2
3/7/2019;15:44:41;3/11/2019;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;494074AG2
3/6/2019;11:40:24;3/8/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;494074AG2
3/6/2019;11:39:26;3/8/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;494074AG2
3/6/2019;11:38:47;3/8/2019;Trade;250000;100.300;;M;;_;_;-;-;B;D;C;494074AG2
