Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/21/2020;09:14:39;4/23/2020;Trade;1MM+;96.000;17.099;M;;_;_;-;-;S;D;C;494074AH0
4/21/2020;09:13:52;4/23/2020;Trade;900000;95.900;17.16;M;;_;_;-;-;B;D;C;494074AH0
4/21/2020;09:12:55;4/23/2020;Trade;1000000;95.900;17.16;M;;_;_;-;-;B;D;C;494074AH0
3/27/2020;09:19:12;3/31/2020;Correction;1000000;95.950;15.334;M;;Z;_;-;-;S;D;C;494074AH0
3/27/2020;09:19:12;3/31/2020;Cancel;1000000;98.950;15.334;M;;_;_;-;-;S;D;C;494074AH0
3/27/2020;09:11:44;3/31/2020;Trade;1000000;95.850;17.134;M;;_;_;-;-;B;D;C;494074AH0
3/26/2020;14:15:55;3/30/2020;Trade;1000000;95.950;17.072;M;;_;_;-;-;S;D;C;494074AH0
3/26/2020;14:14:51;3/30/2020;Trade;1000000;95.850;17.131;M;;_;_;-;-;B;D;C;494074AH0
3/19/2020;16:48:24;3/23/2020;Trade;1000000;95.950;17.051;M;;_;_;-;-;S;D;C;494074AH0
3/19/2020;16:47:45;3/23/2020;Trade;1000000;95.850;17.109;M;;_;_;-;-;B;D;C;494074AH0
1/28/2020;12:15:32;1/30/2020;Trade;1MM+;98.650;15.452;M;;_;_;-;-;S;D;C;494074AH0
1/28/2020;12:14:39;1/30/2020;Trade;1MM+;98.550;15.505;M;;_;_;-;-;B;D;C;494074AH0
1/17/2020;08:44:59;1/22/2020;Trade;1MM+;97.800;15.901;M;;_;_;-;-;S;D;C;494074AH0
1/17/2020;08:44:06;1/22/2020;Trade;1MM+;97.700;15.955;M;;_;_;-;-;B;D;C;494074AH0
10/9/2019;11:41:08;10/11/2019;Trade;250000;98.600;15.392;M;;_;_;-;-;S;D;C;494074AH0
10/9/2019;11:40:20;10/11/2019;Trade;250000;98.500;15.44;M;;_;_;-;-;B;D;C;494074AH0
4/5/2019;16:45:59;4/9/2019;Trade;500000;96.350;;N;;_;_;-;-;S;D;C;494074AH0
4/5/2019;16:45:59;4/9/2019;Trade;500000;96.250;;N;;_;_;-;-;B;D;C;494074AH0
12/14/2018;09:14:07;12/18/2018;Trade;250000;97.500;;M;;_;_;-;-;S;D;C;494074AH0
12/14/2018;09:13:12;12/18/2018;Trade;250000;97.400;;M;;_;_;-;-;B;D;C;494074AH0
7/16/2018;09:53:24;7/18/2018;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;494074AH0
7/16/2018;09:49:27;7/18/2018;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;494074AH0
