Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/14/2020;12:24:18;7/16/2020;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AJ6
7/14/2020;12:20:39;7/16/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AJ6
4/22/2020;09:09:38;4/24/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;494074AJ6
4/22/2020;09:08:51;4/24/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;494074AJ6
4/21/2020;13:00:44;4/23/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;494074AJ6
4/21/2020;12:59:17;4/23/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;494074AJ6
4/14/2020;14:15:00;4/16/2020;Trade;1000000;98.000;;M;;_;_;-;-;S;D;C;494074AJ6
4/14/2020;14:12:24;4/16/2020;Trade;1000000;97.950;;M;;_;_;-;-;B;D;C;494074AJ6
4/14/2020;13:24:33;4/16/2020;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;494074AJ6
4/14/2020;13:23:49;4/16/2020;Trade;1MM+;97.250;;M;;_;_;-;-;B;D;C;494074AJ6
3/17/2020;14:22:29;3/19/2020;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;494074AJ6
3/17/2020;14:17:40;3/19/2020;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;494074AJ6
3/9/2020;12:42:48;3/11/2020;Trade;500000;100.000;;M;;_;_;-;-;S;D;C;494074AJ6
3/9/2020;12:41:59;3/11/2020;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;494074AJ6
2/28/2020;11:41:19;3/3/2020;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;494074AJ6
2/28/2020;11:40:43;3/3/2020;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;494074AJ6
2/26/2020;12:26:40;2/28/2020;Trade;950000;100.100;;M;;_;_;-;-;S;D;C;494074AJ6
2/26/2020;12:25:45;2/28/2020;Trade;950000;100.000;;M;;_;_;-;-;B;D;C;494074AJ6
2/13/2020;11:09:36;2/18/2020;Trade;625000;99.900;;M;;_;_;-;-;S;D;C;494074AJ6
2/13/2020;11:09:36;2/18/2020;Trade;625000;99.900;;M;;_;_;-;-;S;D;C;494074AJ6
2/13/2020;11:05:54;2/18/2020;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;494074AJ6
2/3/2020;11:15:04;2/5/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AJ6
2/3/2020;11:15:00;2/5/2020;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AJ6
1/13/2020;10:19:56;1/15/2020;Trade;800000;99.050;;M;;_;_;-;-;S;D;C;494074AJ6
1/13/2020;10:19:16;1/15/2020;Trade;800000;98.950;;M;;_;_;-;-;B;D;C;494074AJ6
1/13/2020;09:25:33;1/15/2020;Trade;1MM+;99.050;;M;;_;_;-;-;S;D;C;494074AJ6
1/13/2020;09:24:51;1/15/2020;Trade;1MM+;98.950;;M;;_;_;-;-;B;D;C;494074AJ6
1/9/2020;14:07:20;1/13/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;494074AJ6
1/9/2020;14:06:16;1/13/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;494074AJ6
10/30/2019;09:50:36;11/1/2019;Trade;1MM+;99.050;;M;;_;_;-;-;S;D;C;494074AJ6
10/30/2019;09:49:51;11/1/2019;Trade;1MM+;98.950;;M;;_;_;-;-;B;D;C;494074AJ6
10/22/2019;13:40:22;10/25/2019;Trade;1000000;99.150;;M;;_;_;-;-;S;D;C;494074AJ6
10/22/2019;13:39:16;10/25/2019;Trade;1000000;99.050;;M;;_;_;-;-;B;D;C;494074AJ6
10/18/2019;08:57:04;10/22/2019;Trade;500000;99.150;;M;;_;_;-;-;S;D;C;494074AJ6
10/18/2019;08:55:40;10/22/2019;Trade;500000;99.050;;M;;_;_;-;-;B;D;C;494074AJ6
10/15/2019;10:17:27;10/17/2019;Trade;1MM+;99.150;;M;;_;_;-;-;S;D;C;494074AJ6
10/15/2019;10:16:43;10/17/2019;Trade;1MM+;99.050;;M;;_;_;-;-;B;D;C;494074AJ6
10/15/2019;10:15:51;10/17/2019;Trade;1MM+;99.050;;M;;_;_;-;-;B;D;C;494074AJ6
9/27/2019;11:23:10;10/1/2019;Trade;1000000;98.650;;M;;_;_;-;-;S;D;C;494074AJ6
9/27/2019;11:22:20;10/1/2019;Trade;1MM+;98.550;;M;;_;_;-;-;B;D;C;494074AJ6
9/27/2019;11:22:03;10/1/2019;Trade;1MM+;98.650;;M;;_;_;-;-;S;D;C;494074AJ6
9/11/2019;12:17:20;9/13/2019;Trade;1000000;97.900;;M;;_;_;-;-;S;D;C;494074AJ6
9/11/2019;12:17:18;9/13/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;494074AJ6
9/11/2019;12:17:15;9/13/2019;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;494074AJ6
9/11/2019;12:17:15;9/13/2019;Trade;1MM+;97.800;;M;;_;_;-;-;B;D;C;494074AJ6
9/11/2019;12:17:15;9/13/2019;Trade;1MM+;97.800;;M;;_;_;-;-;B;D;C;494074AJ6
9/11/2019;12:17:15;9/13/2019;Trade;500000;97.800;;M;;_;_;-;-;B;D;C;494074AJ6
6/19/2019;09:45:15;6/21/2019;Trade;950000;96.600;;M;;_;_;-;-;B;D;C;494074AJ6
6/19/2019;09:16:18;6/21/2019;Trade;950000;96.700;;M;;_;_;-;-;S;D;C;494074AJ6
6/19/2019;09:15:15;6/21/2019;Cancel;950000;96.600;;M;;_;_;-;-;B;D;C;494074AJ6
6/19/2019;09:15:15;6/21/2019;Cancel;950000;96.600;;M;;_;_;-;-;B;D;C;494074AJ6
5/29/2019;10:42:51;5/31/2019;Trade;1000000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
5/29/2019;10:41:36;5/31/2019;Trade;1000000;96.600;;M;;_;_;-;-;S;D;C;494074AJ6
5/23/2019;13:02:32;5/29/2019;Trade;250000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
5/23/2019;13:02:14;5/29/2019;Trade;250000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
5/23/2019;13:01:47;5/29/2019;Trade;250000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
5/23/2019;13:00:02;5/29/2019;Trade;250000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
5/23/2019;11:39:11;5/29/2019;Trade;1MM+;96.600;;M;;_;_;-;-;S;D;C;494074AJ6
5/23/2019;11:38:44;5/29/2019;Trade;250000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
5/23/2019;11:38:02;5/29/2019;Cancel;1000000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
5/23/2019;11:38:02;5/29/2019;Cancel;1000000;96.500;;M;;_;_;-;-;B;D;C;494074AJ6
3/11/2019;12:52:31;3/13/2019;Trade;250000;99.000;;M;;_;_;-;-;S;D;C;494074AJ6
3/11/2019;12:51:20;3/13/2019;Trade;250000;98.900;;M;;_;_;-;-;B;D;C;494074AJ6
1/29/2019;15:14:00;1/31/2019;Trade;1000000;99.800;;N;;_;_;-;-;B;D;C;494074AJ6
1/29/2019;15:14:00;1/31/2019;Trade;500000;99.900;;N;;_;_;-;-;S;D;C;494074AJ6
1/29/2019;15:14:00;1/31/2019;Trade;500000;99.900;;N;;_;_;-;-;S;D;C;494074AJ6
12/20/2018;09:49:06;12/24/2018;Trade;250000;96.900;;M;;_;_;-;-;S;D;C;494074AJ6
12/20/2018;09:48:31;12/24/2018;Trade;250000;96.800;;M;;_;_;-;-;B;D;C;494074AJ6
12/19/2018;10:34:30;12/21/2018;Trade;500000;96.900;;M;;_;_;-;-;S;D;C;494074AJ6
12/19/2018;10:33:59;12/21/2018;Trade;1MM+;96.900;;M;;_;_;-;-;S;D;C;494074AJ6
12/19/2018;10:32:57;12/21/2018;Trade;1MM+;96.800;;M;;_;_;-;-;B;D;C;494074AJ6
10/31/2018;12:41:22;11/2/2018;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;494074AJ6
10/31/2018;12:40:47;11/2/2018;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;494074AJ6
10/31/2018;10:24:45;11/2/2018;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;494074AJ6
10/31/2018;10:24:18;11/2/2018;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;494074AJ6
10/31/2018;09:41:27;11/2/2018;Trade;1MM+;99.900;;M;;Z;_;-;-;B;D;C;494074AJ6
6/21/2018;10:17:41;6/25/2018;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;494074AJ6
