Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/15/2020;09:16:47;7/17/2020;Trade;1MM+;92.100;;M;;_;_;-;-;S;D;C;494074AK3
7/15/2020;09:15:50;7/17/2020;Trade;1MM+;92.000;;M;;_;_;-;-;B;D;C;494074AK3
1/28/2020;09:52:46;1/30/2020;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;494074AK3
1/28/2020;09:50:44;1/30/2020;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;494074AK3
1/15/2020;10:37:17;1/17/2020;Trade;1MM+;95.350;;M;;_;_;-;-;S;D;C;494074AK3
1/15/2020;10:37:12;1/17/2020;Trade;1MM+;95.250;;M;;_;_;-;-;B;D;C;494074AK3
10/10/2019;10:53:58;10/16/2019;Trade;500000;98.000;;M;;_;_;-;-;S;D;C;494074AK3
10/10/2019;10:53:01;10/16/2019;Trade;500000;97.900;;M;;_;_;-;-;B;D;C;494074AK3
10/9/2019;13:20:54;10/11/2019;Trade;250000;98.000;;M;;_;_;-;-;S;D;C;494074AK3
10/9/2019;13:20:14;10/11/2019;Trade;250000;97.900;;M;;_;_;-;-;B;D;C;494074AK3
5/23/2019;13:10:54;5/28/2019;Trade;250000;94.600;;M;;_;_;-;-;S;D;C;494074AK3
5/23/2019;13:09:41;5/28/2019;Trade;250000;94.500;;M;;_;_;-;-;B;D;C;494074AK3
3/11/2019;11:20:43;3/13/2019;Trade;500000;98.600;;M;;_;_;-;-;S;D;C;494074AK3
3/11/2019;11:20:15;3/13/2019;Trade;500000;98.500;;M;;_;_;-;-;B;D;C;494074AK3
2/5/2019;15:10:00;2/7/2019;Trade;250000;99.150;;N;;_;_;-;-;S;D;C;494074AK3
2/5/2019;15:10:00;2/7/2019;Trade;250000;99.050;;N;;_;_;-;-;B;D;C;494074AK3
10/17/2018;13:29:06;10/19/2018;Trade;1MM+;101.300;;M;;_;_;-;-;S;D;C;494074AK3
10/17/2018;13:27:54;10/19/2018;Trade;1MM+;101.200;;M;;_;_;-;-;B;D;C;494074AK3
