Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/16/2020;13:38:45;7/20/2020;Cancel;500000;99.000;;M;;_;_;-;-;B;D;C;494074AL1
7/16/2020;13:38:45;7/20/2020;Correction;250000;99.000;;M;;_;_;-;-;B;D;C;494074AL1
7/16/2020;13:38:03;7/20/2020;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;494074AL1
7/15/2020;09:14:00;7/17/2020;Trade;250000;98.350;;M;;_;_;-;-;S;D;C;494074AL1
7/15/2020;09:12:55;7/17/2020;Trade;250000;98.250;;M;;_;_;-;-;B;D;C;494074AL1
6/19/2020;09:35:28;6/23/2020;Trade;1MM+;96.100;;M;;_;_;-;-;S;D;C;494074AL1
6/19/2020;09:34:37;6/23/2020;Trade;1MM+;96.000;;M;;_;_;-;-;B;D;C;494074AL1
6/16/2020;12:37:58;6/18/2020;Trade;1MM+;96.050;;M;;_;_;-;-;S;D;C;494074AL1
6/16/2020;12:36:57;6/18/2020;Trade;1MM+;95.950;;M;;_;_;-;-;B;D;C;494074AL1
6/16/2020;11:55:24;6/18/2020;Trade;1000000;96.050;;M;;_;_;-;-;S;D;C;494074AL1
6/16/2020;11:54:35;6/18/2020;Trade;500000;96.050;;M;;_;_;-;-;S;D;C;494074AL1
6/16/2020;11:53:18;6/18/2020;Trade;1MM+;95.950;;M;;_;_;-;-;B;D;C;494074AL1
6/10/2020;08:51:31;6/12/2020;Trade;1MM+;95.950;;M;;_;_;-;-;B;D;C;494074AL1
6/10/2020;08:49:45;6/12/2020;Trade;1MM+;96.050;;M;;_;_;-;-;S;D;C;494074AL1
6/8/2020;10:09:46;6/10/2020;Trade;250000;96.400;;M;;_;_;-;-;S;D;C;494074AL1
6/8/2020;10:09:06;6/10/2020;Trade;250000;96.300;;M;;_;_;-;-;B;D;C;494074AL1
6/2/2020;13:29:08;6/4/2020;Trade;500000;96.400;;M;;_;_;-;-;S;D;C;494074AL1
6/2/2020;13:28:10;6/4/2020;Trade;500000;96.300;;M;;_;_;-;-;B;D;C;494074AL1
5/21/2020;13:04:30;5/26/2020;Trade;1MM+;96.400;;M;;_;_;-;-;S;D;C;494074AL1
5/21/2020;13:03:33;5/26/2020;Trade;1MM+;96.300;;M;;_;_;-;-;B;D;C;494074AL1
2/6/2020;11:22:47;2/10/2020;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;494074AL1
2/6/2020;11:18:00;2/10/2020;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;494074AL1
2/6/2020;11:17:01;2/10/2020;Cancel;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AL1
2/6/2020;11:17:01;2/10/2020;Correction;1MM+;99.100;;M;;_;_;-;-;B;D;C;494074AL1
2/6/2020;11:16:19;2/10/2020;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;494074AL1
10/24/2019;10:43:41;10/28/2019;Cancel;1MM+;100.300;;M;;_;_;-;-;S;D;C;494074AL1
10/24/2019;10:43:41;10/28/2019;Cancel;1MM+;100.300;;M;;_;_;-;-;S;D;C;494074AL1
10/16/2019;11:33:29;10/18/2019;Trade;250000;99.050;;M;;_;_;-;-;S;D;C;494074AL1
10/16/2019;11:32:00;10/18/2019;Trade;250000;98.950;;M;;_;_;-;-;B;D;C;494074AL1
10/1/2019;09:47:08;10/3/2019;Trade;500000;99.025;;M;;_;_;-;-;S;D;C;494074AL1
10/1/2019;09:36:35;10/3/2019;Trade;500000;98.975;;M;;_;_;-;-;B;D;C;494074AL1
9/30/2019;12:10:36;10/2/2019;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;494074AL1
9/30/2019;12:10:04;10/2/2019;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;494074AL1
7/26/2019;09:33:46;7/30/2019;Trade;250000;96.855;;M;;_;_;-;-;S;;;494074AL1
7/26/2019;09:33:12;7/30/2019;Trade;250000;96.825;;M;;_;_;-;-;B;D;C;494074AL1
7/15/2019;13:29:40;7/17/2019;Trade;1MM+;96.600;;M;;_;_;-;-;S;D;C;494074AL1
7/15/2019;13:27:21;7/17/2019;Trade;1MM+;96.500;;M;;_;_;-;-;B;D;C;494074AL1
6/10/2019;16:00:00;6/12/2019;Trade;1MM+;95.400;;M;;_;_;-;-;B;D;C;494074AL1
6/10/2019;16:00:00;6/12/2019;Trade;1MM+;95.500;;M;;_;_;-;-;S;D;C;494074AL1
5/31/2019;09:00:50;6/4/2019;Trade;1MM+;95.500;;M;;_;_;-;-;S;D;C;494074AL1
5/31/2019;09:00:15;6/4/2019;Trade;1MM+;95.400;;M;;_;_;-;-;B;D;C;494074AL1
5/23/2019;13:11:49;5/28/2019;Trade;250000;94.600;;M;;_;_;-;-;S;D;C;494074AL1
5/23/2019;13:11:23;5/28/2019;Trade;250000;94.500;;M;;_;_;-;-;B;D;C;494074AL1
4/5/2019;10:19:17;4/9/2019;Trade;500000;97.700;;M;;_;_;-;-;S;D;C;494074AL1
4/5/2019;10:18:04;4/9/2019;Trade;500000;97.600;;M;;_;_;-;-;B;D;C;494074AL1
2/6/2019;13:16:00;2/8/2019;Trade;750000;99.000;;N;;_;_;-;-;S;D;C;494074AL1
2/6/2019;13:16:00;2/8/2019;Trade;750000;98.900;;N;;_;_;-;-;B;D;C;494074AL1
11/27/2018;11:36:37;11/29/2018;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;494074AL1
11/27/2018;11:35:29;11/29/2018;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;494074AL1
8/20/2018;10:46:19;8/22/2018;Trade;700000;99.900;;M;;_;_;-;-;S;D;C;494074AL1
8/20/2018;10:45:41;8/22/2018;Trade;700000;99.800;;M;;_;_;-;-;B;D;C;494074AL1
8/14/2018;11:14:22;8/16/2018;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;494074AL1
8/14/2018;11:13:39;8/16/2018;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;494074AL1
8/14/2018;10:57:39;8/16/2018;Trade;250000;99.900;;M;;_;_;-;-;S;D;C;494074AL1
8/14/2018;10:57:00;8/16/2018;Trade;250000;99.800;;M;;_;_;-;-;B;D;C;494074AL1
7/25/2018;10:46:50;7/27/2018;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;494074AL1
7/25/2018;10:46:17;7/27/2018;Trade;1000000;99.800;;M;;_;_;-;-;B;D;C;494074AL1
6/27/2018;12:38:20;6/29/2018;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;494074AL1
6/27/2018;12:37:12;6/29/2018;Trade;1MM+;99.810;;M;;_;_;-;-;B;D;C;494074AL1
6/8/2018;08:43:38;6/12/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;494074AL1
6/8/2018;08:42:45;6/12/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;494074AL1
5/31/2018;10:17:34;6/4/2018;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;494074AL1
5/31/2018;09:46:39;6/4/2018;Correction;1000000;100.100;;M;;Z;_;-;-;S;D;C;494074AL1
