Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/17/2020;11:29:22;6/19/2020;Trade;250000;98.350;;M;;_;_;-;-;B;D;C;49835KAC7
6/17/2020;11:29:22;6/19/2020;Trade;250000;98.250;;M;;_;_;-;-;S;D;C;49835KAC7
6/12/2020;12:16:58;6/16/2020;Trade;1000000;98.100;;M;;_;_;-;-;B;D;C;49835KAC7
6/12/2020;12:14:59;6/16/2020;Trade;1000000;98.200;;M;;_;_;-;-;S;D;C;49835KAC7
6/10/2020;12:05:14;6/12/2020;Trade;1MM+;98.200;;M;;_;_;-;-;S;D;C;49835KAC7
6/10/2020;12:02:58;6/12/2020;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;49835KAC7
6/9/2020;12:35:45;6/11/2020;Trade;750000;98.400;;M;;Z;_;-;A;S;D;C;49835KAC7
6/9/2020;11:06:53;6/11/2020;Trade;750000;98.400;;M;;_;_;-;-;S;D;C;49835KAC7
6/9/2020;11:05:07;6/11/2020;Trade;750000;98.300;;M;;_;_;-;-;B;D;C;49835KAC7
5/14/2020;14:44:29;5/18/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;49835KAC7
5/14/2020;14:39:20;5/18/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;49835KAC7
5/14/2020;07:59:23;5/18/2020;Trade;1MM+;98.500;;M;;Z;_;-;A;S;D;C;49835KAC7
1/23/2020;09:16:14;1/27/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;49835KAC7
1/23/2020;09:15:41;1/27/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;49835KAC7
1/7/2020;12:18:42;1/9/2020;Trade;500000;99.200;;M;;_;_;-;-;B;D;C;49835KAC7
1/7/2020;12:18:09;1/9/2020;Trade;500000;99.300;;M;;_;_;-;-;S;D;C;49835KAC7
12/16/2019;13:06:00;12/18/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49835KAC7
12/16/2019;13:06:00;12/18/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;49835KAC7
7/31/2019;11:08:26;8/2/2019;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;49835KAC7
7/31/2019;11:06:47;8/2/2019;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;49835KAC7
6/27/2019;09:28:19;7/1/2019;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;49835KAC7
6/27/2019;09:27:14;7/1/2019;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;49835KAC7
4/10/2019;14:25:26;4/12/2019;Trade;1MM+;98.650;;M;;_;_;-;-;S;D;C;49835KAC7
4/10/2019;14:20:00;4/12/2019;Trade;1MM+;98.550;;M;;_;_;-;-;B;D;C;49835KAC7
3/11/2019;10:51:35;3/13/2019;Trade;500000;99.050;;M;;_;_;-;-;B;D;C;49835KAC7
3/11/2019;10:51:00;3/13/2019;Trade;750000;99.150;;M;;_;_;-;-;S;D;C;49835KAC7
3/11/2019;10:49:54;3/13/2019;Trade;250000;99.050;;M;;_;_;-;-;B;D;C;49835KAC7
2/11/2019;10:26:54;2/13/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;49835KAC7
2/11/2019;10:26:20;2/13/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;49835KAC7
2/11/2019;09:27:45;2/13/2019;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;49835KAC7
2/11/2019;09:27:35;2/13/2019;Trade;250000;99.600;;M;;_;_;-;-;S;D;C;49835KAC7
2/11/2019;09:26:55;2/13/2019;Trade;250000;99.600;;M;;_;_;-;-;S;D;C;49835KAC7
2/11/2019;09:26:26;2/13/2019;Trade;1000000;99.500;;M;;_;_;-;-;B;D;C;49835KAC7
12/19/2018;08:43:24;12/21/2018;Trade;1MM+;97.250;;M;;_;_;-;-;S;D;C;49835KAC7
12/19/2018;08:42:51;12/21/2018;Trade;1MM+;97.150;;M;;_;_;-;-;B;D;C;49835KAC7
12/17/2018;12:50:58;12/19/2018;Trade;325000;97.250;;M;;_;_;-;-;S;D;C;49835KAC7
12/17/2018;12:50:27;12/19/2018;Trade;325000;97.150;;M;;_;_;-;-;B;D;C;49835KAC7
11/1/2018;08:48:10;11/5/2018;Trade;300000;100.800;;M;;_;_;-;-;S;D;C;49835KAC7
11/1/2018;08:46:59;11/5/2018;Trade;300000;100.700;;M;;_;_;-;-;B;D;C;49835KAC7
10/3/2018;08:34:55;10/5/2018;Trade;625000;100.750;;M;;_;_;-;-;S;D;C;49835KAC7
10/3/2018;08:34:07;10/5/2018;Trade;625000;100.650;;M;;_;_;-;-;B;D;C;49835KAC7
6/20/2018;09:35:41;6/22/2018;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;49835KAC7
6/20/2018;09:35:12;6/22/2018;Trade;500000;100.100;;M;;_;_;-;-;B;D;C;49835KAC7
