Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/14/2020;09:54:57;5/18/2020;Trade;500000;98.600;;M;;_;_;-;-;S;D;C;49835KAD5
5/14/2020;09:54:57;5/18/2020;Trade;1MM+;98.600;;M;;_;_;-;-;S;D;C;49835KAD5
5/14/2020;09:51:56;5/18/2020;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;49835KAD5
5/13/2020;15:31:27;5/15/2020;Trade;1000000;98.500;;M;;_;_;-;-;B;D;C;49835KAD5
5/13/2020;12:20:13;5/15/2020;Trade;1000000;98.600;;M;;_;_;-;-;S;D;C;49835KAD5
3/12/2020;12:11:52;3/16/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;49835KAD5
3/12/2020;12:08:26;3/16/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;49835KAD5
1/16/2020;11:12:23;1/21/2020;Trade;1000000;99.350;;M;;_;_;-;-;S;D;C;49835KAD5
1/16/2020;11:11:38;1/21/2020;Trade;1000000;99.250;;M;;_;_;-;-;B;D;C;49835KAD5
12/16/2019;13:01:00;12/18/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;49835KAD5
12/16/2019;13:01:00;12/18/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;49835KAD5
11/13/2019;11:37:04;11/15/2019;Cancel;350000;99.000;;M;;Z;_;-;A;B;D;C;49835KAD5
11/13/2019;11:37:04;11/15/2019;Cancel;350000;99.000;;M;;Z;_;-;A;B;D;C;49835KAD5
11/13/2019;11:37:04;11/15/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;49835KAD5
11/13/2019;11:37:00;11/15/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;49835KAD5
11/1/2019;10:25:44;11/5/2019;Trade;1000000;99.100;;M;;_;_;-;-;S;D;C;49835KAD5
11/1/2019;10:25:44;11/5/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;49835KAD5
11/1/2019;10:25:44;11/5/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;49835KAD5
6/17/2019;12:17:36;6/20/2019;Trade;350000;98.900;;M;;_;_;-;-;S;D;C;49835KAD5
6/17/2019;12:16:46;6/20/2019;Trade;400000;98.900;;M;;_;_;-;-;S;D;C;49835KAD5
6/17/2019;12:15:04;6/20/2019;Trade;750000;98.800;;M;;_;_;-;-;B;D;C;49835KAD5
6/17/2019;12:14:41;6/19/2019;Cancel;750000;98.800;;M;;_;_;-;-;B;D;C;49835KAD5
6/17/2019;12:14:41;6/19/2019;Cancel;750000;98.800;;M;;_;_;-;-;B;D;C;49835KAD5
3/13/2019;09:34:47;3/15/2019;Trade;250000;99.000;;M;;_;_;-;-;S;D;C;49835KAD5
3/13/2019;09:33:45;3/15/2019;Trade;250000;98.900;;M;;_;_;-;-;B;D;C;49835KAD5
12/18/2018;08:23:07;12/20/2018;Trade;250000;97.500;;M;;_;_;-;-;S;D;C;49835KAD5
12/18/2018;08:22:33;12/20/2018;Trade;250000;97.400;;M;;_;_;-;-;B;D;C;49835KAD5
12/17/2018;12:45:59;12/19/2018;Trade;250000;97.500;;M;;_;_;-;-;S;D;C;49835KAD5
12/17/2018;12:45:12;12/19/2018;Trade;250000;97.400;;M;;_;_;-;-;B;D;C;49835KAD5
10/12/2018;10:23:59;10/16/2018;Trade;500000;101.600;;M;;_;_;-;-;S;D;C;49835KAD5
10/12/2018;10:23:07;10/16/2018;Trade;500000;101.500;;M;;_;_;-;-;B;D;C;49835KAD5
7/2/2018;08:39:27;7/5/2018;Trade;1000000;100.500;;M;;_;_;-;-;S;D;C;49835KAD5
7/2/2018;08:38:50;7/5/2018;Trade;1000000;100.400;;M;;_;_;-;-;B;D;C;49835KAD5
5/17/2018;11:52:07;5/21/2018;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;49835KAD5
5/17/2018;11:51:40;5/21/2018;Trade;1000000;100.200;;M;;_;_;-;-;B;D;C;49835KAD5
5/8/2018;11:33:35;5/10/2018;Trade;300000;100.250;;M;;_;_;-;-;S;D;C;49835KAD5
5/8/2018;11:33:02;5/10/2018;Trade;300000;100.150;;M;;_;_;-;-;B;D;C;49835KAD5
