Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/11/2020;13:54:28;6/15/2020;Trade;1000000;97.700;;M;;_;_;-;-;S;D;C;542799AD3
6/11/2020;13:53:30;6/15/2020;Trade;1000000;97.600;;M;;_;_;-;-;B;D;C;542799AD3
6/9/2020;09:40:31;6/11/2020;Trade;1000000;97.700;;M;;_;_;-;-;S;D;C;542799AD3
6/9/2020;09:39:54;6/11/2020;Trade;1000000;97.600;;M;;_;_;-;-;B;D;C;542799AD3
6/8/2020;11:43:49;6/10/2020;Trade;1MM+;97.700;;M;;_;_;-;-;S;D;C;542799AD3
6/8/2020;11:43:06;6/10/2020;Trade;1MM+;97.600;;M;;_;_;-;-;B;D;C;542799AD3
6/5/2020;13:43:36;6/9/2020;Trade;1MM+;97.700;;M;;_;_;-;-;S;D;C;542799AD3
6/5/2020;13:43:01;6/9/2020;Trade;1MM+;97.600;;M;;_;_;-;-;B;D;C;542799AD3
6/3/2020;10:40:08;6/5/2020;Trade;1MM+;97.700;;M;;_;_;-;-;S;D;C;542799AD3
6/3/2020;10:38:39;6/5/2020;Trade;1MM+;97.600;;M;;_;_;-;-;B;D;C;542799AD3
6/3/2020;10:38:04;6/5/2020;Trade;1MM+;97.600;;M;;_;_;-;-;B;D;C;542799AD3
5/27/2020;11:33:00;5/29/2020;Trade;250000;97.700;;M;;_;_;-;-;S;D;C;542799AD3
5/27/2020;11:30:23;5/29/2020;Trade;250000;97.600;;M;;_;_;-;-;B;D;C;542799AD3
5/27/2020;11:22:48;5/29/2020;Trade;500000;97.700;;M;;_;_;-;-;S;D;C;542799AD3
5/27/2020;11:22:06;5/29/2020;Trade;500000;97.600;;M;;_;_;-;-;B;D;C;542799AD3
5/27/2020;08:29:51;5/29/2020;Trade;250000;97.700;;M;;Z;_;-;A;S;D;C;542799AD3
5/26/2020;10:05:41;5/28/2020;Trade;1MM+;97.700;;M;;_;_;-;-;S;D;C;542799AD3
5/26/2020;10:04:51;5/28/2020;Trade;1MM+;97.600;;M;;_;_;-;-;B;D;C;542799AD3
5/19/2020;14:54:07;5/21/2020;Trade;250000;97.500;;M;;_;_;-;-;B;D;C;542799AD3
5/19/2020;14:54:07;5/21/2020;Trade;250000;97.400;;M;;_;_;-;-;S;D;C;542799AD3
5/14/2020;13:53:26;5/18/2020;Trade;500000;97.450;;M;;_;_;-;-;S;D;C;542799AD3
5/14/2020;13:51:39;5/18/2020;Trade;500000;97.350;;M;;_;_;-;-;B;D;C;542799AD3
5/14/2020;11:05:22;5/18/2020;Trade;500000;97.350;;M;;_;_;-;-;B;D;C;542799AD3
5/14/2020;11:02:07;5/18/2020;Trade;500000;97.450;;M;;_;_;-;-;S;D;C;542799AD3
5/14/2020;11:02:07;5/18/2020;Trade;250000;97.450;;M;;Z;_;-;A;S;D;C;542799AD3
5/14/2020;11:02:07;5/18/2020;Trade;250000;97.450;;M;;Z;_;-;A;S;D;C;542799AD3
5/13/2020;13:41:42;5/15/2020;Trade;1000000;97.450;;M;;_;_;-;-;S;D;C;542799AD3
5/13/2020;13:40:13;5/15/2020;Trade;1000000;97.350;;M;;_;_;-;-;B;D;C;542799AD3
5/6/2020;10:40:59;5/8/2020;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;542799AD3
5/6/2020;10:40:08;5/8/2020;Trade;1MM+;97.800;;M;;_;_;-;-;B;D;C;542799AD3
4/27/2020;12:12:34;4/29/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;542799AD3
4/27/2020;12:12:31;4/29/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;542799AD3
3/19/2020;11:07:30;3/23/2020;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;542799AD3
3/19/2020;11:06:22;3/23/2020;Trade;1MM+;97.020;;M;;_;_;-;-;B;D;C;542799AD3
3/19/2020;11:05:35;3/23/2020;Trade;1MM+;97.090;;M;;_;_;-;-;S;D;C;542799AD3
3/18/2020;13:56:34;3/20/2020;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;542799AD3
3/18/2020;12:56:35;3/20/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;542799AD3
3/18/2020;12:56:34;3/20/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;542799AD3
3/9/2020;13:10:48;3/11/2020;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;542799AD3
3/9/2020;13:04:50;3/11/2020;Trade;1000000;100.450;;M;;_;_;-;-;S;D;C;542799AD3
3/9/2020;11:52:07;3/11/2020;Trade;500000;100.450;;M;;_;_;-;-;S;D;C;542799AD3
3/5/2020;12:15:08;3/9/2020;Trade;500000;100.450;;M;;_;_;-;-;S;D;C;542799AD3
3/5/2020;12:14:12;3/9/2020;Trade;500000;100.350;;M;;_;_;-;-;B;D;C;542799AD3
2/6/2020;09:54:06;2/10/2020;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;542799AD3
2/6/2020;09:53:37;2/10/2020;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;542799AD3
2/6/2020;09:53:05;2/10/2020;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;542799AD3
1/8/2020;13:42:47;1/10/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;542799AD3
1/8/2020;13:26:30;1/10/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;542799AD3
