Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/17/2020;11:25:11;7/21/2020;Trade;1MM+;98.350;;M;;Z;_;-;-;S;D;C;577092AC3
7/17/2020;11:25:11;7/21/2020;Trade;1MM+;98.350;;M;;Z;_;-;-;S;D;C;577092AC3
7/17/2020;11:25:11;7/21/2020;Trade;1000000;98.350;;M;;Z;_;-;-;S;D;C;577092AC3
7/17/2020;11:25:11;7/21/2020;Trade;1MM+;98.350;;M;;Z;_;-;-;S;D;C;577092AC3
7/17/2020;10:56:35;7/21/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;577092AC3
7/17/2020;10:33:54;7/21/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;577092AC3
7/17/2020;10:31:51;7/21/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;577092AC3
6/26/2020;07:59:05;6/30/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;577092AC3
6/26/2020;07:58:28;6/30/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;577092AC3
6/25/2020;11:40:10;6/29/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;577092AC3
6/25/2020;11:39:31;6/29/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;577092AC3
6/25/2020;09:25:06;6/29/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;;;577092AC3
6/25/2020;09:21:15;6/29/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;577092AC3
6/24/2020;10:35:23;6/26/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;577092AC3
6/24/2020;10:34:43;6/26/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;577092AC3
6/18/2020;12:02:36;6/22/2020;Trade;1MM+;97.250;;M;;_;_;-;-;S;D;C;577092AC3
6/18/2020;12:01:50;6/22/2020;Trade;1MM+;97.150;;M;;_;_;-;-;B;D;C;577092AC3
6/18/2020;11:34:14;6/22/2020;Trade;1MM+;97.250;;M;;_;_;-;-;S;D;C;577092AC3
6/18/2020;11:34:14;6/22/2020;Trade;1MM+;97.250;;M;;Z;_;-;-;S;D;C;577092AC3
6/18/2020;11:34:14;6/22/2020;Trade;1MM+;97.250;;M;;Z;_;-;-;S;D;C;577092AC3
6/18/2020;10:53:36;6/22/2020;Trade;1MM+;97.150;;M;;_;_;-;-;B;D;C;577092AC3
6/11/2020;13:10:06;6/15/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;577092AC3
6/11/2020;12:02:42;6/15/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;577092AC3
6/3/2020;13:12:04;6/5/2020;Trade;500000;98.100;;M;;_;_;-;-;S;D;C;577092AC3
6/3/2020;13:09:25;6/5/2020;Trade;500000;98.000;;M;;_;_;-;-;B;D;C;577092AC3
6/3/2020;09:05:38;6/5/2020;Trade;500000;98.000;;M;;Z;_;-;A;B;D;C;577092AC3
3/26/2020;13:27:57;3/30/2020;Trade;500000;96.600;;M;;_;_;-;-;S;D;C;577092AC3
3/26/2020;13:27:55;3/30/2020;Trade;500000;96.500;;M;;Z;_;-;-;B;D;C;577092AC3
3/26/2020;10:26:36;3/30/2020;Trade;1MM+;96.600;;M;;_;_;-;-;S;D;C;577092AC3
3/26/2020;10:25:47;3/30/2020;Trade;1MM+;96.500;;M;;_;_;-;-;B;D;C;577092AC3
3/23/2020;10:30:27;3/25/2020;Trade;1MM+;95.750;;M;;_;_;-;-;B;D;C;577092AC3
3/23/2020;10:27:37;3/25/2020;Trade;1MM+;95.850;;M;;_;_;-;-;S;D;C;577092AC3
3/17/2020;10:40:55;3/19/2020;Trade;1MM+;98.850;;M;;Z;_;-;-;S;D;C;577092AC3
3/17/2020;10:38:41;3/19/2020;Trade;1MM+;98.750;;M;;Z;_;-;-;B;;;577092AC3
3/13/2020;13:58:00;3/17/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;577092AC3
3/13/2020;13:58:00;3/17/2020;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;577092AC3
3/12/2020;11:34:00;3/16/2020;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;577092AC3
3/12/2020;11:34:00;3/16/2020;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;577092AC3
3/12/2020;10:36:00;3/16/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;577092AC3
3/12/2020;10:36:00;3/16/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;577092AC3
3/12/2020;08:44:00;3/16/2020;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;577092AC3
3/12/2020;08:44:00;3/16/2020;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;577092AC3
