Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/16/2020;13:45:33;7/20/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;577092AE9
7/16/2020;12:05:45;7/20/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;577092AE9
7/16/2020;12:03:55;7/20/2020;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;577092AE9
7/8/2020;10:47:00;7/10/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;577092AE9
7/8/2020;10:45:58;7/10/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;577092AE9
7/8/2020;09:11:22;7/10/2020;Trade;1000000;98.100;;M;;_;_;-;-;S;D;C;577092AE9
7/8/2020;09:09:26;7/10/2020;Trade;1000000;98.000;;M;;_;_;-;-;B;D;C;577092AE9
7/7/2020;10:04:54;7/9/2020;Trade;1000000;97.900;;M;;_;_;-;-;S;D;C;577092AE9
7/7/2020;10:02:29;7/9/2020;Trade;1000000;97.800;;M;;_;_;-;-;B;D;C;577092AE9
7/7/2020;09:50:10;7/9/2020;Trade;750000;97.750;;M;;_;_;-;-;S;D;C;577092AE9
7/7/2020;09:49:27;7/9/2020;Trade;750000;97.650;;M;;_;_;-;-;B;D;C;577092AE9
4/24/2020;10:41:59;4/28/2020;Trade;1000000;97.250;;M;;_;_;-;-;S;D;C;577092AE9
4/24/2020;10:40:48;4/28/2020;Trade;1000000;97.150;;M;;_;_;-;-;B;D;C;577092AE9
4/24/2020;10:27:41;4/28/2020;Trade;1MM+;97.250;;M;;_;_;-;-;S;D;C;577092AE9
4/24/2020;10:26:56;4/28/2020;Trade;1MM+;97.150;;M;;_;_;-;-;B;D;C;577092AE9
