Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/5/2019;15:39:47;3/7/2019;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;59012UAB1
3/5/2019;15:39:03;3/7/2019;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;59012UAB1
3/5/2019;15:37:08;3/7/2019;Trade;1MM+;100.120;;M;;_;_;-;-;B;D;C;59012UAB1
3/5/2019;15:36:32;3/6/2019;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;59012UAB1
3/5/2019;15:35:46;3/6/2019;Trade;1MM+;100.120;;M;;_;_;-;-;B;D;C;59012UAB1
12/14/2018;11:37:37;12/18/2018;Trade;250000;100.000;;M;;_;_;-;-;S;D;C;59012UAB1
12/14/2018;11:37:05;12/18/2018;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;59012UAB1
11/5/2018;08:57:21;11/7/2018;Trade;250000;99.950;;M;;_;_;-;-;S;D;C;59012UAB1
11/5/2018;08:56:06;11/7/2018;Trade;250000;99.850;;M;;_;_;-;-;B;D;C;59012UAB1
10/22/2018;12:36:26;10/24/2018;Trade;1MM+;100.125;;M;;_;_;-;-;S;D;C;59012UAB1
10/22/2018;12:34:59;10/24/2018;Trade;1MM+;100.025;;M;;_;_;-;-;B;D;C;59012UAB1
9/17/2018;11:57:00;9/19/2018;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;59012UAB1
9/17/2018;11:57:00;9/19/2018;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;59012UAB1
8/30/2018;12:31:39;9/4/2018;Trade;500000;100.355;;M;;_;_;-;-;S;D;C;59012UAB1
8/30/2018;12:31:09;9/4/2018;Trade;500000;100.305;;M;;_;_;-;-;B;D;C;59012UAB1
6/5/2018;16:30:12;6/7/2018;Trade;500000;100.450;;M;;_;_;-;-;S;D;C;59012UAB1
6/5/2018;16:30:02;6/7/2018;Trade;500000;100.350;;M;;_;_;-;-;B;D;C;59012UAB1
4/30/2018;12:13:00;5/2/2018;Trade;500000;100.350;;N;;_;_;-;-;B;D;C;59012UAB1
4/30/2018;12:13:00;5/2/2018;Trade;500000;100.450;;N;;_;_;-;-;S;D;C;59012UAB1
4/27/2018;09:08:59;5/1/2018;Trade;1MM+;100.365;;M;;_;_;-;-;S;D;C;59012UAB1
4/27/2018;09:01:07;5/1/2018;Trade;1MM+;100.315;;M;;_;_;-;-;B;D;C;59012UAB1
4/26/2018;09:14:06;4/30/2018;Trade;250000;100.365;;M;;_;_;-;-;S;D;C;59012UAB1
4/26/2018;09:08:23;4/30/2018;Trade;250000;100.315;;M;;_;_;-;-;B;D;C;59012UAB1
10/5/2017;11:13:06;10/10/2017;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;59012UAB1
10/5/2017;11:06:41;10/10/2017;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;59012UAB1
10/3/2017;12:09:47;10/6/2017;Trade;250000;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
10/3/2017;12:09:03;10/6/2017;Trade;250000;100.550;;M;;_;_;-;-;B;D;C;59012UAB1
10/3/2017;09:22:35;10/6/2017;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
10/3/2017;09:21:59;10/6/2017;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;59012UAB1
9/19/2017;10:34:28;9/22/2017;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;59012UAB1
9/19/2017;10:33:44;9/22/2017;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;59012UAB1
9/19/2017;09:40:51;9/22/2017;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;59012UAB1
9/19/2017;09:39:39;9/22/2017;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;59012UAB1
9/6/2017;11:04:38;9/8/2017;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;59012UAB1
9/6/2017;11:03:59;9/8/2017;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;59012UAB1
9/5/2017;12:08:27;9/8/2017;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;59012UAB1
9/5/2017;12:06:37;9/8/2017;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;59012UAB1
9/5/2017;10:58:34;9/7/2017;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;59012UAB1
9/5/2017;10:57:57;9/7/2017;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;59012UAB1
1/10/2017;13:55:00;1/13/2017;Trade;1MM+;100.575;;M;;Z;_;-;-;B;D;C;59012UAB1
1/10/2017;13:55:00;1/13/2017;Trade;1MM+;100.675;;M;;Z;_;-;-;S;D;C;59012UAB1
12/15/2016;13:17:16;12/20/2016;Trade;1MM+;100.575;;M;;_;_;-;-;S;D;C;59012UAB1
12/15/2016;13:17:14;12/20/2016;Trade;1MM+;100.475;;M;;_;_;-;-;B;D;C;59012UAB1
12/15/2016;11:12:21;12/20/2016;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;59012UAB1
12/15/2016;11:12:21;12/20/2016;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
12/15/2016;11:02:22;12/20/2016;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;59012UAB1
12/15/2016;11:02:20;12/20/2016;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
12/14/2016;09:10:44;12/19/2016;Trade;1000000;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
12/14/2016;09:10:42;12/19/2016;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;59012UAB1
12/14/2016;09:10:40;12/19/2016;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
12/5/2016;11:00:00;12/8/2016;Trade;700000;100.550;;M;;_;_;-;-;B;D;C;59012UAB1
12/5/2016;11:00:00;12/8/2016;Trade;700000;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
11/29/2016;10:52:46;12/2/2016;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;59012UAB1
11/29/2016;10:52:42;12/2/2016;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;59012UAB1
4/12/2016;17:05:16;4/15/2016;Trade;1MM+;100.300;0;N;;_;_;-;-;S;D;C;59012UAB1
4/12/2016;17:05:00;4/15/2016;Trade;1MM+;100.200;0;N;;_;_;-;-;B;D;C;59012UAB1
4/12/2016;17:05:00;4/15/2016;Trade;1MM+;100.300;0;N;;_;_;-;-;S;D;C;59012UAB1
4/12/2016;17:05:00;4/15/2016;Trade;1MM+;100.200;0;N;;_;_;-;-;B;D;C;59012UAB1
