Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/25/2020;13:50:25;3/27/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;59012UAC9
3/25/2020;13:49:31;3/27/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;59012UAC9
3/19/2020;13:22:32;3/23/2020;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;59012UAC9
3/19/2020;13:22:30;3/23/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;59012UAC9
3/19/2020;13:22:28;3/23/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;59012UAC9
3/5/2020;13:36:53;3/9/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;59012UAC9
3/5/2020;13:36:27;3/9/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;59012UAC9
3/4/2020;16:30:35;3/6/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;59012UAC9
3/4/2020;16:28:39;3/6/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;59012UAC9
2/21/2020;11:15:46;2/25/2020;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;59012UAC9
2/21/2020;11:12:16;2/25/2020;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;59012UAC9
8/29/2019;08:44:42;9/3/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;59012UAC9
8/29/2019;08:43:04;9/3/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;59012UAC9
7/15/2019;10:34:30;7/17/2019;Trade;750000;99.800;;M;;_;_;-;-;S;D;C;59012UAC9
7/15/2019;10:33:45;7/17/2019;Trade;750000;99.700;;M;;_;_;-;-;B;D;C;59012UAC9
6/18/2019;08:49:26;6/20/2019;Trade;250000;99.750;;M;;_;_;-;-;S;D;C;59012UAC9
6/18/2019;08:47:07;6/20/2019;Trade;250000;99.650;;M;;_;_;-;-;B;D;C;59012UAC9
6/12/2019;08:35:53;6/14/2019;Trade;400000;99.700;;M;;_;_;-;-;S;D;C;59012UAC9
6/12/2019;08:35:20;6/14/2019;Trade;400000;99.600;;M;;_;_;-;-;B;D;C;59012UAC9
6/6/2019;10:30:21;6/10/2019;Trade;1000000;99.700;;M;;_;_;-;-;S;D;C;59012UAC9
6/6/2019;10:29:47;6/10/2019;Trade;1000000;99.600;;M;;_;_;-;-;B;D;C;59012UAC9
5/30/2019;11:26:02;6/3/2019;Trade;250000;99.550;;M;;_;_;-;-;B;D;C;59012UAC9
5/30/2019;11:25:27;6/3/2019;Trade;250000;99.650;;M;;_;_;-;-;S;D;C;59012UAC9
