Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/23/2020;10:55:18;3/25/2020;Trade;1MM+;99.670;;M;;_;_;-;-;S;D;C;59165HAB5
3/23/2020;10:55:18;3/25/2020;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;59165HAB5
3/23/2020;10:55:18;3/25/2020;Trade;1MM+;99.590;;M;;_;_;-;-;B;D;C;59165HAB5
3/19/2020;13:13:34;3/23/2020;Trade;1MM+;99.550;;M;;_;_;-;-;S;D;C;59165HAB5
3/19/2020;13:12:51;3/23/2020;Trade;1MM+;99.450;;M;;_;_;-;-;B;D;C;59165HAB5
3/19/2020;12:23:17;3/23/2020;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;59165HAB5
3/19/2020;12:22:10;3/23/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;59165HAB5
3/19/2020;12:00:43;3/23/2020;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;59165HAB5
3/19/2020;11:57:45;3/23/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;59165HAB5
3/19/2020;08:31:10;3/23/2020;Trade;1MM+;99.820;;M;;_;_;-;-;S;D;C;59165HAB5
3/19/2020;08:30:30;3/23/2020;Trade;1MM+;99.720;;M;;_;_;-;-;B;D;C;59165HAB5
3/19/2020;08:29:42;3/23/2020;Trade;1MM+;99.720;;M;;_;_;-;-;B;D;C;59165HAB5
3/5/2020;12:45:18;3/9/2020;Trade;500000;100.250;;M;;_;_;-;-;S;D;C;59165HAB5
3/5/2020;12:18:25;3/9/2020;Correction;500000;100.150;;M;;Z;_;-;-;B;D;C;59165HAB5
3/5/2020;12:18:25;3/9/2020;Cancel;500000;100.150;;M;;_;_;-;-;S;D;C;59165HAB5
11/20/2019;13:56:00;11/22/2019;Trade;500000;99.450;;N;;Z;_;-;-;B;D;C;59165HAB5
11/20/2019;13:56:00;11/22/2019;Trade;500000;99.450;;M;;Z;_;-;-;S;D;C;59165HAB5
11/20/2019;13:56:00;11/22/2019;Trade;500000;99.350;;N;;Z;_;-;-;S;D;C;59165HAB5
11/20/2019;13:56:00;11/22/2019;Trade;500000;99.350;;M;;Z;_;-;-;B;D;C;59165HAB5
10/2/2019;09:34:55;10/4/2019;Trade;1000000;100.700;;M;;_;_;-;-;S;;;59165HAB5
10/2/2019;09:34:13;10/4/2019;Trade;1MM+;100.700;;M;;_;_;-;-;S;D;C;59165HAB5
10/2/2019;09:33:31;10/4/2019;Trade;1MM+;100.700;;M;;_;_;-;-;S;D;C;59165HAB5
10/2/2019;09:32:51;10/4/2019;Trade;1MM+;100.600;;M;;_;_;-;-;B;;;59165HAB5
6/19/2019;09:45:50;6/21/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;59165HAB5
6/19/2019;09:45:19;6/21/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;59165HAB5
4/18/2019;11:57:00;4/24/2019;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;59165HAB5
4/18/2019;11:56:49;4/24/2019;Trade;1000000;99.600;;M;;_;_;-;-;S;D;C;59165HAB5
4/18/2019;11:56:37;4/24/2019;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;59165HAB5
4/18/2019;11:56:14;4/24/2019;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;59165HAB5
4/18/2019;11:56:02;4/24/2019;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;59165HAB5
4/8/2019;14:09:50;4/10/2019;Trade;250000;98.850;;N;;Z;_;-;A;S;D;C;59165HAB5
4/8/2019;14:09:50;4/10/2019;Trade;250000;98.750;;N;;Z;_;-;A;B;D;C;59165HAB5
