Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/17/2020;09:59:16;6/19/2020;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;608800AC2
6/17/2020;09:58:27;6/19/2020;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;608800AC2
6/17/2020;09:57:22;6/19/2020;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;608800AC2
6/17/2020;09:56:39;6/19/2020;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;608800AC2
6/9/2020;12:53:05;6/11/2020;Trade;700000;98.950;;M;;_;_;-;-;B;D;C;608800AC2
6/9/2020;12:52:30;6/11/2020;Trade;700000;99.050;;M;;_;_;-;-;S;D;C;608800AC2
6/4/2020;10:21:17;6/8/2020;Trade;250000;99.350;;M;;_;_;-;-;S;D;C;608800AC2
6/4/2020;10:19:56;6/8/2020;Trade;250000;99.250;;M;;_;_;-;-;B;D;C;608800AC2
6/4/2020;09:33:45;6/8/2020;Trade;750000;99.350;;M;;_;_;-;-;S;D;C;608800AC2
6/4/2020;09:32:15;6/8/2020;Trade;750000;99.250;;M;;_;_;-;-;B;D;C;608800AC2
6/3/2020;10:26:48;6/5/2020;Trade;500000;99.350;;M;;_;_;-;-;S;D;C;608800AC2
6/3/2020;10:26:15;6/5/2020;Trade;500000;99.250;;M;;_;_;-;-;B;D;C;608800AC2
5/29/2020;09:20:15;6/2/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;608800AC2
5/29/2020;09:19:02;6/2/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;608800AC2
5/28/2020;10:56:00;6/1/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;608800AC2
5/28/2020;10:56:00;6/1/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;608800AC2
5/28/2020;10:56:00;6/1/2020;Trade;250000;99.350;;M;;_;_;-;-;S;D;C;608800AC2
5/28/2020;10:30:08;6/1/2020;Trade;1MM+;99.250;;M;;Z;_;-;A;B;D;C;608800AC2
5/28/2020;10:30:08;6/1/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;608800AC2
5/28/2020;10:27:18;6/1/2020;Trade;500000;99.350;;M;;_;_;-;-;S;D;C;608800AC2
5/20/2020;13:12:43;5/22/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;608800AC2
5/20/2020;13:12:05;5/22/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;608800AC2
5/4/2020;15:37:05;5/6/2020;Trade;650000;98.650;;M;;_;_;-;-;B;D;C;608800AC2
5/4/2020;15:37:05;5/6/2020;Trade;340000;98.750;;M;;_;_;-;-;S;D;C;608800AC2
5/4/2020;15:37:05;5/6/2020;Trade;310000;98.750;;M;;_;_;-;-;S;D;C;608800AC2
3/30/2020;10:25:00;4/1/2020;Cancel;1MM+;97.500;;M;;Z;_;-;-;S;D;C;608800AC2
3/30/2020;10:25:00;4/1/2020;Trade;1MM+;97.500;;M;;Z;_;-;-;S;D;C;608800AC2
3/30/2020;10:25:00;4/1/2020;Cancel;1MM+;97.500;;M;;Z;_;-;-;S;D;C;608800AC2
3/30/2020;10:24:24;4/1/2020;Trade;1MM+;97.500;;M;;Z;_;-;-;S;D;C;608800AC2
3/30/2020;10:24:03;4/1/2020;Trade;1MM+;97.400;;M;;Z;_;-;-;B;D;C;608800AC2
3/25/2020;11:35:00;3/27/2020;Trade;1MM+;96.500;;M;;_;_;-;-;B;D;C;608800AC2
3/25/2020;11:34:40;3/27/2020;Trade;1MM+;96.600;;M;;_;_;-;-;S;D;C;608800AC2
3/24/2020;12:06:46;3/26/2020;Trade;870000;95.500;;M;;_;_;-;-;S;D;C;608800AC2
3/24/2020;12:05:40;3/26/2020;Trade;1MM+;95.480;;M;;_;_;-;-;S;D;C;608800AC2
3/24/2020;12:04:36;3/26/2020;Trade;1MM+;95.410;;M;;_;_;-;-;B;D;C;608800AC2
