Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/24/2020;09:49:45;6/29/2020;Cancel;1MM+;97.650;;M;;_;_;-;-;S;D;C;562012AA2
6/24/2020;09:49:45;6/26/2020;Correction;1MM+;97.650;;M;;Z;_;-;-;S;D;C;562012AA2
6/24/2020;09:46:04;6/26/2020;Correction;1MM+;97.550;;M;;Z;_;-;-;B;D;C;562012AA2
6/24/2020;09:46:04;6/29/2020;Cancel;1MM+;97.550;;M;;_;_;-;-;B;D;C;562012AA2
6/16/2020;09:14:01;6/18/2020;Trade;1MM+;97.250;;M;;Z;_;-;-;S;D;C;562012AA2
6/16/2020;09:12:35;6/18/2020;Trade;500000;97.150;;M;;Z;_;-;-;B;D;C;562012AA2
6/16/2020;09:11:55;6/18/2020;Trade;250000;97.150;;M;;Z;_;-;-;B;D;C;562012AA2
6/16/2020;09:11:06;6/18/2020;Correction;1000000;97.150;;M;;Z;_;-;-;B;D;C;562012AA2
6/16/2020;09:11:06;6/18/2020;Cancel;1000000;98.150;;M;;Z;_;-;-;B;D;C;562012AA2
5/27/2020;11:03:17;5/29/2020;Trade;1000000;97.300;;M;;_;_;-;-;S;D;C;562012AA2
5/27/2020;11:02:26;5/29/2020;Trade;1000000;97.200;;M;;_;_;-;-;B;D;C;562012AA2
4/22/2020;11:02:31;4/24/2020;Trade;1000000;97.200;;M;;_;_;-;-;B;D;C;562012AA2
4/22/2020;11:01:32;4/24/2020;Trade;1000000;97.300;;M;;_;_;-;-;S;D;C;562012AA2
4/22/2020;10:49:12;4/24/2020;Trade;1MM+;97.300;;M;;_;_;-;-;S;D;C;562012AA2
4/22/2020;10:47:50;4/24/2020;Trade;1MM+;97.200;;M;;_;_;-;-;B;D;C;562012AA2
4/14/2020;13:20:25;4/16/2020;Trade;500000;96.950;;M;;_;_;-;-;B;D;C;562012AA2
4/14/2020;13:19:43;4/16/2020;Trade;500000;97.050;;M;;_;_;-;-;S;D;C;562012AA2
3/19/2020;17:23:23;3/23/2020;Trade;1MM+;94.100;;M;;T;_;-;-;S;D;C;562012AA2
3/19/2020;17:22:31;3/23/2020;Trade;1MM+;94.000;;M;;T;_;-;-;B;D;C;562012AA2
3/13/2020;09:54:10;3/17/2020;Trade;1MM+;98.550;;M;;_;_;-;-;S;D;C;562012AA2
3/13/2020;09:53:01;3/17/2020;Trade;1MM+;98.450;;M;;_;_;-;-;B;D;C;562012AA2
3/13/2020;09:49:52;3/17/2020;Trade;1MM+;98.450;;M;;_;_;-;-;B;D;C;562012AA2
3/11/2020;10:15:21;3/13/2020;Trade;1MM+;98.950;;M;;_;_;-;-;S;D;C;562012AA2
3/11/2020;10:13:43;3/13/2020;Trade;1MM+;98.850;;M;;_;_;-;-;B;D;C;562012AA2
3/11/2020;10:12:57;3/13/2020;Trade;1MM+;98.850;;M;;_;_;-;-;B;D;C;562012AA2
3/10/2020;14:32:45;3/12/2020;Trade;1MM+;98.550;;M;;_;_;-;-;S;D;C;562012AA2
3/10/2020;14:29:26;3/12/2020;Trade;1MM+;99.150;;M;;_;_;-;-;S;D;C;562012AA2
3/10/2020;14:25:25;3/12/2020;Trade;1MM+;98.450;;M;;_;_;-;-;B;D;C;562012AA2
3/10/2020;14:22:39;3/12/2020;Trade;1MM+;99.050;;M;;_;_;-;-;B;D;C;562012AA2
1/21/2020;11:34:20;1/23/2020;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;562012AA2
1/21/2020;11:34:20;1/23/2020;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;562012AA2
1/17/2020;08:59:28;1/22/2020;Correction;1MM+;99.850;;M;;Z;_;-;-;S;D;C;562012AA2
1/17/2020;08:59:28;1/22/2020;Cancel;1MM+;97.850;;M;;_;_;-;-;S;D;C;562012AA2
1/17/2020;08:58:43;1/22/2020;Correction;1MM+;99.750;;M;;Z;_;-;-;B;D;C;562012AA2
1/17/2020;08:58:43;1/22/2020;Cancel;1MM+;97.750;;M;;_;_;-;-;B;D;C;562012AA2
1/15/2020;09:07:38;1/17/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;562012AA2
1/15/2020;09:07:35;1/17/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;562012AA2
1/9/2020;13:24:13;1/13/2020;Trade;750000;99.800;;M;;_;_;-;-;S;D;C;562012AA2
1/9/2020;13:17:58;1/13/2020;Trade;750000;99.700;;M;;_;_;-;-;B;D;C;562012AA2
11/7/2019;15:13:12;11/12/2019;Trade;750000;100.500;;N;;_;_;-;-;S;D;C;562012AA2
11/7/2019;15:13:12;11/12/2019;Trade;750000;100.400;;N;;_;_;-;-;B;D;C;562012AA2
7/29/2019;14:39:13;7/31/2019;Trade;250000;97.950;;M;;_;_;-;-;B;D;C;562012AA2
7/29/2019;14:39:09;7/31/2019;Trade;250000;98.000;;M;;_;_;-;-;S;D;C;562012AA2
7/25/2019;12:46:40;7/29/2019;Trade;1000000;98.200;;M;;_;_;-;-;S;D;C;562012AA2
7/25/2019;12:45:57;7/29/2019;Trade;1000000;98.100;;M;;_;_;-;-;B;D;C;562012AA2
7/23/2019;09:45:16;7/25/2019;Trade;1000000;98.200;;M;;_;_;-;-;S;D;C;562012AA2
7/23/2019;09:43:19;7/25/2019;Trade;1000000;98.100;;M;;_;_;-;-;B;D;C;562012AA2
7/12/2019;08:50:39;7/16/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;562012AA2
7/12/2019;08:41:40;7/16/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;562012AA2
5/23/2019;12:53:23;5/28/2019;Trade;250000;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;12:53:13;5/28/2019;Trade;250000;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;12:53:01;5/28/2019;Trade;250000;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;12:52:39;5/28/2019;Trade;250000;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;12:52:26;5/28/2019;Trade;1MM+;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;12:52:15;5/28/2019;Trade;250000;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;12:50:21;5/28/2019;Trade;1MM+;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;11:33:21;5/28/2019;Cancel;1MM+;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;11:33:21;5/28/2019;Cancel;1MM+;98.150;;M;;_;_;-;-;S;D;C;562012AA2
5/23/2019;11:33:12;5/28/2019;Trade;1MM+;98.050;;M;;_;_;-;-;B;D;C;562012AA2
5/23/2019;11:30:03;5/28/2019;Cancel;1MM+;98.150;;M;;_;_;-;-;S;D;C;562012AA2
