Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/8/2020;10:43:51;7/10/2020;Trade;1MM+;97.800;;M;;_;_;-;-;S;D;C;562012AB0
7/8/2020;10:43:07;7/10/2020;Trade;1MM+;97.800;;M;;_;_;-;-;S;D;C;562012AB0
7/8/2020;10:42:21;7/10/2020;Trade;1MM+;97.700;;M;;_;_;-;-;B;D;C;562012AB0
3/10/2020;13:20:37;3/12/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;562012AB0
3/10/2020;13:19:08;3/12/2020;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;562012AB0
1/21/2020;11:08:11;1/23/2020;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;562012AB0
1/21/2020;11:07:28;1/23/2020;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;562012AB0
8/22/2019;08:25:49;8/26/2019;Trade;750000;97.300;;M;;_;_;-;-;S;D;C;562012AB0
8/22/2019;08:24:14;8/26/2019;Trade;750000;97.200;;M;;_;_;-;-;B;D;C;562012AB0
5/21/2019;12:35:15;5/23/2019;Trade;400000;96.900;;M;;_;_;-;-;S;D;C;562012AB0
5/21/2019;11:56:15;5/23/2019;Cancel;400000;96.900;;M;;_;_;-;-;S;D;C;562012AB0
5/21/2019;11:56:15;5/23/2019;Cancel;400000;96.900;;M;;_;_;-;-;S;D;C;562012AB0
5/21/2019;11:55:37;5/23/2019;Trade;400000;96.800;;M;;_;_;-;-;B;D;C;562012AB0
1/29/2019;11:18:45;1/31/2019;Trade;900000;99.800;;M;;_;_;-;-;B;D;C;562012AB0
1/29/2019;11:18:22;1/31/2019;Trade;900000;99.900;;M;;_;_;-;-;S;D;C;562012AB0
1/15/2019;09:38:59;1/17/2019;Trade;250000;99.500;;M;;_;_;-;-;B;D;C;562012AB0
1/15/2019;09:35:13;1/17/2019;Trade;250000;99.600;;M;;_;_;-;-;S;D;C;562012AB0
8/16/2018;10:45:00;8/20/2018;Trade;300000;100.000;;M;;_;_;-;-;S;D;C;562012AB0
8/16/2018;10:42:00;8/20/2018;Trade;300000;99.950;;M;;_;_;-;-;B;D;C;562012AB0
5/16/2018;12:30:23;5/18/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;562012AB0
5/16/2018;12:30:00;5/18/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;562012AB0
4/24/2018;12:00:00;4/26/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;562012AB0
4/24/2018;10:56:05;4/26/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;562012AB0
4/24/2018;10:55:53;4/26/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;562012AB0
4/24/2018;09:32:09;4/26/2018;Trade;1000000;100.200;;M;;_;_;-;-;S;D;C;562012AB0
4/24/2018;09:31:28;4/26/2018;Trade;1000000;100.100;;M;;_;_;-;-;B;D;C;562012AB0
