Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/27/2020;10:56:35;4/29/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;59013MAA0
4/27/2020;10:55:56;4/29/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;59013MAA0
3/24/2020;10:35:54;3/26/2020;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;59013MAA0
3/24/2020;10:35:54;3/26/2020;Trade;375000;97.980;;M;;_;_;-;-;S;D;C;59013MAA0
3/24/2020;10:35:52;3/26/2020;Trade;1MM+;97.910;;M;;_;_;-;-;B;D;C;59013MAA0
3/9/2020;10:32:59;3/11/2020;Trade;500000;99.900;;M;;_;_;-;-;S;;;59013MAA0
3/9/2020;10:31:47;3/11/2020;Trade;500000;99.800;;M;;_;_;-;-;B;D;C;59013MAA0
3/5/2020;12:18:51;3/9/2020;Trade;500000;99.950;;M;;_;_;-;-;S;D;C;59013MAA0
3/5/2020;12:18:05;3/9/2020;Trade;500000;99.850;;M;;_;_;-;-;B;D;C;59013MAA0
3/4/2020;09:41:07;3/6/2020;Trade;1000000;99.800;;M;;_;_;-;-;B;;;59013MAA0
3/4/2020;09:38:35;3/6/2020;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;59013MAA0
1/7/2020;10:06:02;1/9/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;59013MAA0
1/7/2020;10:00:06;1/9/2020;Trade;500000;99.700;;M;;_;_;-;-;B;D;C;59013MAA0
1/7/2020;09:59:27;1/9/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;59013MAA0
8/29/2019;08:23:27;9/3/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;59013MAA0
8/29/2019;08:22:37;9/3/2019;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;59013MAA0
8/29/2019;08:21:40;9/3/2019;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;59013MAA0
7/9/2019;10:49:00;7/11/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;59013MAA0
7/9/2019;10:36:11;7/11/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;59013MAA0
7/3/2019;11:57:21;7/8/2019;Cancel;1MM+;99.800;;M;;_;_;-;-;B;D;C;59013MAA0
7/3/2019;11:57:21;7/8/2019;Cancel;1MM+;99.800;;M;;_;_;-;-;B;D;C;59013MAA0
7/3/2019;11:57:00;7/8/2019;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;59013MAA0
7/3/2019;11:45:02;7/8/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;59013MAA0
6/28/2019;09:44:14;7/2/2019;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;59013MAA0
6/28/2019;09:43:47;7/2/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;59013MAA0
5/15/2019;16:05:59;5/17/2019;Trade;300000;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
5/15/2019;16:05:59;5/17/2019;Trade;250000;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
5/15/2019;16:05:58;5/17/2019;Trade;325000;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
5/15/2019;16:05:58;5/17/2019;Trade;300000;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
5/15/2019;16:05:57;5/17/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
5/15/2019;13:54:35;5/17/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;59013MAA0
5/15/2019;13:53:56;5/17/2019;Cancel;1MM+;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
5/15/2019;13:53:56;5/17/2019;Cancel;1MM+;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
5/13/2019;11:42:46;5/15/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;59013MAA0
5/13/2019;11:42:00;5/15/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;59013MAA0
