Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/18/2016;11:15:00;7/21/2016;Trade;800000;100.060;;M;;_;_;-;-;B;D;C;59165HAA7
7/18/2016;11:15:00;7/21/2016;Trade;800000;100.110;;M;;_;_;-;-;S;D;C;59165HAA7
7/11/2016;09:25:00;7/14/2016;Trade;1MM+;100.090;;N;;_;_;-;-;B;D;C;59165HAA7
7/11/2016;09:25:00;7/14/2016;Trade;1MM+;100.150;;N;;_;_;-;-;S;D;C;59165HAA7
5/18/2016;09:54:19;5/20/2016;Trade;1MM+;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
5/18/2016;09:54:17;5/20/2016;Trade;1000000;100.300;0;N;;_;_;-;-;B;D;C;59165HAA7
5/18/2016;09:54:16;5/20/2016;Trade;1000000;100.300;0;N;;_;_;-;-;B;D;C;59165HAA7
5/17/2016;11:28:20;5/20/2016;Trade;500000;100.300;0;N;;_;_;-;-;B;D;C;59165HAA7
5/17/2016;11:28:18;5/20/2016;Trade;500000;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
3/31/2016;13:56:29;4/5/2016;Trade;1000000;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
3/31/2016;13:56:28;4/5/2016;Trade;1000000;100.350;0;N;;_;_;-;-;B;D;C;59165HAA7
3/31/2016;11:58:19;4/5/2016;Trade;1MM+;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
3/31/2016;11:58:17;4/5/2016;Trade;1MM+;100.350;0;N;;_;_;-;-;B;D;C;59165HAA7
3/1/2016;13:27:37;3/4/2016;Trade;1000000;100.300;0;N;;_;_;-;-;B;D;C;59165HAA7
3/1/2016;13:27:37;3/4/2016;Trade;1000000;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
3/1/2016;12:03:30;3/4/2016;Trade;500000;100.390;0;N;;_;_;-;-;S;D;C;59165HAA7
3/1/2016;12:02:54;3/4/2016;Trade;500000;100.290;0;N;;_;_;-;-;B;D;C;59165HAA7
3/1/2016;10:30:51;3/4/2016;Trade;500000;100.290;0;N;;_;_;-;-;B;D;C;59165HAA7
3/1/2016;10:30:25;3/4/2016;Trade;500000;100.390;0;N;;_;_;-;-;S;D;C;59165HAA7
2/17/2016;11:30:00;2/22/2016;Trade;750000;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
2/17/2016;11:30:00;2/22/2016;Trade;750000;100.300;0;N;;_;_;-;-;B;D;C;59165HAA7
1/21/2016;13:58:49;1/26/2016;Trade;1MM+;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
1/21/2016;13:58:47;1/26/2016;Trade;1MM+;100.300;0;N;;_;_;-;-;B;D;C;59165HAA7
1/21/2016;09:25:59;1/26/2016;Trade;1MM+;100.400;0;N;;_;_;-;-;S;D;C;59165HAA7
1/21/2016;09:25:55;1/26/2016;Trade;1MM+;100.300;0;N;;_;_;-;-;B;D;C;59165HAA7
12/8/2015;09:13:00;12/11/2015;Trade;250000;101.000;0;N;;_;_;-;-;S;D;C;59165HAA7
12/7/2015;17:03:00;12/10/2015;Trade;250000;100.850;0;N;;_;_;-;-;B;D;C;59165HAA7
7/15/2015;15:54:32;7/21/2015;Trade;1MM+;100.500;0;N;;_;_;-;-;S;D;C;59165HAA7
7/15/2015;15:54:32;7/21/2015;Trade;1MM+;100.400;0;N;;_;_;-;-;B;D;C;59165HAA7
6/30/2015;09:58:47;7/6/2015;Trade;1000000;100.430;0;N;;_;_;-;-;B;D;C;59165HAA7
6/30/2015;09:58:47;7/6/2015;Trade;1000000;100.530;0;N;;_;_;-;-;S;D;C;59165HAA7
6/22/2015;10:27:08;6/25/2015;Trade;250000;100.450;0;N;;_;_;-;-;S;D;C;59165HAA7
6/22/2015;10:27:08;6/25/2015;Trade;250000;100.350;0;N;;_;_;-;-;B;D;C;59165HAA7
6/12/2015;13:50:00;6/17/2015;Trade;1MM+;100.850;0;N;;_;_;-;-;S;D;C;59165HAA7
6/12/2015;13:50:00;6/17/2015;Trade;1MM+;100.750;0;N;;_;_;-;-;B;D;C;59165HAA7
4/1/2015;14:39:25;4/7/2015;Trade;255000;101.700;0;N;;_;_;-;-;S;;;59165HAA7
4/1/2015;12:30:00;4/7/2015;Trade;255000;101.600;0;N;;_;_;-;-;B;;;59165HAA7
4/1/2015;12:30:00;4/7/2015;Trade;255000;101.700;0;N;;_;_;-;-;S;;;59165HAA7
3/17/2015;11:25:00;3/20/2015;Trade;1MM+;101.580;0;N;;_;_;-;-;B;;;59165HAA7
3/17/2015;11:25:00;3/20/2015;Trade;1MM+;101.680;0;N;;_;_;-;-;S;;;59165HAA7
3/12/2015;13:35:00;3/17/2015;Trade;1MM+;101.650;0;N;;_;_;-;-;B;;;59165HAA7
3/12/2015;13:35:00;3/17/2015;Trade;1MM+;101.750;0;N;;_;_;-;-;S;;;59165HAA7
2/25/2015;15:02:57;3/2/2015;Trade;250000;102.250;0;N;;_;_;-;-;S;;;59165HAA7
2/25/2015;15:02:18;3/2/2015;Trade;250000;102.150;0;N;;_;_;-;-;B;;;59165HAA7
1/29/2015;11:24:08;2/3/2015;Cancel;750000;101.730;0;N;;_;_;-;-;S;;;59165HAA7
1/29/2015;11:24:08;2/3/2015;Correction;750000;102.730;0;N;;_;_;-;-;S;;;59165HAA7
1/29/2015;11:24:07;2/3/2015;Correction;1MM+;102.730;0;N;;_;_;-;-;S;;;59165HAA7
1/29/2015;11:24:07;2/3/2015;Cancel;1MM+;101.730;0;N;;_;_;-;-;S;;;59165HAA7
1/29/2015;11:24:05;2/3/2015;Correction;1MM+;102.730;0;N;;_;_;-;-;S;;;59165HAA7
1/29/2015;11:24:05;2/3/2015;Cancel;1MM+;101.730;0;N;;_;_;-;-;S;;;59165HAA7
1/29/2015;11:24:03;2/3/2015;Cancel;1MM+;101.600;0;N;;_;_;-;-;B;;;59165HAA7
1/29/2015;11:24:03;2/3/2015;Correction;1MM+;102.600;0;N;;_;_;-;-;B;;;59165HAA7
12/9/2014;10:14:00;12/12/2014;Trade;1MM+;103.300;0;N;;_;_;-;-;B;;;59165HAA7
12/9/2014;10:14:00;12/12/2014;Trade;1MM+;103.300;0;N;;_;_;-;-;S;;;59165HAA7
12/9/2014;10:14:00;12/12/2014;Trade;1MM+;103.350;0;N;;_;_;-;-;B;;;59165HAA7
12/9/2014;10:14:00;12/12/2014;Trade;1MM+;103.350;0;N;;_;_;-;-;S;;;59165HAA7
9/5/2014;10:07:24;9/10/2014;Trade;1000000;103.350;0;N;;_;_;-;-;S;;;59165HAA7
9/5/2014;10:07:10;9/10/2014;Trade;1000000;103.250;0;N;;_;_;-;-;B;;;59165HAA7
8/28/2014;09:08:08;9/3/2014;Trade;500000;103.350;0;N;;_;_;-;-;S;;;59165HAA7
8/28/2014;09:08:01;9/3/2014;Trade;500000;103.250;0;N;;_;_;-;-;B;;;59165HAA7
