Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
1/17/2020;11:23:01;1/22/2020;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;62983QAF0
1/17/2020;11:02:02;1/22/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;62983QAF0
1/13/2020;10:49:31;1/15/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;62983QAF0
1/13/2020;10:45:48;1/15/2020;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;62983QAF0
1/10/2020;11:23:01;1/14/2020;Trade;500000;99.950;;M;;_;_;-;-;B;D;C;62983QAF0
1/10/2020;11:22:59;1/14/2020;Trade;500000;100.050;;M;;_;_;-;-;S;D;C;62983QAF0
8/5/2019;09:30:30;8/7/2019;Trade;500000;100.000;;M;;_;_;-;-;S;;;62983QAF0
8/5/2019;09:27:25;8/7/2019;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;62983QAF0
7/1/2019;09:43:32;7/3/2019;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;62983QAF0
7/1/2019;09:42:56;7/3/2019;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;62983QAF0
3/18/2019;11:14:00;3/20/2019;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;62983QAF0
3/18/2019;11:13:57;3/20/2019;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;62983QAF0
12/11/2018;10:34:23;12/13/2018;Trade;250000;98.450;;M;;_;_;-;-;S;D;C;62983QAF0
12/11/2018;10:33:39;12/13/2018;Trade;250000;98.350;;M;;_;_;-;-;B;D;C;62983QAF0
11/15/2018;13:52:00;11/19/2018;Trade;500000;100.400;;N;;_;_;-;-;S;D;C;62983QAF0
11/15/2018;13:50:00;11/19/2018;Trade;500000;100.300;;N;;_;_;-;-;B;D;C;62983QAF0
4/3/2018;13:59:02;4/5/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;62983QAF0
4/3/2018;13:58:26;4/5/2018;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;62983QAF0
1/9/2018;12:50:05;1/11/2018;Trade;500000;100.950;;M;;_;_;-;-;S;D;C;62983QAF0
1/9/2018;12:49:36;1/11/2018;Trade;500000;100.850;;M;;_;_;-;-;B;D;C;62983QAF0
12/11/2017;11:24:27;12/13/2017;Trade;1MM+;100.900;;M;;_;_;-;-;S;D;C;62983QAF0
12/11/2017;11:22:54;12/13/2017;Trade;1MM+;100.800;;M;;_;_;-;-;B;D;C;62983QAF0
2/9/2016;11:59:00;2/12/2016;Trade;750000;100.300;0;N;;_;_;-;-;B;D;C;62983QAF0
2/9/2016;11:59:00;2/12/2016;Trade;750000;100.350;0;N;;_;_;-;-;S;D;C;62983QAF0
1/19/2016;10:55:32;1/22/2016;Trade;500000;100.100;0;N;;_;_;-;-;B;D;C;62983QAF0
1/19/2016;10:53:40;1/22/2016;Trade;500000;100.200;0;N;;_;_;-;-;S;D;C;62983QAF0
