Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/8/2020;09:47:20;4/13/2020;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;62983QAG8
4/8/2020;09:46:15;4/13/2020;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;62983QAG8
4/1/2020;09:09:46;4/3/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAG8
4/1/2020;09:08:58;4/3/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;62983QAG8
3/31/2020;08:39:01;4/2/2020;Trade;250000;98.350;;M;;_;_;-;-;S;D;C;62983QAG8
3/31/2020;08:37:46;4/2/2020;Trade;250000;98.250;;M;;_;_;-;-;B;D;C;62983QAG8
3/30/2020;08:57:47;4/1/2020;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;62983QAG8
3/30/2020;08:57:05;4/1/2020;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;62983QAG8
3/26/2020;10:07:08;3/30/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAG8
3/26/2020;10:07:08;3/30/2020;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAG8
3/26/2020;10:07:03;3/30/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;62983QAG8
3/26/2020;10:07:03;3/30/2020;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;62983QAG8
3/26/2020;08:19:46;3/30/2020;Trade;1MM+;98.230;;M;;_;_;-;-;S;D;C;62983QAG8
3/26/2020;08:18:52;3/30/2020;Trade;645000;98.250;;M;;_;_;-;-;S;D;C;62983QAG8
3/26/2020;08:17:38;3/30/2020;Trade;1MM+;98.160;;M;;_;_;-;-;B;D;C;62983QAG8
12/11/2019;11:45:25;12/13/2019;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;62983QAG8
12/11/2019;11:41:59;12/13/2019;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;62983QAG8
9/23/2019;12:31:56;9/25/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/23/2019;12:31:56;9/25/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/23/2019;11:42:31;9/25/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
9/13/2019;12:45:00;9/17/2019;Trade;750000;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/13/2019;12:45:00;9/17/2019;Trade;750000;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/13/2019;12:45:00;9/17/2019;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/13/2019;12:41:10;9/17/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
9/11/2019;08:26:11;9/13/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
9/11/2019;08:25:26;9/13/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
9/11/2019;08:24:17;9/13/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/10/2019;11:55:17;9/12/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/10/2019;11:54:43;9/12/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
9/10/2019;11:54:19;9/12/2019;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
9/10/2019;10:19:49;9/12/2019;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
9/10/2019;10:19:04;9/12/2019;Trade;500000;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
7/24/2019;09:07:05;7/26/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
7/24/2019;09:06:18;7/26/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
5/3/2019;10:39:41;5/7/2019;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;62983QAG8
5/3/2019;10:37:04;5/7/2019;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;62983QAG8
5/3/2019;10:36:23;5/7/2019;Trade;1MM+;99.550;;M;;_;_;-;-;B;D;C;62983QAG8
5/3/2019;10:11:31;5/7/2019;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;62983QAG8
5/3/2019;10:10:54;5/7/2019;Trade;1MM+;99.550;;M;;_;_;-;-;B;D;C;62983QAG8
5/3/2019;09:31:39;5/7/2019;Trade;250000;99.650;;M;;_;_;-;-;S;D;C;62983QAG8
5/3/2019;09:27:04;5/7/2019;Trade;250000;99.550;;M;;_;_;-;-;B;D;C;62983QAG8
3/14/2019;10:44:58;3/18/2019;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;62983QAG8
3/14/2019;10:38:32;3/18/2019;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;62983QAG8
3/14/2019;09:43:17;3/18/2019;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;62983QAG8
3/14/2019;09:40:33;3/18/2019;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;62983QAG8
2/13/2019;11:10:34;2/15/2019;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;62983QAG8
2/13/2019;11:08:50;2/15/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;62983QAG8
2/13/2019;11:08:27;2/15/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;62983QAG8
2/13/2019;11:08:04;2/15/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;62983QAG8
11/20/2018;13:07:56;11/23/2018;Trade;250000;101.500;;M;;_;_;-;-;S;D;C;62983QAG8
11/20/2018;13:07:24;11/23/2018;Trade;250000;101.400;;M;;_;_;-;-;B;D;C;62983QAG8
11/6/2018;10:08:57;11/8/2018;Trade;800000;101.900;;M;;_;_;-;-;S;D;C;62983QAG8
11/6/2018;10:07:48;11/8/2018;Trade;800000;101.800;;M;;_;_;-;-;B;D;C;62983QAG8
9/27/2018;11:30:28;10/1/2018;Trade;250000;102.350;;M;;_;_;-;-;S;D;C;62983QAG8
9/27/2018;11:29:48;10/1/2018;Trade;250000;102.250;;M;;_;_;-;-;B;D;C;62983QAG8
7/3/2018;11:33:00;7/6/2018;Trade;550000;102.250;;N;;_;_;-;-;B;D;C;62983QAG8
7/3/2018;11:33:00;7/6/2018;Trade;550000;102.350;;N;;_;_;-;-;S;D;C;62983QAG8
4/30/2018;10:55:00;5/2/2018;Cancel;500000;102.300;;N;;_;_;-;-;S;D;C;62983QAG8
4/30/2018;10:55:00;5/2/2018;Cancel;500000;102.200;;N;;_;_;-;-;B;D;C;62983QAG8
4/30/2018;10:55:00;5/2/2018;Cancel;500000;102.300;;N;;_;_;-;-;S;D;C;62983QAG8
4/30/2018;10:55:00;5/2/2018;Cancel;500000;102.200;;N;;_;_;-;-;B;D;C;62983QAG8
4/30/2018;10:55:00;5/2/2018;Trade;250000;102.300;;N;;Z;_;-;A;S;D;C;62983QAG8
4/30/2018;10:22:00;5/2/2018;Trade;500000;102.200;;N;;_;_;-;-;B;D;C;62983QAG8
4/30/2018;10:22:00;5/2/2018;Trade;500000;102.300;;N;;_;_;-;-;S;D;C;62983QAG8
3/27/2018;11:02:48;3/29/2018;Trade;1MM+;102.100;;M;;_;_;-;-;S;D;C;62983QAG8
3/27/2018;11:02:43;3/29/2018;Trade;1MM+;102.000;;M;;_;_;-;-;B;D;C;62983QAG8
9/19/2017;10:01:09;9/21/2017;Trade;1MM+;103.000;;M;;_;_;-;-;S;D;C;62983QAG8
9/19/2017;10:00:39;9/21/2017;Trade;1MM+;103.000;;M;;_;_;-;-;S;D;C;62983QAG8
9/19/2017;09:59:59;9/21/2017;Trade;1MM+;102.900;;M;;_;_;-;-;B;D;C;62983QAG8
6/7/2017;09:33:42;6/12/2017;Trade;1000000;104.100;;M;;Z;_;-;-;S;D;C;62983QAG8
6/7/2017;09:33:40;6/12/2017;Trade;1000000;104.000;;M;;_;_;-;-;B;D;C;62983QAG8
6/7/2017;08:59:00;6/12/2017;Trade;1000000;104.000;;;;_;_;-;-;S;D;D;62983QAG8
5/24/2017;12:06:00;5/30/2017;Trade;1MM+;103.900;;;;_;_;-;-;S;D;D;62983QAG8
5/24/2017;12:05:00;5/30/2017;Trade;1MM+;104.000;;M;;_;_;-;-;S;D;C;62983QAG8
3/9/2017;11:18:00;3/14/2017;Trade;1MM+;104.000;;;;_;_;-;-;S;D;D;62983QAG8
3/9/2017;11:16:49;3/14/2017;Trade;1MM+;104.100;;M;;_;_;-;-;S;D;C;62983QAG8
11/23/2016;09:52:18;11/29/2016;Trade;1000000;102.650;;M;;_;_;-;-;B;D;C;62983QAG8
11/23/2016;09:52:18;11/29/2016;Trade;1000000;102.750;;M;;_;_;-;-;S;D;C;62983QAG8
6/15/2016;12:45:03;6/20/2016;Trade;1MM+;103.000;;N;;_;_;-;-;S;D;C;62983QAG8
6/15/2016;12:44:46;6/20/2016;Trade;1MM+;102.900;;N;;_;_;-;-;B;D;C;62983QAG8
5/10/2016;09:28:13;5/13/2016;Trade;1MM+;102.800;0;N;;_;_;-;-;B;D;C;62983QAG8
5/10/2016;09:28:11;5/13/2016;Trade;1MM+;102.900;0;N;;_;_;-;-;S;D;C;62983QAG8
4/26/2016;11:37:47;4/29/2016;Trade;1000000;102.350;0;N;;_;_;-;-;B;D;C;62983QAG8
4/26/2016;11:37:44;4/29/2016;Trade;1000000;102.450;0;N;;_;_;-;-;S;D;C;62983QAG8
4/26/2016;11:37:00;4/29/2016;Trade;1000000;102.350;0;N;;_;_;-;-;S;D;D;62983QAG8
4/25/2016;12:09:37;4/28/2016;Trade;1MM+;102.350;0;N;;_;_;-;-;S;D;C;62983QAG8
4/25/2016;12:09:35;4/28/2016;Trade;1MM+;102.250;0;N;;_;_;-;-;B;D;C;62983QAG8
4/13/2016;12:45:00;4/18/2016;Trade;1MM+;101.800;0;N;;_;_;-;-;B;D;C;62983QAG8
4/13/2016;12:45:00;4/18/2016;Trade;1MM+;101.900;0;N;;_;_;-;-;S;D;C;62983QAG8
3/10/2016;11:42:25;3/15/2016;Trade;1MM+;100.800;0;N;;_;_;-;-;B;D;C;62983QAG8
3/10/2016;11:42:25;3/15/2016;Trade;1MM+;100.900;0;N;;_;_;-;-;S;D;C;62983QAG8
1/20/2016;10:46:31;1/25/2016;Trade;500000;100.250;0;N;;_;_;-;-;S;D;C;62983QAG8
1/20/2016;10:44:11;1/25/2016;Trade;500000;100.150;0;N;;_;_;-;-;B;D;C;62983QAG8
