Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/9/2020;09:52:34;6/11/2020;Trade;750000;98.700;;M;;_;_;-;-;B;D;C;62983QAH6
6/9/2020;09:49:28;6/11/2020;Trade;650000;98.800;;M;;_;_;-;-;S;D;C;62983QAH6
6/9/2020;09:49:28;6/11/2020;Trade;400000;98.800;;M;;_;_;-;-;S;D;C;62983QAH6
6/9/2020;09:46:48;6/11/2020;Trade;300000;98.700;;M;;_;_;-;-;B;D;C;62983QAH6
5/7/2020;13:04:20;5/11/2020;Trade;1000000;98.100;;M;;_;_;-;-;B;D;C;62983QAH6
5/7/2020;13:04:20;5/11/2020;Trade;1000000;98.100;;M;;_;_;-;-;B;D;C;62983QAH6
5/7/2020;13:04:20;5/11/2020;Trade;1000000;98.200;;M;;Z;_;-;-;S;D;C;62983QAH6
5/7/2020;13:01:24;5/11/2020;Trade;1000000;98.200;;M;;_;_;-;-;S;D;C;62983QAH6
3/26/2020;10:51:06;3/30/2020;Trade;500000;96.900;;M;;_;_;-;-;B;D;C;62983QAH6
3/26/2020;10:51:06;3/30/2020;Trade;500000;97.000;;M;;_;_;-;-;S;D;C;62983QAH6
3/24/2020;09:12:36;3/26/2020;Trade;1MM+;96.980;;M;;_;_;-;-;S;D;C;62983QAH6
3/24/2020;09:11:43;3/26/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;62983QAH6
3/24/2020;09:10:58;3/26/2020;Trade;1MM+;96.910;;M;;_;_;-;-;B;D;C;62983QAH6
3/17/2020;13:50:42;3/19/2020;Trade;1MM+;98.550;;M;;_;_;-;-;S;D;C;62983QAH6
3/17/2020;13:48:31;3/19/2020;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;62983QAH6
3/17/2020;13:26:00;3/19/2020;Trade;1MM+;98.450;;M;;_;_;-;-;B;D;C;62983QAH6
3/17/2020;13:26:00;3/19/2020;Cancel;1MM+;98.550;;M;;_;_;-;-;B;D;A;62983QAH6
3/17/2020;13:26:00;3/19/2020;Correction;1MM+;98.550;;M;;_;_;-;-;S;D;A;62983QAH6
2/26/2020;12:04:21;2/28/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;62983QAH6
2/26/2020;12:02:24;2/28/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;62983QAH6
2/21/2020;09:47:38;2/25/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;62983QAH6
2/21/2020;09:46:48;2/25/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;62983QAH6
1/23/2020;11:07:34;1/27/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;62983QAH6
1/23/2020;10:57:58;1/27/2020;Trade;1000000;99.700;;M;;_;_;-;-;S;D;C;62983QAH6
1/23/2020;10:57:58;1/27/2020;Trade;1000000;99.700;;M;;_;_;-;-;S;D;C;62983QAH6
1/15/2020;10:24:30;1/17/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;62983QAH6
1/15/2020;10:23:34;1/17/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;62983QAH6
1/7/2020;10:31:33;1/9/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;;;62983QAH6
1/7/2020;10:25:00;1/9/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;62983QAH6
1/7/2020;10:25:00;1/9/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;62983QAH6
1/7/2020;10:25:00;1/9/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;62983QAH6
1/6/2020;11:54:26;1/8/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;62983QAH6
1/6/2020;11:54:23;1/8/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;62983QAH6
12/31/2019;10:03:56;1/3/2020;Correction;550000;99.600;;M;;Z;_;-;-;S;D;C;62983QAH6
12/31/2019;10:03:56;1/3/2020;Cancel;550000;99.600;;M;;_;_;-;-;B;D;C;62983QAH6
12/31/2019;10:03:52;1/3/2020;Trade;550000;99.500;;M;;_;_;-;-;B;D;C;62983QAH6
12/30/2019;11:03:52;1/2/2020;Trade;1MM+;99.450;;M;;_;_;-;-;B;D;C;62983QAH6
12/30/2019;10:58:25;1/2/2020;Trade;1MM+;99.550;;M;;_;_;-;-;S;D;C;62983QAH6
12/11/2019;14:31:33;12/13/2019;Trade;1MM+;99.400;;M;;Z;_;-;A;B;D;C;62983QAH6
12/11/2019;14:31:33;12/13/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;62983QAH6
12/11/2019;10:00:37;12/13/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;62983QAH6
12/10/2019;12:41:05;12/12/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;62983QAH6
12/10/2019;12:37:54;12/12/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;62983QAH6
12/10/2019;11:14:38;12/12/2019;Trade;500000;99.500;;M;;_;_;-;-;S;D;C;62983QAH6
