Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/3/2020;09:12:31;4/7/2020;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;62983QAJ2
4/3/2020;09:11:29;4/7/2020;Trade;1000000;97.900;;M;;_;_;-;-;B;D;C;62983QAJ2
4/3/2020;09:10:29;4/7/2020;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;62983QAJ2
3/24/2020;12:54:02;3/26/2020;Trade;1000000;96.050;;M;;_;_;-;-;B;D;C;62983QAJ2
3/24/2020;12:54:02;3/26/2020;Trade;1000000;96.150;;M;;_;_;-;-;S;D;C;62983QAJ2
3/10/2020;10:12:18;3/12/2020;Trade;1000000;99.150;;M;;_;_;-;-;S;D;C;62983QAJ2
3/10/2020;10:11:23;3/12/2020;Trade;1000000;99.050;;M;;_;_;-;-;B;D;C;62983QAJ2
2/21/2020;10:55:40;2/25/2020;Trade;500000;99.500;;M;;_;_;-;-;B;D;C;62983QAJ2
2/21/2020;10:55:40;2/25/2020;Trade;500000;99.500;;M;;_;_;-;-;B;D;C;62983QAJ2
2/21/2020;10:55:37;2/25/2020;Trade;1000000;99.600;;M;;_;_;-;-;S;D;C;62983QAJ2
2/21/2020;08:13:27;2/25/2020;Trade;1000000;99.600;;M;;_;_;-;-;S;D;C;62983QAJ2
2/21/2020;08:12:56;2/25/2020;Trade;1000000;99.500;;M;;_;_;-;-;B;D;C;62983QAJ2
8/19/2019;11:20:00;8/21/2019;Trade;250000;99.350;;M;;_;_;-;-;S;D;C;62983QAJ2
8/19/2019;11:20:00;8/21/2019;Trade;250000;99.250;;M;;_;_;-;-;B;D;C;62983QAJ2
7/31/2019;09:19:37;8/2/2019;Trade;500000;99.200;;M;;_;_;-;-;S;D;C;62983QAJ2
7/31/2019;09:17:39;8/2/2019;Trade;500000;99.100;;M;;_;_;-;-;B;D;C;62983QAJ2
7/26/2019;09:19:16;7/30/2019;Trade;500000;99.200;;M;;_;_;-;-;S;D;C;62983QAJ2
7/26/2019;09:18:15;7/30/2019;Trade;500000;99.100;;M;;_;_;-;-;B;D;C;62983QAJ2
7/15/2019;13:36:08;7/17/2019;Trade;600000;99.500;;M;;_;_;-;-;S;D;C;62983QAJ2
7/15/2019;13:35:10;7/17/2019;Trade;600000;99.400;;M;;_;_;-;-;B;D;C;62983QAJ2
5/2/2019;10:45:42;5/6/2019;Trade;1MM+;99.550;;M;;_;_;-;-;S;D;C;62983QAJ2
5/2/2019;10:44:47;5/6/2019;Trade;1MM+;99.450;;M;;_;_;-;-;B;D;C;62983QAJ2
4/12/2019;10:36:18;4/16/2019;Cancel;1MM+;99.500;;M;;_;_;-;-;S;D;C;62983QAJ2
4/12/2019;10:36:18;4/16/2019;Cancel;1MM+;99.500;;M;;_;_;-;-;S;D;C;62983QAJ2
4/12/2019;10:35:23;4/16/2019;Cancel;1MM+;99.400;;M;;_;_;-;-;B;D;C;62983QAJ2
4/12/2019;10:35:23;4/16/2019;Cancel;1MM+;99.400;;M;;_;_;-;-;B;D;C;62983QAJ2
4/1/2019;15:46:56;4/3/2019;Trade;750000;98.700;;N;;_;_;-;-;S;D;C;62983QAJ2
4/1/2019;15:46:56;4/3/2019;Trade;750000;98.600;;N;;_;_;-;-;B;D;C;62983QAJ2
12/27/2018;09:04:16;12/31/2018;Trade;1000000;98.600;;M;;_;_;-;-;S;D;C;62983QAJ2
12/27/2018;09:03:32;12/31/2018;Trade;1000000;98.500;;M;;_;_;-;-;B;D;C;62983QAJ2
12/17/2018;11:39:30;12/19/2018;Trade;500000;98.500;;M;;_;_;-;-;S;D;C;62983QAJ2
12/17/2018;11:38:55;12/19/2018;Trade;500000;98.400;;M;;_;_;-;-;B;D;C;62983QAJ2
12/14/2018;11:52:48;12/18/2018;Trade;250000;98.500;;M;;_;_;-;-;S;D;C;62983QAJ2
12/14/2018;11:52:11;12/18/2018;Trade;250000;98.400;;M;;_;_;-;-;B;D;C;62983QAJ2
12/14/2018;09:04:39;12/18/2018;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;62983QAJ2
12/14/2018;09:03:54;12/18/2018;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;62983QAJ2
11/20/2018;15:54:00;11/23/2018;Trade;1000000;100.850;;N;;_;_;-;-;S;D;C;62983QAJ2
11/20/2018;15:54:00;11/23/2018;Trade;700000;100.750;;N;;_;_;-;-;B;D;C;62983QAJ2
11/20/2018;15:54:00;11/23/2018;Trade;300000;100.750;;N;;_;_;-;-;B;D;C;62983QAJ2
11/12/2018;12:32:14;11/14/2018;Trade;250000;101.000;;M;;_;_;-;-;B;D;C;62983QAJ2
11/12/2018;12:32:14;11/14/2018;Trade;250000;101.100;;M;;_;_;-;-;S;D;C;62983QAJ2
6/27/2018;12:55:55;6/29/2018;Trade;250000;102.200;;M;;_;_;-;-;S;D;C;62983QAJ2
6/27/2018;12:55:28;6/29/2018;Trade;250000;102.110;;M;;_;_;-;-;B;D;C;62983QAJ2
6/20/2018;11:23:00;6/22/2018;Trade;500000;102.210;;M;;_;_;-;-;S;D;C;62983QAJ2
6/19/2018;11:05:00;6/21/2018;Trade;1000000;102.100;;M;;_;_;-;-;S;D;C;62983QAJ2
6/19/2018;10:52:00;6/21/2018;Trade;1MM+;102.100;;M;;_;_;-;-;S;D;C;62983QAJ2
6/19/2018;09:34:00;6/21/2018;Trade;625000;102.210;;M;;_;_;-;-;S;D;C;62983QAJ2
6/19/2018;09:34:00;6/21/2018;Trade;625000;102.110;;M;;_;_;-;-;B;D;C;62983QAJ2
6/7/2018;11:55:00;6/11/2018;Trade;1MM+;102.200;;M;;_;_;-;-;S;D;C;62983QAJ2
6/7/2018;11:54:02;6/11/2018;Trade;1MM+;102.110;;M;;_;_;-;-;B;D;C;62983QAJ2
5/25/2018;11:51:35;5/30/2018;Trade;1MM+;102.000;;M;;_;_;-;-;S;D;C;62983QAJ2
5/25/2018;11:49:08;5/30/2018;Trade;1MM+;101.910;;M;;_;_;-;-;B;D;C;62983QAJ2
4/25/2018;10:54:43;4/27/2018;Trade;250000;101.885;;M;;_;_;-;-;S;D;C;62983QAJ2
4/25/2018;10:54:14;4/27/2018;Trade;250000;101.835;;M;;_;_;-;-;B;D;C;62983QAJ2
4/19/2018;10:59:00;4/23/2018;Trade;1MM+;102.000;;M;;Z;_;-;A;S;D;C;62983QAJ2
4/19/2018;09:24:00;4/23/2018;Trade;1MM+;101.900;;;;_;_;-;-;S;D;D;62983QAJ2
3/28/2018;08:49:28;4/2/2018;Cancel;250000;101.525;;M;;_;_;-;-;S;D;C;62983QAJ2
3/28/2018;08:49:28;3/29/2018;Correction;250000;101.525;;M;;Z;_;-;-;S;D;C;62983QAJ2
3/28/2018;08:49:00;3/29/2018;Correction;250000;101.475;;M;;Z;_;-;-;B;D;C;62983QAJ2
3/28/2018;08:49:00;4/2/2018;Cancel;250000;101.475;;M;;_;_;-;-;B;D;C;62983QAJ2
3/27/2018;14:46:37;3/29/2018;Trade;1000000;101.400;;M;;_;_;-;-;B;D;C;62983QAJ2
3/27/2018;14:46:34;3/29/2018;Trade;1000000;101.500;;M;;_;_;-;-;S;D;C;62983QAJ2
10/3/2017;12:23:00;10/5/2017;Trade;1000000;102.100;;M;;_;_;-;-;S;D;C;62983QAJ2
10/3/2017;12:11:00;10/5/2017;Trade;1000000;102.000;;;;_;_;-;-;S;D;D;62983QAJ2
10/2/2017;12:18:00;10/4/2017;Trade;1MM+;102.000;;N;;_;_;-;-;B;D;C;62983QAJ2
10/2/2017;12:18:00;10/4/2017;Trade;1MM+;102.100;;N;;_;_;-;-;S;D;C;62983QAJ2
10/2/2017;12:18:00;10/4/2017;Trade;700000;102.100;;N;;_;_;-;-;S;D;C;62983QAJ2
10/2/2017;12:13:00;10/4/2017;Trade;1MM+;102.000;;;;_;_;-;-;S;D;D;62983QAJ2
8/16/2017;10:39:00;8/21/2017;Trade;1MM+;103.150;;M;;_;_;-;-;S;D;C;62983QAJ2
8/16/2017;10:39:00;8/21/2017;Trade;1MM+;103.050;;M;;_;_;-;-;B;D;C;62983QAJ2
8/11/2017;11:00:00;8/16/2017;Trade;1MM+;103.050;;M;;_;_;-;-;B;D;C;62983QAJ2
8/11/2017;11:00:00;8/16/2017;Trade;1MM+;103.150;;M;;_;_;-;-;S;D;C;62983QAJ2
8/9/2017;11:00:00;8/14/2017;Trade;1MM+;103.050;;M;;_;_;-;-;B;D;C;62983QAJ2
8/9/2017;11:00:00;8/14/2017;Trade;1MM+;103.150;;M;;_;_;-;-;S;D;C;62983QAJ2
7/3/2017;09:10:09;7/7/2017;Trade;1000000;102.550;;M;;_;_;-;-;S;D;C;62983QAJ2
7/3/2017;09:09:34;7/7/2017;Trade;1000000;102.450;;M;;_;_;-;-;B;D;C;62983QAJ2
2/10/2017;11:21:22;2/15/2017;Trade;500000;102.550;;M;;_;_;-;-;B;D;C;62983QAJ2
2/10/2017;11:21:19;2/15/2017;Trade;500000;102.650;;M;;_;_;-;-;S;D;C;62983QAJ2
2/9/2017;12:27:00;2/14/2017;Trade;1MM+;102.300;;M;;Z;_;-;-;S;D;C;62983QAJ2
2/9/2017;12:19:53;2/14/2017;Trade;1MM+;102.200;;M;;Z;_;-;-;B;D;C;62983QAJ2
2/7/2017;10:19:19;2/10/2017;Trade;1MM+;102.300;;M;;_;_;-;-;S;D;C;62983QAJ2
2/7/2017;10:19:19;2/10/2017;Trade;1MM+;102.300;;M;;_;_;-;-;S;D;C;62983QAJ2
2/7/2017;10:19:15;2/10/2017;Trade;1MM+;102.200;;M;;_;_;-;-;B;D;C;62983QAJ2
1/25/2017;09:25:05;1/30/2017;Trade;1MM+;102.000;;M;;_;_;-;-;S;D;C;62983QAJ2
1/25/2017;09:25:02;1/30/2017;Trade;1MM+;101.900;;M;;_;_;-;-;B;D;C;62983QAJ2
1/19/2017;17:36:00;1/24/2017;Trade;1000000;101.500;;N;;T;_;-;-;B;D;C;62983QAJ2
1/19/2017;15:40:00;1/24/2017;Trade;750000;101.600;;N;;Z;_;-;-;S;D;C;62983QAJ2
1/19/2017;15:40:00;1/24/2017;Trade;250000;101.600;;N;;Z;_;-;-;S;D;C;62983QAJ2
1/19/2017;09:45:00;1/24/2017;Trade;1MM+;101.500;;M;;_;_;-;-;B;D;C;62983QAJ2
1/19/2017;09:45:00;1/24/2017;Trade;1MM+;101.600;;M;;_;_;-;-;S;D;C;62983QAJ2
12/15/2016;14:29:03;12/20/2016;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;62983QAJ2
12/15/2016;14:28:58;12/20/2016;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;62983QAJ2
