Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/17/2020;12:27:21;6/19/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;62983QAK9
6/17/2020;12:23:55;6/19/2020;Trade;1000000;97.600;;M;;_;_;-;-;S;D;C;62983QAK9
6/17/2020;11:14:56;6/19/2020;Trade;1MM+;97.500;;M;;_;_;-;-;B;D;C;62983QAK9
6/17/2020;10:55:22;6/19/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;62983QAK9
5/26/2020;13:01:41;5/28/2020;Trade;750000;96.800;;M;;_;_;-;-;B;D;C;62983QAK9
5/26/2020;12:58:28;5/28/2020;Trade;750000;96.900;;M;;_;_;-;-;S;D;C;62983QAK9
5/26/2020;12:42:41;5/28/2020;Trade;750000;96.900;;M;;Z;_;-;A;S;D;C;62983QAK9
3/24/2020;13:48:14;3/26/2020;Trade;1MM+;95.500;;M;;_;_;-;-;S;D;C;62983QAK9
3/24/2020;13:48:14;3/26/2020;Trade;1MM+;95.400;;M;;_;_;-;-;B;D;C;62983QAK9
3/17/2020;14:17:24;3/19/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;62983QAK9
3/17/2020;14:17:19;3/19/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;62983QAK9
3/17/2020;14:17:19;3/19/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;62983QAK9
3/5/2020;11:20:36;3/9/2020;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;62983QAK9
3/5/2020;10:42:45;3/9/2020;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;62983QAK9
2/20/2020;10:04:41;2/24/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;62983QAK9
2/20/2020;10:04:39;2/24/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;62983QAK9
2/19/2020;15:09:44;2/21/2020;Trade;250000;99.100;;M;;_;_;-;-;B;D;C;62983QAK9
2/19/2020;15:09:40;2/21/2020;Trade;250000;99.200;;M;;_;_;-;-;S;D;C;62983QAK9
1/15/2020;10:19:52;1/17/2020;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;62983QAK9
1/15/2020;10:14:25;1/17/2020;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;62983QAK9
1/6/2020;11:00:36;1/8/2020;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;62983QAK9
1/6/2020;10:59:20;1/8/2020;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;62983QAK9
1/6/2020;09:40:59;1/8/2020;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;62983QAK9
1/6/2020;09:40:30;1/8/2020;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;62983QAK9
1/3/2020;10:25:38;1/7/2020;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;62983QAK9
1/3/2020;10:22:16;1/7/2020;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;62983QAK9
1/3/2020;09:03:45;1/7/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;62983QAK9
1/3/2020;09:03:02;1/7/2020;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;62983QAK9
1/2/2020;15:01:43;1/6/2020;Trade;1000000;98.700;;M;;_;_;-;-;S;D;C;62983QAK9
1/2/2020;15:01:07;1/6/2020;Trade;1000000;98.600;;M;;_;_;-;-;B;D;C;62983QAK9
10/17/2019;11:58:47;10/21/2019;Trade;500000;98.600;;M;;_;_;-;-;B;D;C;62983QAK9
10/17/2019;09:17:41;10/21/2019;Trade;500000;98.700;;M;;_;_;-;-;S;D;C;62983QAK9
10/8/2019;12:14:36;10/10/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;62983QAK9
10/8/2019;12:14:32;10/10/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;62983QAK9
6/11/2019;10:41:13;6/13/2019;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAK9
6/11/2019;10:38:49;6/13/2019;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;62983QAK9
6/7/2019;09:19:38;6/11/2019;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;62983QAK9
6/7/2019;09:19:01;6/11/2019;Trade;500000;98.250;;M;;_;_;-;-;B;D;C;62983QAK9
6/7/2019;09:18:00;6/11/2019;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAK9
6/5/2019;09:33:07;6/7/2019;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAK9
6/5/2019;09:32:36;6/7/2019;Trade;1MM+;98.250;;M;;_;_;-;-;B;;;62983QAK9
6/5/2019;07:54:29;6/7/2019;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;62983QAK9
6/5/2019;07:54:07;6/7/2019;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAK9
6/4/2019;10:00:39;6/7/2019;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAK9
6/4/2019;09:59:52;6/7/2019;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAK9
6/4/2019;09:57:58;6/7/2019;Trade;1MM+;98.250;;M;;_;_;-;-;B;;;62983QAK9
6/4/2019;09:56:36;6/7/2019;Trade;1MM+;98.250;;M;;_;_;-;-;B;D;C;62983QAK9
5/28/2019;10:23:16;5/30/2019;Trade;1000000;98.400;;M;;_;_;-;-;S;D;C;62983QAK9
5/28/2019;10:22:46;5/30/2019;Trade;1000000;98.300;;M;;_;_;-;-;B;D;C;62983QAK9
5/17/2019;09:40:43;5/21/2019;Trade;1000000;98.400;;M;;_;_;-;-;S;D;C;62983QAK9
5/17/2019;09:40:15;5/21/2019;Trade;1000000;98.300;;M;;_;_;-;-;B;D;C;62983QAK9
5/13/2019;10:52:06;5/15/2019;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;62983QAK9
5/13/2019;10:50:55;5/15/2019;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;62983QAK9
5/13/2019;10:05:51;5/15/2019;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;62983QAK9
5/13/2019;10:04:44;5/15/2019;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;62983QAK9
5/1/2019;14:08:15;5/3/2019;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;62983QAK9
5/1/2019;14:08:12;5/3/2019;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;62983QAK9
3/11/2019;10:50:45;3/13/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;62983QAK9
3/11/2019;10:47:46;3/13/2019;Trade;500000;99.000;;M;;_;_;-;-;B;D;C;62983QAK9
3/11/2019;10:43:42;3/13/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;62983QAK9
2/11/2019;10:11:52;2/13/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;62983QAK9
2/11/2019;10:10:35;2/13/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;62983QAK9
2/11/2019;10:10:02;2/13/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;62983QAK9
2/11/2019;09:08:16;2/13/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;62983QAK9
2/11/2019;09:03:39;2/13/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;62983QAK9
2/6/2019;10:40:04;2/8/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;62983QAK9
2/6/2019;10:39:03;2/8/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;62983QAK9
2/6/2019;09:09:36;2/8/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;62983QAK9
2/6/2019;09:09:00;2/8/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;62983QAK9
1/9/2019;10:49:00;1/11/2019;Trade;500000;99.400;;M;;_;_;-;-;B;D;C;62983QAK9
1/9/2019;10:49:00;1/11/2019;Trade;500000;99.500;;M;;_;_;-;-;S;D;C;62983QAK9
12/20/2018;11:32:16;12/24/2018;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;62983QAK9
12/20/2018;11:31:43;12/24/2018;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;62983QAK9
11/27/2018;13:50:00;11/29/2018;Trade;1MM+;98.150;;M;;_;_;-;-;B;D;C;62983QAK9
11/27/2018;13:42:00;11/29/2018;Trade;1MM+;98.200;;M;;_;_;-;-;S;D;C;62983QAK9
11/27/2018;13:15:00;11/29/2018;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;62983QAK9
10/8/2018;17:05:00;10/10/2018;Trade;1MM+;100.500;;N;;Z;_;-;A;B;D;C;62983QAK9
10/8/2018;17:05:00;10/10/2018;Trade;1MM+;100.500;;N;;Z;_;-;A;S;D;C;62983QAK9
10/8/2018;17:05:00;10/10/2018;Trade;1MM+;100.500;;N;;Z;_;-;A;S;D;C;62983QAK9
9/25/2018;10:44:33;9/27/2018;Trade;250000;100.900;;M;;_;_;-;-;S;D;C;62983QAK9
9/25/2018;10:43:55;9/27/2018;Trade;250000;100.800;;M;;_;_;-;-;B;D;C;62983QAK9
9/25/2018;10:08:20;9/27/2018;Trade;1MM+;100.800;;M;;_;_;-;-;B;D;C;62983QAK9
9/25/2018;10:07:44;9/27/2018;Trade;1000000;100.800;;M;;_;_;-;-;B;D;C;62983QAK9
9/25/2018;10:04:30;9/27/2018;Trade;1MM+;100.900;;M;;_;_;-;-;S;D;C;62983QAK9
9/20/2018;12:09:52;9/24/2018;Trade;500000;100.900;;M;;_;_;-;-;S;D;C;62983QAK9
9/20/2018;12:08:38;9/24/2018;Trade;500000;100.800;;M;;_;_;-;-;B;D;C;62983QAK9
9/7/2018;09:33:45;9/11/2018;Trade;500000;101.000;;M;;_;_;-;-;S;D;C;62983QAK9
9/7/2018;09:33:07;9/11/2018;Trade;500000;100.900;;M;;_;_;-;-;B;D;C;62983QAK9
9/7/2018;09:24:29;9/11/2018;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;62983QAK9
9/7/2018;09:23:40;9/11/2018;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;62983QAK9
8/6/2018;11:12:39;8/8/2018;Trade;1MM+;100.900;;M;;_;_;-;-;S;D;C;62983QAK9
8/6/2018;11:10:00;8/8/2018;Trade;1MM+;100.800;;;;_;_;-;-;S;D;D;62983QAK9
8/6/2018;09:38:40;8/8/2018;Trade;650000;100.900;;M;;_;_;-;-;S;D;C;62983QAK9
8/6/2018;09:37:37;8/8/2018;Trade;650000;100.800;;M;;_;_;-;-;B;D;C;62983QAK9
7/17/2018;13:01:54;7/19/2018;Trade;750000;100.950;;M;;_;_;-;-;S;D;C;62983QAK9
7/17/2018;13:01:23;7/19/2018;Trade;750000;100.850;;M;;_;_;-;-;B;D;C;62983QAK9
6/27/2018;12:48:13;6/29/2018;Trade;300000;101.000;;M;;_;_;-;-;B;D;C;62983QAK9
6/27/2018;12:25:00;6/29/2018;Trade;300000;101.100;;M;;_;_;-;-;S;D;C;62983QAK9
6/26/2018;10:14:42;6/28/2018;Trade;250000;100.865;;M;;_;_;-;-;S;D;C;62983QAK9
6/26/2018;10:14:04;6/28/2018;Trade;250000;100.815;;M;;_;_;-;-;B;D;C;62983QAK9
6/7/2018;12:05:00;6/11/2018;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;62983QAK9
6/7/2018;12:05:00;6/11/2018;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;62983QAK9
6/7/2018;12:04:38;6/11/2018;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;62983QAK9
4/4/2018;12:28:45;4/6/2018;Trade;1000000;100.250;;M;;_;_;-;-;S;D;C;62983QAK9
4/4/2018;12:28:41;4/6/2018;Trade;1000000;100.150;;M;;_;_;-;-;B;D;C;62983QAK9
