Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/14/2020;09:26:34;4/16/2020;Trade;250000;97.250;;M;;_;_;-;-;S;D;C;62983QAL7
4/14/2020;09:24:24;4/16/2020;Trade;250000;97.150;;M;;_;_;-;-;B;D;C;62983QAL7
4/3/2020;11:03:17;4/7/2020;Trade;1MM+;97.150;;M;;_;_;-;-;B;D;C;62983QAL7
4/3/2020;11:02:34;4/7/2020;Trade;1MM+;97.250;;M;;_;_;-;-;S;D;C;62983QAL7
3/5/2020;11:58:27;3/9/2020;Trade;1000000;99.200;;M;;_;_;-;-;S;D;C;62983QAL7
3/5/2020;11:57:16;3/9/2020;Trade;1000000;99.110;;M;;_;_;-;-;B;D;C;62983QAL7
11/5/2019;09:33:46;11/7/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;62983QAL7
11/5/2019;09:33:10;11/7/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;62983QAL7
11/5/2019;09:30:54;11/7/2019;Trade;1MM+;98.650;;M;;_;_;-;-;B;D;C;62983QAL7
7/24/2019;08:23:01;7/26/2019;Trade;750000;98.800;;M;;_;_;-;-;S;D;C;62983QAL7
7/24/2019;08:22:27;7/26/2019;Trade;750000;98.700;;M;;_;_;-;-;B;D;C;62983QAL7
5/7/2019;12:27:19;5/9/2019;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;62983QAL7
5/7/2019;12:26:38;5/9/2019;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;62983QAL7
5/2/2019;11:10:00;5/6/2019;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;62983QAL7
5/2/2019;11:10:00;5/6/2019;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;62983QAL7
5/2/2019;10:49:43;5/6/2019;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;62983QAL7
5/2/2019;10:48:59;5/6/2019;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;62983QAL7
5/1/2019;12:14:14;5/3/2019;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;62983QAL7
5/1/2019;12:11:00;5/3/2019;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;62983QAL7
4/3/2019;13:44:43;4/5/2019;Trade;250000;97.300;;N;;Z;_;-;A;S;D;C;62983QAL7
4/3/2019;13:44:43;4/5/2019;Trade;500000;97.200;;N;;Z;_;-;A;B;D;C;62983QAL7
4/3/2019;13:44:43;4/5/2019;Trade;250000;97.300;;N;;Z;_;-;A;S;D;C;62983QAL7
