Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/27/2020;14:41:45;5/29/2020;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;666842AA7
5/27/2020;14:40:06;5/29/2020;Trade;1MM+;99.875;;M;;_;_;-;-;S;D;C;666842AA7
5/27/2020;08:28:17;5/29/2020;Trade;1MM+;99.800;;M;;Z;_;-;A;B;D;C;666842AA7
5/26/2020;10:37:00;5/28/2020;Trade;1MM+;99.850;;M;;_;_;-;R;B;D;C;666842AA7
5/26/2020;10:37:00;5/28/2020;Trade;1MM+;99.875;;M;;_;_;-;R;S;D;C;666842AA7
5/22/2020;15:01:57;5/27/2020;Trade;1MM+;99.875;;M;;_;_;-;-;S;D;C;666842AA7
5/22/2020;14:59:04;5/27/2020;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;666842AA7
3/30/2020;09:51:44;4/1/2020;Trade;750000;99.800;;M;;_;_;-;-;S;D;C;666842AA7
3/30/2020;09:51:10;4/1/2020;Trade;750000;99.700;;M;;_;_;-;-;B;D;C;666842AA7
3/25/2020;08:58:20;3/27/2020;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;666842AA7
3/25/2020;08:57:30;3/27/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;666842AA7
3/23/2020;09:38:41;3/25/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;666842AA7
3/23/2020;09:38:07;3/25/2020;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;666842AA7
3/20/2020;14:36:00;3/24/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;666842AA7
3/20/2020;14:36:00;3/24/2020;Trade;1MM+;99.975;;M;;_;_;-;-;B;D;A;666842AA7
3/9/2020;11:59:48;3/11/2020;Trade;1MM+;100.575;;M;;_;_;-;-;B;D;C;666842AA7
3/9/2020;10:30:17;3/11/2020;Trade;1MM+;100.600;;M;;_;_;-;-;B;D;C;666842AA7
3/9/2020;10:22:56;3/11/2020;Trade;1MM+;100.700;;M;;_;_;-;-;S;;;666842AA7
3/2/2020;10:59:28;3/4/2020;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;666842AA7
3/2/2020;10:55:47;3/4/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;;;666842AA7
2/25/2020;11:20:14;2/27/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;D;C;666842AA7
2/25/2020;11:19:04;2/27/2020;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;666842AA7
2/25/2020;09:44:51;2/27/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;D;C;666842AA7
2/25/2020;09:44:51;2/27/2020;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;666842AA7
1/27/2020;10:32:51;1/29/2020;Trade;1000000;100.650;;M;;_;_;-;-;B;D;C;666842AA7
1/27/2020;10:30:46;1/29/2020;Trade;1000000;100.750;;M;;_;_;-;-;S;D;C;666842AA7
1/27/2020;10:12:43;1/29/2020;Trade;1MM+;100.750;;M;;_;_;-;-;S;D;C;666842AA7
1/27/2020;10:12:04;1/29/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;D;C;666842AA7
1/8/2020;11:38:05;1/10/2020;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;666842AA7
1/8/2020;11:37:19;1/10/2020;Trade;1MM+;100.550;;M;;_;_;-;-;S;D;C;666842AA7
1/8/2020;11:36:35;1/10/2020;Trade;1MM+;100.450;;M;;_;_;-;-;B;D;C;666842AA7
12/4/2019;10:06:15;12/6/2019;Trade;1000000;100.450;;M;;_;_;-;-;S;D;C;666842AA7
12/4/2019;10:04:50;12/6/2019;Trade;1000000;100.350;;M;;_;_;-;-;B;D;C;666842AA7
12/4/2019;09:22:06;12/6/2019;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;666842AA7
12/4/2019;09:21:27;12/6/2019;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;666842AA7
12/3/2019;10:41:00;12/5/2019;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;666842AA7
12/3/2019;10:41:00;12/5/2019;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;666842AA7
11/20/2019;15:45:29;11/22/2019;Trade;250000;100.250;;M;;_;_;-;-;S;D;C;666842AA7
11/20/2019;15:45:24;11/22/2019;Trade;250000;100.150;;M;;_;_;-;-;B;D;C;666842AA7
11/14/2019;11:13:10;11/18/2019;Trade;1MM+;101.150;;M;;_;_;-;-;B;D;C;666842AA7
11/14/2019;11:11:02;11/18/2019;Trade;1MM+;101.250;;M;;_;_;-;-;S;D;C;666842AA7
11/14/2019;10:31:25;11/18/2019;Trade;1MM+;101.250;;M;;_;_;-;-;S;D;C;666842AA7
11/14/2019;10:31:08;11/18/2019;Trade;1MM+;101.150;;M;;_;_;-;-;B;D;C;666842AA7
11/14/2019;10:30:20;11/18/2019;Trade;1MM+;101.150;;M;;_;_;-;-;B;D;C;666842AA7
9/13/2019;09:50:22;9/17/2019;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;666842AA7
