Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/2/2020;08:38:07;7/7/2020;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;666842AB5
7/2/2020;08:37:29;7/7/2020;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;666842AB5
7/1/2020;11:21:09;7/6/2020;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;666842AB5
7/1/2020;11:20:17;7/6/2020;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;666842AB5
6/18/2020;11:51:49;6/22/2020;Trade;250000;97.600;;M;;_;_;-;-;S;D;C;666842AB5
6/18/2020;11:51:49;6/22/2020;Trade;250000;97.700;;M;;_;_;-;-;B;D;C;666842AB5
6/12/2020;09:55:00;6/16/2020;Trade;1000000;97.250;;;;_;_;-;-;S;D;D;666842AB5
6/12/2020;09:44:50;6/16/2020;Trade;1000000;97.350;;M;;_;_;-;-;S;D;C;666842AB5
5/11/2020;10:15:02;5/13/2020;Trade;1000000;97.650;;M;;_;_;-;-;S;D;C;666842AB5
5/11/2020;10:14:22;5/13/2020;Trade;1000000;97.550;;M;;_;_;-;-;B;D;C;666842AB5
4/21/2020;14:21:31;4/23/2020;Trade;1MM+;97.650;;M;;_;_;-;-;S;D;C;666842AB5
4/21/2020;14:20:32;4/23/2020;Trade;1MM+;97.550;;M;;_;_;-;-;B;D;C;666842AB5
4/20/2020;11:54:59;4/22/2020;Trade;1MM+;97.650;;M;;_;_;-;-;S;D;C;666842AB5
4/20/2020;11:53:21;4/22/2020;Trade;1MM+;97.550;;M;;_;_;-;-;B;D;C;666842AB5
4/20/2020;10:09:18;4/22/2020;Trade;1MM+;97.650;;M;;_;_;-;-;S;D;C;666842AB5
4/20/2020;10:09:18;4/22/2020;Trade;1MM+;97.650;;M;;_;_;-;-;S;D;C;666842AB5
4/20/2020;10:09:15;4/22/2020;Trade;1MM+;97.550;;M;;_;_;-;-;B;D;C;666842AB5
3/27/2020;10:59:07;3/31/2020;Trade;1000000;97.250;;M;;_;_;-;-;S;D;C;666842AB5
3/27/2020;10:58:20;3/31/2020;Trade;1000000;97.150;;M;;_;_;-;-;B;D;C;666842AB5
3/26/2020;15:08:39;3/30/2020;Trade;800000;97.250;;M;;_;_;-;-;S;D;C;666842AB5
3/26/2020;15:01:31;3/30/2020;Trade;800000;97.150;;M;;_;_;-;-;B;D;C;666842AB5
3/26/2020;14:08:41;3/30/2020;Trade;1MM+;97.250;;M;;_;_;-;-;S;D;C;666842AB5
3/26/2020;14:07:13;3/30/2020;Trade;1MM+;97.150;;M;;_;_;-;-;B;D;C;666842AB5
3/6/2020;11:15:36;3/10/2020;Trade;1MM+;100.900;;M;;_;_;-;-;S;D;C;666842AB5
3/6/2020;11:14:55;3/10/2020;Trade;1MM+;100.800;;M;;_;_;-;-;B;D;C;666842AB5
2/13/2020;11:13:10;2/18/2020;Trade;825000;100.850;;M;;_;_;-;-;S;D;C;666842AB5
2/13/2020;11:13:10;2/18/2020;Trade;750000;100.850;;M;;_;_;-;-;S;D;C;666842AB5
2/13/2020;11:11:56;2/18/2020;Trade;1MM+;100.750;;M;;_;_;-;-;B;D;C;666842AB5
1/14/2020;11:33:54;1/16/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;666842AB5
1/14/2020;11:33:15;1/16/2020;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;666842AB5
1/9/2020;15:20:46;1/13/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;666842AB5
1/9/2020;15:20:08;1/13/2020;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;666842AB5
1/8/2020;10:27:51;1/10/2020;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;666842AB5
1/8/2020;10:27:06;1/10/2020;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;666842AB5
7/15/2019;11:09:57;7/17/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;666842AB5
7/15/2019;11:08:55;7/17/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;666842AB5
7/10/2019;10:30:57;7/12/2019;Trade;1MM+;98.550;;M;;_;_;-;-;S;D;C;666842AB5
7/10/2019;10:30:21;7/12/2019;Trade;1MM+;98.450;;M;;_;_;-;-;B;D;C;666842AB5
5/31/2019;09:53:25;6/4/2019;Trade;1000000;97.900;;M;;_;_;-;-;S;D;C;666842AB5
5/31/2019;09:38:51;6/4/2019;Trade;1000000;97.800;;M;;Z;_;-;-;B;D;C;666842AB5
5/23/2019;11:06:21;5/28/2019;Trade;500000;97.600;;M;;_;_;-;-;S;D;C;666842AB5
5/23/2019;11:05:47;5/28/2019;Trade;500000;97.500;;M;;_;_;-;-;B;D;C;666842AB5
5/21/2019;08:26:49;5/23/2019;Trade;1000000;97.600;;M;;_;_;-;-;S;D;C;666842AB5
5/21/2019;08:26:07;5/23/2019;Trade;1000000;97.500;;M;;_;_;-;-;B;D;C;666842AB5
5/20/2019;10:43:59;5/22/2019;Trade;350000;98.250;;M;;_;_;-;-;S;D;C;666842AB5
5/20/2019;10:43:29;5/22/2019;Trade;350000;98.150;;M;;_;_;-;-;B;D;C;666842AB5
5/10/2019;10:45:02;5/14/2019;Trade;700000;97.600;;M;;_;_;-;-;S;D;C;666842AB5
5/10/2019;10:44:25;5/14/2019;Trade;700000;97.500;;M;;_;_;-;-;B;D;C;666842AB5
5/10/2019;08:35:35;5/14/2019;Trade;250000;97.600;;M;;_;_;-;-;S;D;C;666842AB5
5/10/2019;08:34:33;5/14/2019;Trade;250000;97.500;;M;;_;_;-;-;B;D;C;666842AB5
5/3/2019;10:25:00;5/7/2019;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;666842AB5
5/3/2019;10:25:00;5/7/2019;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;666842AB5
5/2/2019;11:42:24;5/6/2019;Trade;1000000;97.650;;M;;_;_;-;-;B;D;C;666842AB5
