Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/26/2020;11:43:45;6/30/2020;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;666842AC3
6/26/2020;11:40:13;6/30/2020;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;666842AC3
6/12/2020;10:24:11;6/16/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;666842AC3
6/12/2020;10:23:13;6/16/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;666842AC3
6/9/2020;15:16:54;6/11/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;666842AC3
6/9/2020;15:16:15;6/11/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;666842AC3
6/2/2020;10:43:01;6/4/2020;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;666842AC3
6/2/2020;10:41:44;6/4/2020;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;666842AC3
5/28/2020;13:19:23;6/1/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;666842AC3
5/28/2020;13:18:44;6/1/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;666842AC3
5/20/2020;11:55:08;5/22/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;666842AC3
5/20/2020;11:54:28;5/22/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;666842AC3
4/15/2020;13:41:46;4/17/2020;Trade;1000000;99.000;;M;;_;_;-;-;B;D;C;666842AC3
4/15/2020;13:16:46;4/17/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;666842AC3
4/15/2020;13:15:47;4/17/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;666842AC3
4/15/2020;10:33:30;4/17/2020;Trade;1000000;99.100;;M;;_;_;-;-;S;D;C;666842AC3
3/10/2020;13:32:59;3/12/2020;Trade;1MM+;101.400;;M;;_;_;-;-;B;D;C;666842AC3
3/10/2020;13:15:33;3/12/2020;Trade;1MM+;101.500;;M;;_;_;-;-;S;D;C;666842AC3
2/6/2020;11:54:20;2/10/2020;Trade;1MM+;101.400;;M;;_;_;-;-;B;D;C;666842AC3
2/6/2020;11:54:20;2/10/2020;Trade;1MM+;101.500;;M;;_;_;-;-;S;D;C;666842AC3
12/12/2019;12:08:10;12/16/2019;Trade;1MM+;101.800;;M;;_;_;-;-;S;D;C;666842AC3
12/12/2019;12:06:12;12/16/2019;Trade;1MM+;101.700;;M;;_;_;-;-;B;D;C;666842AC3
11/4/2019;11:42:24;11/6/2019;Trade;500000;102.500;;M;;_;_;-;-;B;D;C;666842AC3
11/4/2019;11:42:24;11/6/2019;Trade;500000;102.600;;M;;_;_;-;-;S;D;C;666842AC3
11/1/2019;15:17:24;11/5/2019;Trade;500000;101.900;;N;;Z;_;-;A;B;D;C;666842AC3
11/1/2019;14:51:32;11/5/2019;Trade;500000;101.900;;N;;_;_;-;-;B;D;C;666842AC3
11/1/2019;14:51:32;11/5/2019;Trade;500000;102.000;;N;;_;_;-;-;S;D;C;666842AC3
11/1/2019;14:51:00;11/5/2019;Trade;250000;102.000;;N;;Z;_;-;A;S;D;C;666842AC3
11/1/2019;12:06:10;11/5/2019;Cancel;1MM+;102.600;;M;;_;_;-;-;B;D;C;666842AC3
11/1/2019;12:06:10;11/5/2019;Trade;500000;102.500;;M;;_;_;-;-;B;D;C;666842AC3
11/1/2019;12:06:10;11/5/2019;Correction;1MM+;102.600;;M;;_;_;-;-;S;D;C;666842AC3
11/1/2019;12:03:14;11/5/2019;Trade;1000000;102.500;;M;;_;_;-;-;B;D;C;666842AC3
