Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/20/2018;10:39:20;11/23/2018;Trade;312500;99.750;;M;;_;_;-;-;B;D;C;70932JAA2
11/20/2018;10:38:58;11/23/2018;Trade;312500;99.850;;M;;_;_;-;-;S;D;C;70932JAA2
11/2/2018;17:06:28;11/6/2018;Trade;250000;99.980;;M;;_;_;-;-;S;D;C;70932JAA2
11/2/2018;17:05:22;11/6/2018;Trade;250000;99.880;;M;;_;_;-;-;B;D;C;70932JAA2
10/4/2018;09:43:20;10/9/2018;Trade;1MM+;99.970;;M;;_;_;-;-;S;D;C;70932JAA2
10/4/2018;09:42:47;10/9/2018;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;70932JAA2
10/3/2018;10:05:45;10/5/2018;Trade;1000000;99.980;;M;;_;_;-;-;S;D;C;70932JAA2
10/3/2018;10:04:33;10/5/2018;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;70932JAA2
9/5/2018;09:53:08;9/7/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
9/5/2018;09:52:31;9/7/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
9/5/2018;09:51:44;9/7/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;70932JAA2
8/7/2018;13:16:25;8/9/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
8/7/2018;13:15:41;8/9/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
8/7/2018;13:15:00;8/9/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;70932JAA2
7/23/2018;12:13:10;7/25/2018;Trade;350000;100.000;;M;;_;_;-;-;B;D;C;70932JAA2
7/23/2018;11:15:08;7/25/2018;Trade;350000;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
7/19/2018;11:55:00;7/23/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;70932JAA2
7/19/2018;10:54:00;7/23/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
7/19/2018;09:50:00;7/23/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
7/19/2018;09:50:00;7/23/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;70932JAA2
5/4/2018;11:26:25;5/8/2018;Trade;500000;100.350;;M;;_;_;-;-;S;D;C;70932JAA2
5/4/2018;11:25:53;5/8/2018;Trade;500000;100.250;;M;;_;_;-;-;B;D;C;70932JAA2
4/13/2018;11:48:59;4/17/2018;Trade;750000;100.250;;M;;_;_;-;-;S;D;C;70932JAA2
4/13/2018;11:48:20;4/17/2018;Trade;750000;100.150;;M;;_;_;-;-;B;D;C;70932JAA2
4/6/2018;09:37:14;4/10/2018;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;70932JAA2
4/6/2018;09:36:36;4/10/2018;Trade;500000;100.000;;M;;_;_;-;-;B;D;C;70932JAA2
2/7/2018;11:39:37;2/9/2018;Trade;250000;100.700;;M;;_;_;-;-;B;D;C;70932JAA2
2/7/2018;11:38:17;2/9/2018;Trade;250000;100.800;;M;;_;_;-;-;S;D;C;70932JAA2
11/20/2017;17:21:14;11/22/2017;Trade;625000;101.000;;M;;T;_;-;-;B;D;C;70932JAA2
11/20/2017;17:20:13;11/22/2017;Trade;625000;101.100;;M;;T;_;-;-;S;D;C;70932JAA2
10/3/2017;15:51:29;10/5/2017;Trade;1MM+;101.300;;M;;_;_;-;-;S;D;C;70932JAA2
10/3/2017;15:51:29;10/5/2017;Trade;1MM+;101.200;;M;;_;_;-;-;B;D;C;70932JAA2
9/20/2017;11:00:00;9/22/2017;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;70932JAA2
9/20/2017;10:57:34;9/22/2017;Cancel;1000000;100.300;;M;;_;_;-;-;S;D;C;70932JAA2
9/20/2017;10:57:34;9/22/2017;Correction;1MM+;100.300;;M;;_;_;-;-;S;D;C;70932JAA2
9/20/2017;10:57:12;9/22/2017;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;70932JAA2
9/20/2017;10:57:02;9/22/2017;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;70932JAA2
9/20/2017;10:56:31;9/22/2017;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;70932JAA2
9/18/2017;14:27:00;9/20/2017;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;70932JAA2
9/18/2017;14:27:00;9/20/2017;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;70932JAA2
9/18/2017;11:44:00;9/20/2017;Trade;1000000;100.400;;M;;_;_;-;-;B;D;C;70932JAA2
9/18/2017;11:44:00;9/20/2017;Trade;1000000;100.500;;M;;_;_;-;-;S;D;C;70932JAA2
9/15/2017;12:15:00;9/19/2017;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;70932JAA2
9/15/2017;12:15:00;9/19/2017;Trade;750000;100.350;;M;;_;_;-;-;B;D;C;70932JAA2
9/15/2017;12:15:00;9/19/2017;Trade;1MM+;100.450;;M;;_;_;-;-;S;D;C;70932JAA2
9/15/2017;10:22:04;9/19/2017;Trade;250000;100.750;;M;;_;_;-;-;B;D;C;70932JAA2
9/15/2017;10:21:20;9/19/2017;Trade;250000;100.850;;M;;_;_;-;-;S;D;C;70932JAA2
9/5/2017;14:06:09;9/8/2017;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;70932JAA2
9/5/2017;14:06:09;9/8/2017;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;70932JAA2
9/5/2017;10:45:00;9/7/2017;Trade;500000;100.500;;M;;_;_;-;-;B;D;C;70932JAA2
9/5/2017;10:45:00;9/7/2017;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;70932JAA2
7/11/2017;10:59:06;7/14/2017;Trade;750000;100.400;;M;;_;_;-;-;B;D;C;70932JAA2
7/11/2017;10:05:00;7/14/2017;Trade;750000;100.500;;M;;_;_;-;-;S;D;C;70932JAA2
3/24/2017;12:56:16;3/29/2017;Trade;250000;101.250;;M;;_;_;-;-;S;D;C;70932JAA2
3/24/2017;12:56:04;3/29/2017;Trade;750000;101.250;;M;;_;_;-;-;S;D;C;70932JAA2
