Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/24/2020;10:36:01;3/26/2020;Trade;500000;99.410;;M;;_;_;-;-;B;D;C;705809AA9
3/24/2020;10:36:01;3/26/2020;Trade;500000;99.510;;M;;_;_;-;-;S;D;C;705809AA9
3/23/2020;10:45:19;3/25/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;705809AA9
3/23/2020;10:45:19;3/25/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;705809AA9
3/18/2020;11:14:20;3/20/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;705809AA9
3/18/2020;11:13:58;3/20/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;705809AA9
3/17/2020;08:20:39;3/19/2020;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;705809AA9
3/17/2020;08:19:55;3/19/2020;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;705809AA9
1/3/2020;10:00:04;1/7/2020;Trade;375000;99.700;;M;;_;_;-;-;S;D;C;705809AA9
1/3/2020;09:59:20;1/7/2020;Trade;375000;99.600;;M;;_;_;-;-;B;D;C;705809AA9
12/17/2019;12:17:00;12/19/2019;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;705809AA9
12/17/2019;12:17:00;12/19/2019;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;705809AA9
12/12/2019;08:35:28;12/16/2019;Trade;250000;99.800;;M;;_;_;-;-;B;D;C;705809AA9
12/10/2019;10:06:57;12/12/2019;Trade;250000;99.750;;M;;_;_;-;-;S;D;C;705809AA9
12/10/2019;10:05:45;12/12/2019;Cancel;250000;99.650;;M;;_;_;-;-;B;D;C;705809AA9
12/10/2019;10:05:45;12/12/2019;Cancel;250000;99.650;;M;;_;_;-;-;B;D;C;705809AA9
12/3/2019;13:28:22;12/5/2019;Trade;250000;99.780;;M;;_;_;-;-;S;D;C;705809AA9
12/3/2019;13:26:09;12/5/2019;Trade;250000;99.730;;M;;_;_;-;-;B;D;C;705809AA9
11/27/2019;10:22:34;12/2/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;705809AA9
11/27/2019;10:22:34;12/2/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;705809AA9
10/31/2019;15:07:15;11/4/2019;Trade;250000;99.400;;M;;_;_;-;-;B;D;C;705809AA9
10/31/2019;15:07:12;11/4/2019;Trade;250000;99.500;;M;;_;_;-;-;S;D;C;705809AA9
6/19/2019;11:59:34;6/21/2019;Trade;500000;98.700;;M;;_;_;-;-;B;D;C;705809AA9
6/19/2019;11:53:41;6/21/2019;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;705809AA9
6/19/2019;11:34:20;6/21/2019;Cancel;1MM+;98.700;;M;;_;_;-;-;B;D;C;705809AA9
6/19/2019;11:34:20;6/21/2019;Correction;1MM+;98.700;;M;;Z;_;-;-;B;D;C;705809AA9
6/10/2019;13:58:18;6/12/2019;Trade;250000;98.750;;N;;_;_;-;-;S;D;C;705809AA9
6/10/2019;13:58:18;6/12/2019;Trade;250000;98.650;;N;;_;_;-;-;B;D;C;705809AA9
2/27/2019;11:52:00;3/1/2019;Trade;750000;99.250;;M;;_;_;-;-;S;D;C;705809AA9
2/27/2019;11:30:34;3/1/2019;Trade;750000;99.150;;M;;_;_;-;-;B;D;C;705809AA9
12/18/2018;09:58:14;12/20/2018;Trade;375000;98.650;;M;;_;_;-;-;S;D;C;705809AA9
12/18/2018;09:57:07;12/20/2018;Trade;375000;98.550;;M;;_;_;-;-;B;D;C;705809AA9
11/29/2018;14:11:51;12/3/2018;Trade;1000000;99.500;;M;;_;_;-;-;B;D;C;705809AA9
11/29/2018;14:11:15;12/3/2018;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;705809AA9
11/29/2018;14:01:23;12/3/2018;Cancel;1MM+;99.500;;M;;_;_;-;-;B;D;C;705809AA9
11/29/2018;14:01:23;12/3/2018;Correction;500000;99.500;;M;;_;_;-;-;B;D;C;705809AA9
11/29/2018;13:57:13;12/3/2018;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;705809AA9
11/8/2018;11:24:00;11/13/2018;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;705809AA9
11/8/2018;10:13:22;11/13/2018;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;705809AA9
8/30/2018;12:33:23;9/4/2018;Trade;800000;100.195;;M;;_;_;-;-;S;D;C;705809AA9
8/30/2018;12:32:50;9/4/2018;Trade;800000;100.145;;M;;_;_;-;-;B;D;C;705809AA9
8/8/2018;10:31:22;8/10/2018;Trade;100000;99.975;;M;;_;_;-;-;S;D;C;705809AA9
8/8/2018;10:30:51;8/10/2018;Trade;100000;99.925;;M;;_;_;-;-;B;D;C;705809AA9
5/16/2018;11:32:47;5/18/2018;Trade;250000;100.100;;M;;_;_;-;-;B;D;C;705809AA9
5/16/2018;11:20:15;5/18/2018;Cancel;1MM+;100.200;;M;;_;_;-;-;S;D;C;705809AA9
5/16/2018;11:20:15;5/18/2018;Correction;1MM+;100.200;;M;;_;_;-;-;S;D;C;705809AA9
5/16/2018;11:19:44;5/18/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;705809AA9
5/16/2018;11:17:31;5/18/2018;Trade;1000000;100.100;;M;;_;_;-;-;B;D;C;705809AA9
3/21/2018;12:15:22;3/23/2018;Cancel;250000;100.505;;M;;_;_;-;-;S;D;C;705809AA9
3/21/2018;12:15:22;3/23/2018;Correction;250000;100.555;;M;;Z;_;-;-;S;D;C;705809AA9
3/21/2018;12:14:38;3/23/2018;Trade;250000;100.505;;M;;_;_;-;-;B;D;C;705809AA9
3/20/2018;15:22:35;3/22/2018;Trade;500000;100.750;;M;;_;_;-;-;S;D;C;705809AA9
3/20/2018;15:22:33;3/22/2018;Trade;500000;100.650;;M;;_;_;-;-;B;D;C;705809AA9
3/20/2018;10:55:16;3/23/2018;Trade;1000000;100.750;;M;;_;_;-;-;S;D;C;705809AA9
3/20/2018;10:55:13;3/23/2018;Trade;1000000;100.650;;M;;_;_;-;-;B;D;C;705809AA9
3/12/2018;14:03:49;3/14/2018;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;705809AA9
3/12/2018;14:03:34;3/14/2018;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;705809AA9
3/12/2018;12:04:10;3/14/2018;Cancel;750000;100.600;;M;;_;_;-;-;S;D;C;705809AA9
3/12/2018;12:04:10;3/14/2018;Correction;250000;100.600;;M;;Z;_;-;-;S;D;C;705809AA9
3/12/2018;12:00:51;3/14/2018;Trade;750000;100.500;;M;;_;_;-;-;B;D;C;705809AA9
2/8/2018;09:41:00;2/12/2018;Trade;250000;100.650;;M;;_;_;-;-;S;D;C;705809AA9
2/8/2018;09:41:00;2/12/2018;Trade;250000;100.550;;M;;_;_;-;-;B;D;C;705809AA9
1/8/2018;12:00:30;1/10/2018;Trade;250000;100.750;;M;;_;_;-;-;S;D;C;705809AA9
1/8/2018;12:00:12;1/10/2018;Trade;250000;100.650;;M;;_;_;-;-;B;D;C;705809AA9
11/21/2017;09:10:04;11/24/2017;Trade;375000;100.800;;M;;_;_;-;-;S;D;C;705809AA9
11/21/2017;09:09:27;11/24/2017;Trade;375000;100.700;;M;;_;_;-;-;B;D;C;705809AA9
10/11/2017;15:29:37;10/13/2017;Trade;750000;100.750;;M;;_;_;-;-;S;D;C;705809AA9
10/11/2017;15:28:08;10/13/2017;Trade;750000;100.650;;M;;_;_;-;-;B;D;C;705809AA9
9/27/2017;11:00:00;9/29/2017;Trade;250000;100.800;;N;;_;_;-;-;S;D;C;705809AA9
9/27/2017;11:00:00;9/29/2017;Trade;250000;100.700;;N;;_;_;-;-;B;D;C;705809AA9
9/27/2017;11:00:00;9/29/2017;Trade;250000;100.700;;;;_;_;-;-;S;D;D;705809AA9
9/7/2017;15:04:58;9/11/2017;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;705809AA9
9/7/2017;15:04:58;9/11/2017;Trade;250000;100.050;;M;;_;_;-;-;B;D;C;705809AA9
9/7/2017;15:04:58;9/11/2017;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;705809AA9
9/7/2017;15:04:56;9/11/2017;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;705809AA9
6/13/2017;10:32:33;6/16/2017;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;705809AA9
6/13/2017;10:32:30;6/16/2017;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;705809AA9
5/24/2017;11:35:30;5/30/2017;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;705809AA9
5/24/2017;11:35:27;5/30/2017;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;705809AA9
