Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/5/2020;12:32:22;3/9/2020;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;705809AB7
3/5/2020;12:28:17;3/9/2020;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;705809AB7
12/16/2019;11:22:19;12/18/2019;Trade;750000;99.450;;M;;_;_;-;-;B;D;C;705809AB7
12/16/2019;11:22:10;12/18/2019;Trade;750000;99.550;;M;;_;_;-;-;S;D;C;705809AB7
12/12/2019;09:39:36;12/16/2019;Trade;250000;99.450;;M;;_;_;-;-;B;;;705809AB7
12/12/2019;09:22:20;12/16/2019;Trade;250000;99.550;;M;;_;_;-;-;S;D;C;705809AB7
7/15/2019;12:29:58;7/17/2019;Trade;1000000;99.000;;M;;_;_;-;-;S;D;C;705809AB7
7/15/2019;12:28:48;7/17/2019;Trade;1000000;98.900;;M;;_;_;-;-;B;D;C;705809AB7
7/15/2019;10:08:15;7/17/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;705809AB7
7/15/2019;10:07:22;7/17/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;705809AB7
7/10/2019;11:32:17;7/12/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;705809AB7
7/10/2019;11:31:30;7/12/2019;Cancel;1MM+;99.100;;M;;_;_;-;-;B;D;C;705809AB7
7/10/2019;11:31:30;7/12/2019;Cancel;1MM+;99.100;;M;;_;_;-;-;B;D;C;705809AB7
7/10/2019;11:27:00;7/12/2019;Trade;1MM+;99.100;;;;_;_;-;-;S;D;D;705809AB7
7/1/2019;09:24:10;7/3/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;705809AB7
7/1/2019;09:23:39;7/3/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;705809AB7
6/28/2019;08:05:07;7/2/2019;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;705809AB7
6/28/2019;08:04:31;7/2/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;705809AB7
5/22/2019;11:26:37;5/24/2019;Trade;1000000;98.100;;M;;_;_;-;-;S;D;C;705809AB7
5/22/2019;11:26:33;5/24/2019;Trade;1000000;98.000;;M;;_;_;-;-;B;D;C;705809AB7
5/17/2019;10:08:43;5/21/2019;Trade;250000;97.900;;M;;_;_;-;-;B;D;C;705809AB7
5/17/2019;10:08:39;5/21/2019;Trade;250000;98.000;;M;;_;_;-;-;S;D;C;705809AB7
2/26/2019;14:29:00;2/28/2019;Trade;750000;99.000;;M;;_;_;-;-;S;D;C;705809AB7
2/26/2019;14:28:57;2/28/2019;Trade;750000;98.900;;M;;_;_;-;-;B;D;C;705809AB7
2/26/2019;10:14:44;2/28/2019;Trade;250000;99.300;;M;;_;_;-;-;S;D;C;705809AB7
2/26/2019;10:14:38;2/28/2019;Trade;250000;99.200;;M;;_;_;-;-;B;D;C;705809AB7
1/25/2019;18:35:10;1/29/2019;Trade;250000;99.050;;M;;Z;_;-;A;S;D;C;705809AB7
1/25/2019;18:21:21;1/29/2019;Trade;250000;99.050;;M;;Z;_;-;A;S;D;C;705809AB7
1/25/2019;11:21:21;1/29/2019;Cancel;1MM+;99.050;;M;;_;_;-;-;S;D;C;705809AB7
1/25/2019;11:21:21;1/29/2019;Cancel;1MM+;99.050;;M;;_;_;-;-;S;D;C;705809AB7
1/25/2019;11:19:50;1/29/2019;Trade;250000;98.950;;M;;_;_;-;-;B;D;C;705809AB7
1/25/2019;10:44:32;1/29/2019;Trade;250000;98.950;;M;;_;_;-;-;B;D;C;705809AB7
1/25/2019;10:44:18;1/29/2019;Trade;250000;98.950;;M;;_;_;-;-;B;D;C;705809AB7
1/25/2019;10:44:00;1/29/2019;Trade;1000000;98.950;;M;;_;_;-;-;B;D;C;705809AB7
1/25/2019;10:41:09;1/29/2019;Trade;250000;99.050;;M;;Z;_;-;A;S;D;C;705809AB7
1/25/2019;10:40:55;1/29/2019;Trade;250000;99.050;;M;;Z;_;-;A;S;D;C;705809AB7
1/25/2019;10:40:44;1/29/2019;Trade;250000;99.050;;M;;Z;_;-;A;S;D;C;705809AB7
1/25/2019;10:40:32;1/29/2019;Trade;250000;99.050;;M;;Z;_;-;A;S;D;C;705809AB7
1/25/2019;10:39:57;1/29/2019;Trade;250000;99.050;;M;;Z;_;-;A;S;D;C;705809AB7
12/19/2018;11:42:32;12/21/2018;Trade;250000;98.750;;M;;_;_;-;-;S;D;C;705809AB7
12/19/2018;11:42:28;12/21/2018;Trade;250000;98.650;;M;;_;_;-;-;B;D;C;705809AB7
10/5/2018;11:23:09;10/10/2018;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;705809AB7
10/5/2018;11:21:39;10/10/2018;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;705809AB7
8/31/2018;09:20:23;9/5/2018;Trade;700000;100.330;;M;;_;_;-;-;S;D;C;705809AB7
8/31/2018;09:19:39;9/5/2018;Trade;700000;100.280;;M;;_;_;-;-;B;D;C;705809AB7
8/30/2018;12:18:08;9/4/2018;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;705809AB7
8/30/2018;12:17:33;9/4/2018;Trade;250000;100.500;;M;;_;_;-;-;B;D;C;705809AB7
6/19/2018;13:25:32;6/21/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;705809AB7
6/19/2018;13:25:25;6/21/2018;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;705809AB7
5/31/2018;09:38:12;6/4/2018;Trade;300000;99.900;;M;;_;_;-;-;S;D;C;705809AB7
5/31/2018;09:37:17;6/4/2018;Trade;300000;99.810;;M;;_;_;-;-;B;D;C;705809AB7
5/15/2018;15:20:00;5/17/2018;Trade;1MM+;100.120;;M;;_;_;-;-;B;D;C;705809AB7
5/15/2018;15:20:00;5/17/2018;Trade;1MM+;100.220;;M;;_;_;-;-;S;D;C;705809AB7
5/14/2018;11:13:00;5/16/2018;Trade;1MM+;100.220;;M;;_;_;-;-;S;D;C;705809AB7
5/14/2018;11:13:00;5/16/2018;Trade;1MM+;100.120;;M;;_;_;-;-;B;D;C;705809AB7
5/9/2018;07:56:58;5/11/2018;Correction;300000;100.215;;M;;Z;_;-;A;S;D;C;705809AB7
5/9/2018;07:56:58;5/11/2018;Cancel;300000;101.215;;M;;Z;_;-;A;S;D;C;705809AB7
5/9/2018;07:56:13;5/11/2018;Trade;300000;100.165;;M;;Z;_;-;A;B;D;C;705809AB7
