Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/19/2020;12:30:02;3/23/2020;Trade;1MM+;99.980;;M;;_;_;-;-;S;;;74825RAA6
3/19/2020;12:29:20;3/23/2020;Trade;1MM+;99.880;;M;;_;_;-;-;B;;;74825RAA6
3/18/2020;11:19:44;3/20/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;74825RAA6
3/18/2020;11:18:20;3/20/2020;Trade;1MM+;99.900;;M;;_;_;-;-;B;;;74825RAA6
3/16/2020;09:31:14;3/18/2020;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;74825RAA6
3/16/2020;09:30:26;3/18/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;74825RAA6
3/16/2020;08:37:26;3/18/2020;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;74825RAA6
3/16/2020;08:36:46;3/18/2020;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;74825RAA6
2/24/2020;08:44:25;2/26/2020;Trade;1000000;100.150;;M;;_;_;-;-;S;D;C;74825RAA6
2/24/2020;08:43:45;2/26/2020;Trade;1000000;100.050;;M;;_;_;-;-;B;D;C;74825RAA6
2/20/2020;11:43:37;2/24/2020;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;74825RAA6
2/20/2020;11:42:54;2/24/2020;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;74825RAA6
12/12/2019;12:46:04;12/16/2019;Trade;250000;100.000;;M;;_;_;-;-;S;D;C;74825RAA6
12/12/2019;12:33:49;12/16/2019;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;74825RAA6
12/3/2019;10:28:22;12/5/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;;;74825RAA6
12/3/2019;10:25:50;12/5/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;;;74825RAA6
12/2/2019;12:07:16;12/4/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;74825RAA6
12/2/2019;12:05:22;12/4/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;74825RAA6
11/14/2019;13:10:46;11/18/2019;Trade;400000;100.000;;M;;_;_;-;-;S;D;C;74825RAA6
11/14/2019;13:08:54;11/18/2019;Trade;400000;99.900;;M;;_;_;-;-;B;D;C;74825RAA6
9/9/2019;12:16:00;9/11/2019;Trade;1MM+;99.950;;M;;_;_;-;-;S;D;C;74825RAA6
9/9/2019;12:15:02;9/11/2019;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;74825RAA6
6/26/2019;09:19:52;6/28/2019;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;74825RAA6
6/26/2019;09:19:11;6/28/2019;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;74825RAA6
6/25/2019;12:12:14;6/27/2019;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;74825RAA6
6/25/2019;12:11:34;6/27/2019;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;74825RAA6
6/19/2019;12:48:21;6/21/2019;Trade;1000000;100.100;;N;;_;_;-;-;S;D;C;74825RAA6
6/19/2019;12:48:21;6/21/2019;Trade;1000000;100.000;;N;;_;_;-;-;B;D;C;74825RAA6
6/7/2019;10:17:46;6/11/2019;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;74825RAA6
6/7/2019;10:17:14;6/11/2019;Trade;1000000;99.800;;M;;_;_;-;-;B;D;C;74825RAA6
6/6/2019;11:09:44;6/10/2019;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;74825RAA6
6/6/2019;11:09:01;6/10/2019;Trade;1000000;99.800;;M;;_;_;-;-;B;D;C;74825RAA6
2/19/2019;10:35:07;2/21/2019;Trade;750000;100.800;;M;;Z;_;-;-;S;D;C;74825RAA6
2/19/2019;10:35:04;2/21/2019;Trade;750000;100.700;;M;;Z;_;-;-;B;D;C;74825RAA6
1/11/2019;11:12:21;1/15/2019;Trade;700000;100.650;;M;;_;_;-;-;B;D;C;74825RAA6
1/11/2019;11:12:19;1/15/2019;Trade;700000;100.750;;M;;_;_;-;-;S;D;C;74825RAA6
12/6/2018;09:59:27;12/10/2018;Trade;700000;99.500;;M;;_;_;-;-;S;D;C;74825RAA6
12/6/2018;09:58:49;12/10/2018;Trade;250000;99.400;;M;;_;_;-;-;B;D;C;74825RAA6
12/6/2018;09:48:31;12/10/2018;Cancel;350000;99.400;;M;;_;_;-;-;B;D;C;74825RAA6
12/6/2018;09:48:31;12/10/2018;Correction;450000;99.400;;M;;Z;_;-;-;B;D;C;74825RAA6
12/3/2018;12:53:07;12/5/2018;Trade;750000;100.750;;M;;_;_;-;-;S;D;C;74825RAA6
12/3/2018;12:52:25;12/5/2018;Trade;750000;100.650;;M;;_;_;-;-;B;D;C;74825RAA6
8/14/2018;09:24:27;8/16/2018;Trade;1MM+;101.275;;M;;_;_;-;-;S;D;C;74825RAA6
8/14/2018;09:23:51;8/16/2018;Trade;1MM+;101.225;;M;;_;_;-;-;B;D;C;74825RAA6
8/2/2018;11:16:43;8/6/2018;Trade;250000;101.250;;M;;_;_;-;-;S;D;C;74825RAA6
8/2/2018;11:16:06;8/6/2018;Trade;250000;101.150;;M;;_;_;-;-;B;D;C;74825RAA6
6/29/2018;08:24:56;7/3/2018;Trade;1000000;101.250;;M;;_;_;-;-;S;D;C;74825RAA6
6/29/2018;08:24:22;7/3/2018;Trade;1000000;101.150;;M;;_;_;-;-;B;D;C;74825RAA6
6/27/2018;13:04:06;6/29/2018;Trade;1000000;101.260;;M;;_;_;-;-;S;D;C;74825RAA6
6/27/2018;13:03:29;6/29/2018;Trade;1000000;101.160;;M;;_;_;-;-;B;D;C;74825RAA6
6/27/2018;11:53:00;6/29/2018;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;74825RAA6
6/27/2018;11:53:00;6/29/2018;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;74825RAA6
6/5/2018;09:11:42;6/7/2018;Trade;250000;101.185;;M;;_;_;-;-;S;D;C;74825RAA6
6/5/2018;09:11:10;6/7/2018;Trade;250000;101.135;;M;;_;_;-;-;B;D;C;74825RAA6
4/17/2018;10:40:08;4/19/2018;Trade;250000;101.485;;M;;_;_;-;-;S;D;C;74825RAA6
4/17/2018;10:39:44;4/19/2018;Trade;250000;101.435;;M;;_;_;-;-;B;D;C;74825RAA6
2/12/2018;11:35:24;2/14/2018;Trade;450000;102.000;;M;;_;_;-;-;S;D;C;74825RAA6
2/12/2018;11:12:44;2/14/2018;Trade;450000;101.900;;M;;_;_;-;-;B;D;C;74825RAA6
12/29/2017;11:58:48;1/3/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;74825RAA6
12/29/2017;11:58:03;1/3/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;74825RAA6
12/29/2017;11:57:04;1/3/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;74825RAA6
12/29/2017;11:55:53;1/3/2018;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;74825RAA6
12/18/2017;10:49:37;12/20/2017;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;74825RAA6
12/18/2017;10:49:29;12/20/2017;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;74825RAA6
11/20/2017;17:54:23;11/22/2017;Trade;450000;100.350;;M;;T;_;-;-;S;D;C;74825RAA6
11/20/2017;17:51:16;11/22/2017;Trade;450000;100.250;;M;;T;_;-;-;B;D;C;74825RAA6
6/14/2017;13:16:33;6/19/2017;Trade;1MM+;101.050;;M;;_;_;-;-;B;D;C;74825RAA6
6/14/2017;13:16:33;6/19/2017;Trade;1MM+;101.150;;M;;_;_;-;-;S;D;C;74825RAA6
5/3/2017;09:40:00;5/8/2017;Trade;1000000;101.100;;M;;_;_;-;-;S;D;C;74825RAA6
5/3/2017;09:40:00;5/8/2017;Trade;1000000;101.000;;M;;_;_;-;-;B;D;C;74825RAA6
3/24/2017;10:30:00;3/29/2017;Trade;750000;101.250;;M;;_;_;-;-;B;D;C;74825RAA6
3/24/2017;10:30:00;3/29/2017;Trade;750000;101.350;;M;;_;_;-;-;S;D;C;74825RAA6
7/8/2016;10:11:37;7/13/2016;Trade;1MM+;100.600;;N;;_;_;-;-;S;D;C;74825RAA6
7/8/2016;10:11:00;7/13/2016;Trade;1MM+;100.500;;N;;_;_;-;-;B;D;C;74825RAA6
6/28/2016;13:32:21;7/1/2016;Trade;1000000;100.600;;N;;_;_;-;-;S;D;C;74825RAA6
6/28/2016;13:32:07;7/1/2016;Trade;500000;100.500;;N;;_;_;-;-;B;D;C;74825RAA6
6/28/2016;13:31:53;7/1/2016;Trade;500000;100.500;;N;;_;_;-;-;B;D;C;74825RAA6
6/28/2016;12:32:42;7/1/2016;Trade;1MM+;100.600;;N;;_;_;-;-;S;D;C;74825RAA6
6/28/2016;12:31:20;7/1/2016;Trade;250000;100.500;;N;;_;_;-;-;B;D;C;74825RAA6
6/28/2016;12:31:10;7/1/2016;Trade;250000;100.500;;N;;_;_;-;-;B;D;C;74825RAA6
