Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/14/2016;12:08:33;11/17/2016;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;76115AAA7
11/14/2016;12:08:02;11/17/2016;Trade;1MM+;100.130;;M;;_;_;-;-;S;D;C;76115AAA7
11/14/2016;11:09:19;11/17/2016;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;76115AAA7
11/14/2016;11:09:16;11/17/2016;Trade;1MM+;100.130;;M;;_;_;-;-;S;D;C;76115AAA7
11/14/2016;11:09:12;11/17/2016;Trade;1000000;100.130;;M;;_;_;-;-;S;D;C;76115AAA7
10/21/2016;10:00:00;10/26/2016;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;76115AAA7
10/21/2016;10:00:00;10/26/2016;Trade;250000;100.300;;M;;_;_;-;-;S;D;C;76115AAA7
9/23/2016;11:55:00;9/26/2016;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;76115AAA7
9/23/2016;11:55:00;9/26/2016;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;76115AAA7
9/23/2016;09:55:45;9/27/2016;Correction;300000;100.275;;M;;_;_;-;-;B;D;C;76115AAA7
9/23/2016;09:55:45;9/28/2016;Cancel;300000;100.275;;M;;_;_;-;-;B;D;C;76115AAA7
9/23/2016;09:55:18;9/27/2016;Correction;1MM+;100.275;;M;;_;_;-;-;B;D;C;76115AAA7
9/23/2016;09:55:18;9/28/2016;Cancel;1MM+;100.275;;M;;_;_;-;-;B;D;C;76115AAA7
9/23/2016;09:50:00;9/27/2016;Trade;1MM+;100.350;;;;_;_;-;-;S;D;D;76115AAA7
9/22/2016;13:25:00;9/27/2016;Trade;1MM+;100.275;;M;;_;_;-;-;B;D;C;76115AAA7
9/22/2016;13:25:00;9/27/2016;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;76115AAA7
9/22/2016;11:57:41;9/27/2016;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;76115AAA7
9/22/2016;11:57:41;9/27/2016;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;76115AAA7
9/20/2016;10:09:15;9/23/2016;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;76115AAA7
9/20/2016;10:09:15;9/23/2016;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;76115AAA7
5/2/2016;15:37:00;5/5/2016;Trade;1MM+;100.050;0;N;;_;_;-;-;S;D;C;76115AAA7
5/2/2016;15:16:00;5/5/2016;Trade;500000;100.050;0;N;;_;_;-;-;B;D;C;76115AAA7
5/2/2016;15:16:00;5/5/2016;Trade;500000;100.200;0;N;;_;_;-;-;S;D;C;76115AAA7
3/8/2016;17:07:00;3/11/2016;Trade;1MM+;100.200;0;N;;_;_;-;-;B;D;C;76115AAA7
3/8/2016;17:07:00;3/11/2016;Trade;1MM+;100.300;0;N;;_;_;-;-;S;D;C;76115AAA7
1/8/2016;11:48:11;1/13/2016;Trade;1MM+;100.700;0;N;;_;_;-;-;S;D;C;76115AAA7
1/8/2016;11:47:53;1/13/2016;Trade;1MM+;100.600;0;N;;_;_;-;-;B;D;C;76115AAA7
11/3/2015;11:18:40;11/6/2015;Trade;520000;101.450;0;N;;_;_;-;-;S;D;C;76115AAA7
11/3/2015;11:18:34;11/6/2015;Trade;520000;101.360;0;N;;_;_;-;-;B;D;C;76115AAA7
5/28/2015;15:29:57;6/2/2015;Trade;850000;101.400;0;N;;_;_;-;-;B;;;76115AAA7
5/28/2015;15:29:08;6/2/2015;Trade;250000;101.500;0;N;;_;_;-;-;S;;;76115AAA7
5/28/2015;15:29:08;6/2/2015;Trade;600000;101.500;0;N;;_;_;-;-;S;;;76115AAA7
4/10/2015;10:05:00;4/15/2015;Trade;1000000;102.350;0;N;;_;_;-;-;S;;;76115AAA7
