Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
9/27/2016;11:48:33;9/30/2016;Trade;1MM+;100.350;;M;;_;_;-;-;B;D;C;76115AAB5
9/27/2016;11:48:33;9/30/2016;Trade;1MM+;100.400;;M;;_;_;-;-;S;D;C;76115AAB5
9/27/2016;11:38:14;9/30/2016;Trade;1000000;100.400;;M;;_;_;-;-;S;D;C;76115AAB5
3/8/2016;17:07:00;3/11/2016;Trade;1MM+;100.700;0;N;;_;_;-;-;B;D;C;76115AAB5
3/8/2016;17:07:00;3/11/2016;Trade;1MM+;100.750;0;N;;_;_;-;-;S;D;C;76115AAB5
3/25/2015;12:45:20;3/30/2015;Trade;1MM+;102.900;0;N;;_;_;-;-;S;;;76115AAB5
3/25/2015;12:45:18;3/30/2015;Trade;1MM+;102.800;0;N;;_;_;-;-;B;;;76115AAB5
2/3/2015;11:04:01;2/6/2015;Trade;830000;103.820;0;N;;_;_;-;-;B;;;76115AAB5
2/3/2015;11:04:01;2/6/2015;Trade;830000;103.920;0;N;;_;_;-;-;S;;;76115AAB5
10/14/2014;13:58:00;10/17/2014;Trade;1MM+;105.300;0;N;;_;_;-;-;B;;;76115AAB5
10/14/2014;13:58:00;10/17/2014;Trade;1MM+;105.300;0;N;;_;_;-;-;S;;;76115AAB5
10/14/2014;13:58:00;10/17/2014;Trade;1MM+;105.200;0;N;;_;_;-;-;B;;;76115AAB5
10/14/2014;13:58:00;10/17/2014;Trade;1MM+;105.200;0;N;;_;_;-;-;S;;;76115AAB5
