Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/6/2018;13:40:47;11/8/2018;Trade;250000;99.920;;M;;_;_;-;-;S;D;C;76117QAC6
11/6/2018;13:39:58;11/8/2018;Trade;250000;99.820;;M;;_;_;-;-;B;D;C;76117QAC6
10/30/2018;08:51:12;11/1/2018;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;76117QAC6
10/30/2018;08:50:35;11/1/2018;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;76117QAC6
10/29/2018;09:49:44;10/31/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;76117QAC6
10/29/2018;09:49:09;10/31/2018;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;76117QAC6
10/29/2018;09:48:34;10/31/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;76117QAC6
10/26/2018;08:41:31;10/30/2018;Trade;750000;100.100;;M;;_;_;-;-;S;D;C;76117QAC6
10/26/2018;08:39:15;10/30/2018;Trade;750000;100.000;;M;;_;_;-;-;B;D;C;76117QAC6
10/25/2018;10:42:19;10/29/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;76117QAC6
10/25/2018;10:41:02;10/29/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;76117QAC6
6/26/2018;10:00:00;6/28/2018;Trade;250000;100.400;;M;;_;_;-;-;B;D;C;76117QAC6
6/26/2018;09:48:00;6/28/2018;Trade;250000;100.500;;M;;_;_;-;-;S;D;C;76117QAC6
3/6/2018;09:12:09;3/8/2018;Trade;250000;99.825;;M;;_;_;-;-;S;D;C;76117QAC6
3/6/2018;09:11:38;3/8/2018;Trade;250000;99.775;;M;;_;_;-;-;B;D;C;76117QAC6
12/13/2017;13:31:58;12/15/2017;Trade;250000;100.150;;M;;_;_;-;-;B;D;C;76117QAC6
12/13/2017;13:30:00;12/15/2017;Trade;250000;100.250;;M;;_;_;-;-;S;D;C;76117QAC6
6/15/2017;10:43:47;6/20/2017;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;76117QAC6
6/15/2017;10:43:47;6/20/2017;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;76117QAC6
6/9/2017;11:34:00;6/14/2017;Trade;250000;100.000;;N;;_;_;-;-;B;D;C;76117QAC6
6/9/2017;11:33:00;6/14/2017;Trade;250000;100.100;;N;;_;_;-;-;S;D;C;76117QAC6
5/18/2017;11:09:06;5/23/2017;Trade;500000;100.000;;M;;_;_;-;-;B;D;C;76117QAC6
5/18/2017;11:09:06;5/23/2017;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;76117QAC6
9/16/2016;09:29:00;9/21/2016;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;76117QAC6
9/16/2016;09:29:00;9/21/2016;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;A;76117QAC6
8/18/2016;16:00:00;8/23/2016;Trade;1MM+;100.100;;M;;Z;_;-;A;S;D;C;76117QAC6
8/18/2016;16:00:00;8/23/2016;Trade;500000;100.000;;M;;Z;_;-;A;B;D;C;76117QAC6
8/18/2016;16:00:00;8/23/2016;Trade;1MM+;100.000;;M;;Z;_;-;A;B;D;C;76117QAC6
7/26/2016;09:50:24;7/29/2016;Trade;500000;99.650;;;;_;_;;;B;D;C;76117QAC6
7/26/2016;09:50:24;7/29/2016;Trade;500000;99.750;;;;_;_;;;S;D;C;76117QAC6
7/19/2016;16:00:00;7/22/2016;Trade;1MM+;99.750;;;;Z;_;;;B;D;C;76117QAC6
7/19/2016;16:00:00;7/22/2016;Trade;1MM+;99.850;;;;Z;_;;;S;D;C;76117QAC6
7/8/2016;11:11:07;7/13/2016;Trade;1MM+;99.650;;N;;_;_;-;-;B;D;C;76117QAC6
7/8/2016;11:11:07;7/13/2016;Trade;1MM+;99.750;;N;;_;_;-;-;S;D;C;76117QAC6
5/31/2016;10:55:57;6/3/2016;Trade;1MM+;99.750;;N;;_;_;-;-;S;D;C;76117QAC6
5/31/2016;10:55:24;6/3/2016;Trade;250000;99.650;;N;;_;_;-;-;B;D;C;76117QAC6
5/31/2016;10:54:53;6/3/2016;Trade;1MM+;99.650;;N;;_;_;-;-;B;D;C;76117QAC6
1/11/2016;11:20:00;1/14/2016;Trade;750000;98.150;0;N;;_;_;-;-;B;D;C;76117QAC6
1/11/2016;11:20:00;1/14/2016;Trade;750000;98.250;0;N;;_;_;-;-;S;D;C;76117QAC6
10/15/2015;12:10:00;10/20/2015;Trade;1MM+;99.000;0;N;;_;_;-;-;S;D;C;76117QAC6
10/15/2015;12:10:00;10/20/2015;Trade;1MM+;98.850;0;N;;_;_;-;-;B;D;C;76117QAC6
8/27/2015;11:38:00;9/1/2015;Trade;1000000;97.550;0;N;;_;_;-;-;S;D;C;76117QAC6
8/27/2015;11:37:57;9/1/2015;Trade;1000000;97.400;0;N;;_;_;-;-;B;D;C;76117QAC6
8/4/2015;10:41:00;8/7/2015;Trade;1000000;96.400;0;N;;_;_;-;-;S;;;76117QAC6
8/4/2015;10:41:00;8/7/2015;Trade;1000000;96.400;0;N;;_;_;-;-;S;;;76117QAC6
8/4/2015;10:25:00;8/7/2015;Trade;1000000;96.250;0;N;;_;_;-;-;B;;;76117QAC6
8/4/2015;10:25:00;8/7/2015;Trade;1000000;96.250;0;N;;_;_;-;-;B;;;76117QAC6
7/13/2015;13:55:05;7/16/2015;Trade;1000000;95.600;0;N;;_;_;-;-;S;D;C;76117QAC6
7/13/2015;13:54:43;7/16/2015;Trade;1000000;95.600;0;N;;_;_;-;-;S;D;C;76117QAC6
