Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/13/2019;13:45:59;12/17/2019;Trade;250000;4.000;;M;;Z;_;-;-;S;D;C;76118DAA8
12/13/2019;13:44:00;12/17/2019;Trade;250000;3.250;;M;;_;_;-;-;B;D;C;76118DAA8
11/22/2019;10:49:00;11/26/2019;Trade;750000;4.000;;M;;_;_;-;-;S;D;C;76118DAA8
11/22/2019;10:49:00;11/26/2019;Trade;750000;3.250;;M;;_;_;-;-;B;D;C;76118DAA8
5/20/2019;09:16:11;5/22/2019;Trade;250000;3.250;;M;;_;_;-;-;S;D;C;76118DAA8
5/20/2019;09:14:18;5/22/2019;Trade;250000;3.160;;M;;_;_;-;-;B;D;C;76118DAA8
4/5/2019;09:00:51;4/9/2019;Trade;750000;1.950;;M;;_;_;-;-;B;D;C;76118DAA8
4/5/2019;08:59:59;4/9/2019;Trade;750000;2.000;;M;;_;_;-;-;S;D;C;76118DAA8
4/25/2017;13:05:00;4/28/2017;Cancel;1MM+;100.100;;M;;_;_;-;-;B;D;C;76118DAA8
4/25/2017;13:05:00;4/28/2017;Cancel;1MM+;100.200;;M;;_;_;-;-;S;D;C;76118DAA8
4/25/2017;13:05:00;4/28/2017;Cancel;1MM+;100.200;;M;;_;_;-;-;S;D;C;76118DAA8
4/25/2017;13:05:00;4/28/2017;Cancel;1MM+;100.100;;M;;_;_;-;-;B;D;C;76118DAA8
3/22/2017;11:01:00;3/27/2017;Trade;1000000;102.250;;M;;_;_;-;-;B;D;C;76118DAA8
3/22/2017;11:01:00;3/27/2017;Trade;1000000;102.350;;M;;_;_;-;-;S;D;C;76118DAA8
3/17/2017;10:14:00;3/22/2017;Trade;1MM+;102.350;;M;;_;_;-;-;B;D;C;76118DAA8
3/17/2017;10:14:00;3/22/2017;Trade;1MM+;102.450;;M;;_;_;-;-;S;D;C;76118DAA8
6/10/2016;09:17:55;6/15/2016;Trade;500000;100.800;;N;;_;_;-;-;S;D;C;76118DAA8
6/10/2016;09:17:32;6/15/2016;Trade;500000;100.700;;N;;_;_;-;-;B;D;C;76118DAA8
2/5/2016;13:31:29;2/10/2016;Trade;1MM+;101.850;0;N;;_;_;-;-;S;D;C;76118DAA8
2/5/2016;13:31:25;2/10/2016;Trade;1MM+;101.750;0;N;;_;_;-;-;B;D;C;76118DAA8
2/5/2016;13:04:00;2/10/2016;Trade;1MM+;101.750;0;N;;_;_;-;-;S;D;D;76118DAA8
10/8/2015;11:00:06;10/14/2015;Trade;1000000;102.400;0;N;;_;_;-;-;S;D;C;76118DAA8
10/8/2015;10:59:48;10/14/2015;Trade;1000000;102.300;0;N;;_;_;-;-;B;D;C;76118DAA8
8/12/2015;11:35:42;8/17/2015;Trade;1MM+;100.100;0;N;;_;_;-;-;S;D;C;76118DAA8
8/12/2015;11:35:36;8/17/2015;Trade;1MM+;100.000;0;N;;_;_;-;-;B;D;C;76118DAA8
7/16/2015;10:24:49;7/21/2015;Trade;1000000;100.200;0;N;;_;_;-;-;B;D;C;76118DAA8
7/16/2015;10:24:45;7/21/2015;Trade;1000000;100.350;0;N;;_;_;-;-;S;D;C;76118DAA8
