Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/15/2019;12:21:10;5/17/2019;Trade;500000;61.000;;M;;Z;_;-;-;S;D;C;76118DAB6
5/15/2019;12:20:28;5/17/2019;Trade;500000;60.500;;M;;Z;_;-;-;B;D;C;76118DAB6
6/11/2018;09:58:03;6/13/2018;Trade;250000;90.050;;M;;_;_;-;-;S;D;C;76118DAB6
6/11/2018;09:57:30;6/13/2018;Trade;250000;90.000;;M;;_;_;-;-;B;D;C;76118DAB6
10/20/2017;11:44:16;10/25/2017;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;76118DAB6
10/20/2017;11:41:05;10/25/2017;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;A;76118DAB6
6/23/2016;10:27:32;6/28/2016;Trade;1MM+;102.600;;N;;_;_;-;-;S;D;C;76118DAB6
6/23/2016;10:27:29;6/28/2016;Trade;1MM+;102.500;;N;;_;_;-;-;B;D;C;76118DAB6
6/9/2016;10:42:47;6/14/2016;Trade;250000;102.000;;N;;_;_;-;-;S;D;C;76118DAB6
6/9/2016;10:42:45;6/14/2016;Trade;250000;101.900;;N;;_;_;-;-;B;D;C;76118DAB6
1/7/2016;10:08:47;1/12/2016;Cancel;1MM+;104.100;0;N;;_;_;-;-;S;;;76118DAB6
1/7/2016;10:08:47;1/12/2016;Cancel;1MM+;104.100;0;N;;_;_;-;-;S;D;C;76118DAB6
1/7/2016;10:08:41;1/12/2016;Cancel;1MM+;104.000;0;N;;_;_;-;-;B;D;C;76118DAB6
1/7/2016;10:08:41;1/12/2016;Cancel;1MM+;104.000;0;N;;_;_;-;-;B;;;76118DAB6
10/21/2015;11:28:31;10/26/2015;Cancel;500000;101.750;0;N;;_;_;-;-;B;D;C;76118DAB6
10/21/2015;11:28:31;10/26/2015;Cancel;500000;101.750;0;N;;_;_;-;-;B;D;C;76118DAB6
10/21/2015;11:28:17;10/26/2015;Trade;500000;101.650;0;N;;_;_;-;-;B;D;C;76118DAB6
10/21/2015;08:02:01;10/26/2015;Trade;500000;101.750;0;N;;Z;_;-;A;S;D;C;76118DAB6
