Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/18/2019;15:54:06;6/20/2019;Trade;400000;97.750;;N;;_;_;-;-;B;D;C;76118DAC4
6/18/2019;15:54:06;6/20/2019;Trade;400000;97.850;;N;;_;_;-;-;S;D;C;76118DAC4
6/18/2019;15:54:06;6/20/2019;Trade;1MM+;97.900;;N;;_;_;-;-;S;D;C;76118DAC4
6/18/2019;15:54:06;6/20/2019;Trade;1MM+;97.800;;N;;_;_;-;-;B;D;C;76118DAC4
6/18/2019;15:54:06;6/20/2019;Trade;170000;97.900;;N;;_;_;-;-;B;D;C;76118DAC4
6/18/2019;15:54:06;6/20/2019;Trade;396000;97.900;;N;;_;_;-;-;B;D;C;76118DAC4
6/18/2019;15:54:06;6/20/2019;Trade;566000;98.000;;N;;_;_;-;-;S;D;C;76118DAC4
12/10/2018;13:44:47;12/12/2018;Trade;400000;99.000;;M;;_;_;-;-;S;D;C;76118DAC4
12/10/2018;13:44:13;12/12/2018;Trade;400000;98.900;;M;;_;_;-;-;B;D;C;76118DAC4
6/5/2018;09:10:28;6/7/2018;Trade;250000;100.375;;M;;_;_;-;-;S;D;C;76118DAC4
6/5/2018;09:09:53;6/7/2018;Trade;250000;100.325;;M;;_;_;-;-;B;D;C;76118DAC4
5/22/2018;12:20:28;5/24/2018;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;76118DAC4
5/22/2018;12:19:26;5/24/2018;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;76118DAC4
3/29/2018;10:19:00;4/3/2018;Trade;850000;100.700;;M;;_;_;-;-;B;D;C;76118DAC4
3/29/2018;10:19:00;4/3/2018;Trade;850000;100.800;;M;;_;_;-;-;S;D;C;76118DAC4
3/28/2018;10:41:15;3/29/2018;Correction;400000;99.445;;M;;_;_;-;-;S;D;C;76118DAC4
3/28/2018;10:41:15;4/2/2018;Cancel;400000;99.445;;M;;_;_;-;-;S;D;C;76118DAC4
3/28/2018;10:40:13;3/29/2018;Correction;400000;99.395;;M;;_;_;-;-;B;D;C;76118DAC4
3/28/2018;10:40:13;4/2/2018;Cancel;400000;99.395;;M;;_;_;-;-;B;D;C;76118DAC4
6/22/2017;09:24:03;6/27/2017;Trade;500000;102.550;;M;;_;_;-;-;S;D;C;76118DAC4
6/22/2017;09:20:11;6/27/2017;Trade;500000;102.450;;M;;_;_;-;-;B;D;C;76118DAC4
5/3/2017;11:39:27;5/8/2017;Trade;1MM+;102.300;;M;;_;_;-;-;B;D;C;76118DAC4
5/3/2017;11:39:19;5/8/2017;Trade;1MM+;102.400;;M;;_;_;-;-;S;D;C;76118DAC4
9/7/2016;11:49:31;9/12/2016;Trade;1MM+;102.400;;M;;Z;_;-;-;B;D;C;76118DAC4
9/7/2016;11:49:31;9/12/2016;Trade;1MM+;102.500;;M;;Z;_;-;-;S;D;C;76118DAC4
9/7/2016;11:49:31;9/12/2016;Trade;1MM+;102.500;;M;;Z;_;-;-;S;D;C;76118DAC4
9/7/2016;11:49:31;9/12/2016;Trade;500000;102.500;;M;;Z;_;-;-;S;D;C;76118DAC4
