Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
10/2/2019;11:04:45;10/4/2019;Trade;600000;88.500;;M;;Z;_;-;A;S;D;C;76118XAB2
5/15/2019;12:25:39;5/17/2019;Trade;812000;59.000;;M;;_;_;-;-;S;D;C;76118XAB2
5/15/2019;12:25:07;5/17/2019;Trade;812000;58.500;;M;;_;_;-;-;B;D;C;76118XAB2
3/29/2019;13:55:00;4/2/2019;Trade;1MM+;61.000;;M;;_;_;-;-;S;D;C;76118XAB2
3/29/2019;13:53:20;4/2/2019;Trade;1MM+;60.500;;M;;_;_;-;-;B;D;C;76118XAB2
3/6/2019;14:39:32;3/8/2019;Trade;1MM+;61.000;;M;;Z;_;-;-;S;D;C;76118XAB2
3/6/2019;14:35:08;3/8/2019;Trade;1MM+;60.500;;M;;Z;_;-;-;B;D;C;76118XAB2
8/6/2018;10:15:47;8/8/2018;Trade;700000;96.895;;M;;_;_;-;-;S;D;C;76118XAB2
8/6/2018;10:15:10;8/8/2018;Trade;700000;96.845;;M;;_;_;-;-;B;D;C;76118XAB2
7/6/2018;09:19:36;7/10/2018;Trade;250000;96.025;;M;;_;_;-;-;S;D;C;76118XAB2
7/6/2018;09:19:21;7/10/2018;Trade;250000;95.975;;M;;_;_;-;-;B;D;C;76118XAB2
6/27/2018;08:51:33;6/29/2018;Trade;400000;99.500;;M;;_;_;-;-;S;D;C;76118XAB2
6/27/2018;08:49:53;6/29/2018;Trade;400000;99.400;;M;;_;_;-;-;B;D;C;76118XAB2
6/5/2018;09:04:36;6/7/2018;Trade;250000;90.550;;M;;_;_;-;-;S;D;C;76118XAB2
6/5/2018;09:04:00;6/7/2018;Trade;250000;90.500;;M;;_;_;-;-;B;D;C;76118XAB2
1/8/2018;13:26:24;1/10/2018;Trade;1MM+;92.250;;M;;_;_;-;-;S;D;C;76118XAB2
1/8/2018;13:24:05;1/10/2018;Trade;1MM+;92.000;;M;;_;_;-;-;B;D;C;76118XAB2
1/8/2018;10:20:17;1/10/2018;Trade;1000000;91.250;;M;;_;_;-;-;S;D;C;76118XAB2
1/8/2018;10:18:30;1/10/2018;Trade;500000;90.850;;M;;_;_;-;-;B;D;C;76118XAB2
1/8/2018;10:17:35;1/10/2018;Trade;500000;90.850;;M;;_;_;-;-;B;D;C;76118XAB2
12/1/2017;09:00:22;12/5/2017;Trade;250000;91.500;;M;;_;_;-;-;S;D;C;76118XAB2
12/1/2017;08:59:47;12/5/2017;Trade;250000;91.000;;M;;_;_;-;-;B;D;C;76118XAB2
11/21/2017;10:45:00;11/24/2017;Trade;813000;80.500;;M;;_;_;-;-;S;D;C;76118XAB2
11/21/2017;10:09:15;11/24/2017;Trade;813000;79.500;;M;;_;_;-;-;B;D;C;76118XAB2
10/17/2017;10:41:33;10/19/2017;Trade;1MM+;98.350;;M;;Z;_;-;-;S;D;C;76118XAB2
10/17/2017;10:40:45;10/19/2017;Trade;1MM+;98.100;;M;;Z;_;-;-;B;D;C;76118XAB2
10/17/2017;09:57:56;10/19/2017;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;76118XAB2
10/17/2017;09:54:53;10/19/2017;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;76118XAB2
10/11/2017;11:42:37;10/13/2017;Trade;1MM+;98.350;;M;;_;_;-;-;S;D;C;76118XAB2
10/11/2017;11:41:51;10/13/2017;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;76118XAB2
