Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/8/2019;09:29:59;7/10/2019;Trade;500000;98.200;;M;;_;_;-;-;S;D;C;76118XAC0
7/8/2019;09:28:41;7/10/2019;Trade;500000;98.100;;M;;_;_;-;-;B;D;C;76118XAC0
5/30/2019;09:46:35;6/3/2019;Trade;1MM+;97.200;;M;;_;_;-;-;B;D;C;76118XAC0
5/30/2019;09:32:57;6/3/2019;Correction;1MM+;97.300;;M;;_;_;-;-;S;D;C;76118XAC0
5/30/2019;09:32:57;6/3/2019;Cancel;1MM+;97.200;;M;;_;_;-;-;S;D;C;76118XAC0
5/28/2019;11:00:00;5/30/2019;Trade;1MM+;97.300;;M;;_;_;-;-;S;D;C;76118XAC0
5/28/2019;10:59:10;5/30/2019;Cancel;1MM+;97.300;;M;;_;_;-;-;S;D;C;76118XAC0
5/28/2019;10:59:10;5/30/2019;Cancel;1MM+;97.300;;M;;_;_;-;-;S;D;C;76118XAC0
5/28/2019;10:17:45;5/30/2019;Trade;1MM+;97.200;;M;;_;_;-;-;B;D;C;76118XAC0
5/2/2019;11:38:43;5/6/2019;Trade;281000;97.350;;M;;_;_;-;-;S;D;C;76118XAC0
5/2/2019;11:33:47;5/6/2019;Trade;281000;97.250;;M;;_;_;-;-;B;D;C;76118XAC0
4/17/2019;11:35:01;4/22/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;76118XAC0
4/17/2019;10:26:01;4/22/2019;Cancel;1MM+;98.000;;M;;_;_;-;-;S;D;C;76118XAC0
4/17/2019;10:26:01;4/22/2019;Cancel;1MM+;98.000;;M;;_;_;-;-;S;D;C;76118XAC0
4/17/2019;09:25:54;4/22/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;76118XAC0
4/1/2019;10:39:01;4/3/2019;Trade;375000;97.900;;M;;_;_;-;-;B;D;C;76118XAC0
4/1/2019;10:39:00;4/3/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;76118XAC0
4/1/2019;10:38:02;4/3/2019;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;76118XAC0
11/28/2018;10:36:58;11/30/2018;Trade;281000;98.900;;M;;_;_;-;-;S;D;C;76118XAC0
11/28/2018;10:36:24;11/30/2018;Trade;281000;98.800;;M;;_;_;-;-;B;D;C;76118XAC0
6/27/2018;13:12:37;6/29/2018;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;76118XAC0
6/27/2018;13:11:59;6/29/2018;Trade;1MM+;99.810;;M;;_;_;-;-;B;D;C;76118XAC0
6/26/2018;12:13:11;6/28/2018;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;76118XAC0
6/26/2018;12:12:11;6/28/2018;Trade;1000000;100.000;;;;_;_;-;-;S;D;D;76118XAC0
4/4/2018;11:20:00;4/6/2018;Cancel;900000;99.450;;N;;_;_;-;-;B;D;C;76118XAC0
4/4/2018;11:20:00;4/6/2018;Cancel;900000;99.450;;N;;_;_;-;-;B;D;C;76118XAC0
4/4/2018;11:20:00;4/6/2018;Cancel;650000;99.550;;N;;_;_;-;-;S;D;C;76118XAC0
4/4/2018;11:20:00;4/6/2018;Cancel;250000;99.550;;N;;_;_;-;-;S;D;C;76118XAC0
4/4/2018;11:20:00;4/6/2018;Cancel;650000;99.550;;N;;_;_;-;-;S;D;C;76118XAC0
4/4/2018;11:20:00;4/6/2018;Cancel;250000;99.550;;N;;_;_;-;-;S;D;C;76118XAC0
4/4/2018;10:56:00;4/6/2018;Cancel;900000;99.450;;N;;Z;_;-;-;S;D;C;76118XAC0
4/4/2018;10:56:00;4/6/2018;Cancel;900000;99.450;;N;;Z;_;-;-;S;D;C;76118XAC0
3/20/2018;12:13:24;3/22/2018;Trade;1000000;99.600;;M;;_;_;-;-;S;D;C;76118XAC0
3/20/2018;12:13:05;3/22/2018;Trade;1000000;99.500;;M;;_;_;-;-;B;D;C;76118XAC0
3/6/2018;09:14:43;3/8/2018;Trade;250000;98.455;;M;;_;_;-;-;S;D;C;76118XAC0
3/6/2018;09:13:50;3/8/2018;Trade;250000;98.405;;M;;_;_;-;-;B;D;C;76118XAC0
11/20/2017;18:03:47;11/22/2017;Trade;563000;97.000;;M;;T;_;-;-;S;D;C;76118XAC0
11/20/2017;18:02:49;11/22/2017;Trade;563000;96.500;;M;;T;_;-;-;B;D;C;76118XAC0
10/26/2017;13:10:38;10/30/2017;Cancel;1MM+;100.100;;M;;_;_;-;-;S;D;A;76118XAC0
10/26/2017;13:10:38;10/30/2017;Cancel;1MM+;100.100;;M;;Z;_;-;-;S;D;A;76118XAC0
10/26/2017;13:10:38;10/30/2017;Cancel;1MM+;100.100;;M;;Z;_;-;-;S;D;A;76118XAC0
10/26/2017;13:05:00;10/30/2017;Correction;1MM+;100.000;;M;;Z;_;-;-;B;D;C;76118XAC0
10/26/2017;13:05:00;10/30/2017;Cancel;1MM+;100.000;;M;;_;_;-;-;B;D;C;76118XAC0
10/26/2017;12:05:00;10/30/2017;Trade;1MM+;100.100;;M;;Z;_;-;A;S;D;A;76118XAC0
10/17/2017;11:03:27;10/19/2017;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;76118XAC0
10/17/2017;11:02:42;10/19/2017;Trade;1MM+;99.550;;M;;_;_;-;-;B;D;C;76118XAC0
10/11/2017;10:15:11;10/13/2017;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;76118XAC0
10/11/2017;10:14:40;10/13/2017;Trade;1MM+;99.550;;M;;_;_;-;-;B;D;C;76118XAC0
8/14/2017;09:18:34;8/17/2017;Trade;1MM+;100.245;;M;;_;_;-;-;S;D;C;76118XAC0
8/14/2017;09:17:57;8/17/2017;Trade;1MM+;100.195;;M;;_;_;-;-;B;D;C;76118XAC0
