Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/1/2020;12:30:03;7/6/2020;Trade;1000000;95.800;;M;;_;_;-;-;S;D;C;76118XAF3
7/1/2020;12:29:28;7/6/2020;Trade;1000000;95.700;;M;;_;_;-;-;B;D;C;76118XAF3
3/25/2020;12:34:32;3/27/2020;Trade;725000;94.830;;M;;_;_;-;-;S;D;C;76118XAF3
3/25/2020;12:33:02;3/27/2020;Trade;250000;94.850;;M;;_;_;-;-;S;D;C;76118XAF3
3/25/2020;12:31:58;3/27/2020;Trade;975000;94.760;;M;;_;_;-;-;B;D;C;76118XAF3
3/24/2020;12:40:14;3/26/2020;Trade;900000;94.850;;M;;_;_;-;-;S;D;C;76118XAF3
3/24/2020;12:33:52;3/26/2020;Trade;900000;94.750;;M;;_;_;-;-;B;D;C;76118XAF3
3/19/2020;17:28:00;3/23/2020;Trade;1MM+;94.050;;M;;T;_;-;-;B;D;C;76118XAF3
3/19/2020;17:28:00;3/23/2020;Trade;1MM+;94.150;;M;;T;_;-;-;S;D;C;76118XAF3
10/22/2019;09:48:39;10/24/2019;Trade;500000;98.700;;M;;_;_;-;-;B;D;C;76118XAF3
10/22/2019;09:45:52;10/24/2019;Trade;500000;98.750;;M;;_;_;-;-;S;D;C;76118XAF3
10/10/2019;14:31:12;10/15/2019;Trade;750000;98.600;;M;;_;_;-;-;S;D;C;76118XAF3
10/10/2019;14:28:51;10/15/2019;Trade;750000;98.500;;M;;_;_;-;-;B;D;C;76118XAF3
10/10/2019;08:22:22;10/15/2019;Trade;1000000;99.200;;M;;_;_;-;-;S;D;C;76118XAF3
10/10/2019;08:21:42;10/15/2019;Trade;1000000;99.100;;M;;_;_;-;-;B;D;C;76118XAF3
6/17/2019;15:33:19;6/19/2019;Trade;1000000;96.850;;N;;_;_;-;-;S;D;C;76118XAF3
6/17/2019;15:33:19;6/19/2019;Trade;750000;96.850;;N;;_;_;-;-;S;D;C;76118XAF3
6/17/2019;15:33:19;6/19/2019;Trade;1MM+;96.750;;N;;_;_;-;-;B;D;C;76118XAF3
5/28/2019;08:59:56;5/30/2019;Trade;1MM+;96.600;;M;;_;_;-;-;S;D;C;76118XAF3
5/28/2019;08:59:11;5/30/2019;Trade;1MM+;96.500;;M;;_;_;-;-;B;D;C;76118XAF3
5/7/2019;09:58:38;5/9/2019;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;76118XAF3
5/7/2019;09:57:23;5/9/2019;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;76118XAF3
5/3/2019;12:28:26;5/7/2019;Trade;250000;97.100;;M;;_;_;-;-;S;D;C;76118XAF3
5/3/2019;12:27:40;5/7/2019;Trade;250000;97.000;;M;;_;_;-;-;B;D;C;76118XAF3
3/28/2019;11:17:01;4/1/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;76118XAF3
3/28/2019;10:51:00;4/1/2019;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;76118XAF3
3/28/2019;10:50:16;4/1/2019;Cancel;1MM+;97.900;;M;;_;_;-;-;B;D;C;76118XAF3
3/28/2019;10:50:16;4/1/2019;Cancel;1MM+;97.900;;M;;_;_;-;-;B;D;C;76118XAF3
3/28/2019;10:50:00;4/1/2019;Trade;1MM+;97.900;;;;_;_;-;-;S;D;D;76118XAF3
