Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/9/2020;11:25:32;6/11/2020;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;76120FAB7
6/9/2020;11:25:04;6/11/2020;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;76120FAB7
6/8/2020;10:33:16;6/10/2020;Trade;1MM+;97.400;;M;;_;_;-;-;S;D;C;76120FAB7
6/8/2020;10:32:40;6/10/2020;Trade;1MM+;97.300;;M;;_;_;-;-;B;D;C;76120FAB7
5/11/2020;13:38:34;5/13/2020;Trade;750000;97.700;;M;;_;_;-;-;S;D;C;76120FAB7
5/11/2020;13:37:48;5/13/2020;Trade;1MM+;97.690;;M;;_;_;-;-;S;D;C;76120FAB7
5/11/2020;13:37:13;5/13/2020;Trade;1MM+;97.620;;M;;_;_;-;-;B;D;C;76120FAB7
5/11/2020;11:08:42;5/13/2020;Trade;250000;97.700;;M;;_;_;-;-;S;D;C;76120FAB7
5/11/2020;10:45:11;5/13/2020;Trade;250000;97.600;;M;;_;_;-;-;B;D;C;76120FAB7
5/23/2019;08:09:37;5/28/2019;Trade;250000;99.500;;M;;_;_;-;-;S;D;C;76120FAB7
5/23/2019;08:09:05;5/28/2019;Trade;250000;99.400;;M;;_;_;-;-;B;D;C;76120FAB7
