Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/30/2019;10:07:31;6/3/2019;Trade;250000;0.100;;M;;_;_;-;-;S;D;C;76118GAA1
5/30/2019;10:05:29;6/3/2019;Trade;250000;0.098;;M;;_;_;-;-;B;D;C;76118GAA1
4/12/2019;13:03:36;4/16/2019;Trade;1000000;0.200;;M;;_;_;-;-;S;D;C;76118GAA1
4/12/2019;13:02:50;4/16/2019;Trade;750000;0.100;;M;;_;_;-;-;B;D;C;76118GAA1
4/12/2019;13:02:10;4/16/2019;Trade;250000;0.100;;M;;_;_;-;-;B;D;C;76118GAA1
6/14/2017;11:44:26;6/19/2017;Trade;250000;101.700;;M;;_;_;-;-;B;D;C;76118GAA1
6/14/2017;11:44:26;6/19/2017;Trade;250000;101.800;;M;;_;_;-;-;S;D;C;76118GAA1
2/22/2017;10:13:18;2/27/2017;Trade;1MM+;101.900;;M;;_;_;-;-;B;D;C;76118GAA1
2/22/2017;10:13:10;2/27/2017;Trade;1MM+;102.000;;M;;_;_;-;-;S;D;C;76118GAA1
2/22/2017;10:12:59;2/27/2017;Trade;1MM+;102.000;;M;;_;_;-;-;S;D;C;76118GAA1
2/14/2017;12:23:00;2/17/2017;Trade;1MM+;101.900;;M;;_;_;-;-;B;D;C;76118GAA1
2/14/2017;12:23:00;2/17/2017;Trade;1MM+;102.000;;M;;_;_;-;-;S;D;C;76118GAA1
