Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/27/2020;15:33:12;4/29/2020;Trade;1000000;98.750;;M;;_;_;-;-;B;D;C;76118GAC7
4/27/2020;15:33:12;4/29/2020;Trade;1000000;98.850;;M;;_;_;-;-;S;D;C;76118GAC7
3/24/2020;11:49:33;3/26/2020;Trade;950000;98.500;;M;;_;_;-;-;S;D;C;76118GAC7
3/24/2020;11:48:40;3/26/2020;Trade;950000;98.400;;M;;_;_;-;-;B;D;C;76118GAC7
8/8/2019;10:07:45;8/12/2019;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;76118GAC7
8/8/2019;10:06:57;8/12/2019;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;76118GAC7
6/3/2019;11:12:11;6/5/2019;Trade;1MM+;98.900;;M;;_;_;-;-;S;D;C;76118GAC7
6/3/2019;10:46:02;6/5/2019;Trade;1MM+;98.800;;M;;_;_;-;-;B;D;C;76118GAC7
3/6/2019;12:42:43;3/8/2019;Trade;1000000;98.950;;M;;_;_;-;-;B;D;C;76118GAC7
3/6/2019;12:42:43;3/8/2019;Trade;1000000;99.050;;M;;_;_;-;-;S;D;C;76118GAC7
12/10/2018;13:09:02;12/12/2018;Trade;500000;98.900;;M;;_;_;-;-;S;D;C;76118GAC7
12/10/2018;13:07:46;12/12/2018;Trade;500000;98.800;;M;;_;_;-;-;B;D;C;76118GAC7
8/30/2018;12:34:11;9/4/2018;Trade;450000;101.500;;M;;_;_;-;-;S;D;C;76118GAC7
8/30/2018;12:33:44;9/4/2018;Trade;450000;101.450;;M;;_;_;-;-;B;D;C;76118GAC7
6/5/2018;09:06:39;6/7/2018;Trade;250000;100.565;;M;;_;_;-;-;S;D;C;76118GAC7
6/5/2018;09:06:08;6/7/2018;Trade;250000;100.515;;M;;_;_;-;-;B;D;C;76118GAC7
5/16/2018;11:50:35;5/18/2018;Cancel;250000;100.675;;M;;_;_;-;-;S;D;C;76118GAC7
5/16/2018;11:50:35;5/18/2018;Cancel;250000;100.675;;M;;_;_;-;-;S;D;C;76118GAC7
5/16/2018;11:49:57;5/18/2018;Cancel;250000;100.625;;M;;_;_;-;-;B;D;C;76118GAC7
5/16/2018;11:49:57;5/18/2018;Cancel;250000;100.625;;M;;_;_;-;-;B;D;C;76118GAC7
5/16/2018;11:48:54;5/18/2018;Trade;500000;100.135;;M;;_;_;-;-;S;D;C;76118GAC7
5/16/2018;11:48:27;5/18/2018;Trade;500000;100.085;;M;;_;_;-;-;B;D;C;76118GAC7
3/20/2018;12:44:15;3/22/2018;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;76118GAC7
3/20/2018;12:44:11;3/22/2018;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;76118GAC7
3/20/2018;12:43:58;3/22/2018;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;76118GAC7
10/27/2017;07:15:32;10/31/2017;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;76118GAC7
10/27/2017;07:14:38;10/31/2017;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;76118GAC7
10/26/2017;13:10:38;10/30/2017;Cancel;1MM+;100.050;;M;;Z;_;-;-;S;D;A;76118GAC7
10/26/2017;13:10:38;10/30/2017;Cancel;1MM+;100.050;;M;;_;_;-;-;S;D;A;76118GAC7
10/26/2017;13:10:38;10/30/2017;Cancel;1MM+;100.050;;M;;Z;_;-;-;S;D;A;76118GAC7
10/26/2017;13:05:00;10/30/2017;Correction;1MM+;100.000;;M;;Z;_;-;-;B;D;C;76118GAC7
10/26/2017;13:05:00;10/30/2017;Cancel;1MM+;100.000;;M;;_;_;-;-;B;D;C;76118GAC7
10/26/2017;12:05:00;10/30/2017;Trade;1MM+;100.050;;M;;Z;_;-;A;S;D;A;76118GAC7
5/11/2017;11:49:16;5/16/2017;Trade;1000000;99.850;;M;;_;_;-;-;B;D;C;76118GAC7
5/11/2017;11:49:14;5/16/2017;Trade;1000000;99.950;;M;;_;_;-;-;S;D;C;76118GAC7
4/13/2017;10:52:22;4/19/2017;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;76118GAC7
4/13/2017;10:52:20;4/19/2017;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;76118GAC7
4/13/2017;10:20:00;4/19/2017;Trade;1MM+;100.700;;;;_;_;-;-;S;D;D;76118GAC7
12/6/2016;09:06:38;12/9/2016;Trade;1MM+;101.600;;M;;_;_;-;-;S;D;C;76118GAC7
12/6/2016;09:06:36;12/9/2016;Trade;1MM+;101.500;;M;;_;_;-;-;B;D;C;76118GAC7
7/8/2016;10:52:41;7/13/2016;Trade;1000000;100.250;;N;;_;_;-;-;S;D;C;76118GAC7
7/8/2016;10:52:41;7/13/2016;Trade;1000000;100.150;;N;;_;_;-;-;B;D;C;76118GAC7
7/6/2016;09:57:00;7/11/2016;Trade;1MM+;100.150;;N;;_;_;-;-;B;D;C;76118GAC7
7/6/2016;09:57:00;7/11/2016;Correction;1MM+;100.250;;N;;_;_;-;-;S;D;C;76118GAC7
7/6/2016;09:57:00;7/11/2016;Cancel;1MM+;101.250;;N;;_;_;-;-;S;D;C;76118GAC7
