Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/15/2020;12:23:42;5/19/2020;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;76118GAE3
5/15/2020;12:22:31;5/19/2020;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;76118GAE3
4/22/2020;15:08:20;4/24/2020;Trade;1MM+;96.900;;M;;_;_;-;-;S;D;C;76118GAE3
4/22/2020;15:08:20;4/24/2020;Trade;1MM+;96.800;;M;;_;_;-;-;B;D;C;76118GAE3
3/11/2020;13:15:23;3/13/2020;Trade;1MM+;98.750;;M;;_;_;-;-;B;D;C;76118GAE3
3/11/2020;13:13:11;3/13/2020;Trade;1MM+;98.850;;M;;_;_;-;-;S;D;C;76118GAE3
3/9/2020;14:20:04;3/11/2020;Trade;1MM+;98.400;;M;;_;_;-;-;S;D;C;76118GAE3
3/9/2020;14:19:27;3/11/2020;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;76118GAE3
2/28/2020;09:29:00;3/3/2020;Correction;250000;98.500;;M;;Z;_;-;-;S;D;C;76118GAE3
2/28/2020;09:29:00;3/3/2020;Cancel;250000;99.500;;M;;_;_;-;-;S;D;C;76118GAE3
2/28/2020;08:55:14;3/3/2020;Trade;250000;98.400;;M;;_;_;-;-;B;D;C;76118GAE3
11/8/2019;11:10:36;11/15/2019;Trade;500000;99.400;;M;;_;_;-;-;S;D;C;76118GAE3
11/8/2019;11:07:05;11/13/2019;Trade;500000;99.300;;M;;_;_;-;-;B;D;C;76118GAE3
9/19/2019;10:25:13;9/23/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;76118GAE3
9/19/2019;10:11:00;9/23/2019;Trade;1MM+;98.900;;M;;Z;_;-;A;B;D;C;76118GAE3
9/16/2019;11:24:23;9/18/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;76118GAE3
9/16/2019;11:22:57;9/18/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;76118GAE3
3/21/2019;17:45:37;3/22/2019;Trade;750000;97.700;;M;;Z;_;-;A;S;D;C;76118GAE3
3/21/2019;14:45:37;3/22/2019;Cancel;750000;97.700;;M;;_;_;-;-;S;D;C;76118GAE3
3/21/2019;14:45:37;3/22/2019;Cancel;750000;97.700;;M;;_;_;-;-;S;D;C;76118GAE3
3/21/2019;14:44:50;3/22/2019;Trade;750000;97.600;;M;;_;_;-;-;B;D;C;76118GAE3
3/21/2019;14:44:15;3/22/2019;Cancel;750000;97.600;;M;;_;_;-;-;S;D;C;76118GAE3
3/21/2019;14:44:15;3/22/2019;Cancel;750000;97.600;;M;;_;_;-;-;S;D;C;76118GAE3
3/21/2019;14:43:09;3/25/2019;Cancel;750000;97.600;;M;;_;_;-;-;B;D;C;76118GAE3
3/21/2019;14:43:09;3/25/2019;Cancel;750000;97.600;;M;;_;_;-;-;B;D;C;76118GAE3
12/18/2018;10:00:13;12/20/2018;Trade;250000;97.000;;M;;_;_;-;-;S;D;C;76118GAE3
12/18/2018;09:59:34;12/20/2018;Trade;250000;96.900;;M;;_;_;-;-;B;D;C;76118GAE3
11/8/2018;10:12:52;11/13/2018;Trade;750000;100.100;;M;;_;_;-;-;B;D;C;76118GAE3
11/8/2018;10:11:38;11/13/2018;Correction;250000;100.200;;M;;Z;_;-;-;S;D;C;76118GAE3
11/8/2018;10:11:38;11/13/2018;Trade;500000;100.200;;M;;Z;_;-;-;S;D;C;76118GAE3
11/8/2018;10:11:38;11/13/2018;Cancel;750000;100.200;;M;;_;_;-;-;S;D;C;76118GAE3
8/6/2018;10:17:50;8/8/2018;Trade;350000;99.855;;M;;_;_;-;-;S;D;C;76118GAE3
8/6/2018;10:16:54;8/8/2018;Trade;350000;99.805;;M;;_;_;-;-;B;D;C;76118GAE3
6/1/2018;08:56:14;6/5/2018;Trade;1MM+;99.550;;M;;_;_;-;-;S;D;C;76118GAE3
6/1/2018;08:55:34;6/5/2018;Trade;1MM+;99.450;;M;;_;_;-;-;B;D;C;76118GAE3
6/1/2018;08:27:43;6/5/2018;Trade;750000;99.460;;M;;_;_;-;-;B;D;C;76118GAE3
6/1/2018;08:27:10;6/5/2018;Trade;750000;99.550;;M;;_;_;-;-;S;D;C;76118GAE3
5/31/2018;09:42:18;6/4/2018;Trade;550000;99.550;;M;;_;_;-;-;S;D;C;76118GAE3
5/31/2018;09:41:32;6/4/2018;Trade;550000;99.460;;M;;_;_;-;-;B;D;C;76118GAE3
4/17/2018;10:41:34;4/19/2018;Trade;250000;99.445;;M;;_;_;-;-;S;D;C;76118GAE3
4/17/2018;10:40:51;4/19/2018;Trade;250000;99.395;;M;;_;_;-;-;B;D;C;76118GAE3
8/4/2017;08:53:00;8/9/2017;Trade;300000;100.300;;M;;_;_;-;-;S;D;C;76118GAE3
8/4/2017;08:53:00;8/9/2017;Trade;300000;100.200;;M;;_;_;-;-;B;D;C;76118GAE3
3/2/2017;11:25:00;3/7/2017;Trade;750000;100.750;;M;;_;_;-;-;S;D;C;76118GAE3
3/2/2017;11:25:00;3/7/2017;Trade;750000;100.650;;M;;_;_;-;-;B;D;C;76118GAE3
1/20/2017;11:12:12;1/25/2017;Trade;1000000;100.350;;M;;_;_;-;-;S;D;C;76118GAE3
1/20/2017;10:03:00;1/25/2017;Trade;1000000;100.250;;;;_;_;-;-;S;D;D;76118GAE3
