Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/29/2020;12:43:20;7/1/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;76870YAB8
6/29/2020;12:41:44;7/1/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;76870YAB8
6/25/2020;14:15:02;6/29/2020;Trade;750000;98.500;;M;;_;_;-;-;S;D;C;76870YAB8
6/25/2020;12:54:07;6/29/2020;Cancel;1MM+;98.400;;M;;Z;_;-;-;B;D;C;76870YAB8
6/25/2020;12:54:07;6/29/2020;Cancel;1MM+;98.400;;M;;Z;_;-;-;B;D;C;76870YAB8
6/25/2020;12:54:07;6/29/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;76870YAB8
6/25/2020;12:46:39;6/29/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;76870YAB8
5/7/2020;10:52:57;5/11/2020;Trade;500000;97.750;;M;;_;_;-;-;B;D;C;76870YAB8
5/7/2020;10:46:00;5/11/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;76870YAB8
5/7/2020;10:44:55;5/11/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;76870YAB8
2/14/2020;11:48:33;2/19/2020;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;76870YAB8
2/14/2020;11:43:45;2/19/2020;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;76870YAB8
2/12/2020;09:09:05;2/14/2020;Trade;1000000;98.850;;M;;_;_;-;-;S;D;C;76870YAB8
2/12/2020;09:09:01;2/14/2020;Trade;1000000;98.750;;M;;_;_;-;-;B;D;C;76870YAB8
2/11/2020;09:11:54;2/13/2020;Trade;1000000;98.850;;M;;_;_;-;-;S;D;C;76870YAB8
2/11/2020;09:11:51;2/13/2020;Trade;1000000;98.750;;M;;Z;_;-;-;B;D;C;76870YAB8
11/12/2019;11:04:16;11/14/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;76870YAB8
11/12/2019;11:03:35;11/14/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;76870YAB8
11/5/2019;15:27:51;11/7/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;76870YAB8
11/5/2019;15:27:32;11/7/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;76870YAB8
5/14/2019;10:47:20;5/16/2019;Trade;837000;96.500;;M;;_;_;-;-;S;D;C;76870YAB8
5/14/2019;10:46:35;5/16/2019;Trade;837000;96.400;;M;;_;_;-;-;B;D;C;76870YAB8
5/10/2019;10:22:07;5/14/2019;Trade;450000;96.500;;M;;_;_;-;-;S;D;C;76870YAB8
5/10/2019;10:21:23;5/14/2019;Trade;450000;96.400;;M;;_;_;-;-;B;D;C;76870YAB8
5/1/2019;12:28:34;5/3/2019;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;76870YAB8
