Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/16/2020;14:00:03;7/20/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;76870YAC6
7/16/2020;13:56:15;7/20/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;76870YAC6
4/22/2020;11:01:26;4/24/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;76870YAC6
4/22/2020;11:01:26;4/24/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;76870YAC6
4/21/2020;10:10:14;4/23/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;76870YAC6
4/21/2020;10:10:14;4/23/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;76870YAC6
2/14/2020;11:55:06;2/19/2020;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;76870YAC6
2/14/2020;11:39:45;2/19/2020;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;76870YAC6
12/10/2019;11:00:04;12/12/2019;Trade;1000000;99.150;;M;;_;_;-;-;B;;;76870YAC6
12/10/2019;10:50:24;12/12/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;76870YAC6
12/10/2019;10:46:22;12/12/2019;Trade;350000;99.150;;M;;_;_;-;-;B;D;C;76870YAC6
7/22/2019;10:23:56;7/24/2019;Trade;700000;96.350;;M;;_;_;-;-;S;D;C;76870YAC6
7/22/2019;10:23:13;7/24/2019;Trade;700000;96.250;;M;;_;_;-;-;B;D;C;76870YAC6
6/11/2019;13:11:45;6/13/2019;Trade;250000;96.250;;M;;_;_;-;-;S;D;C;76870YAC6
6/11/2019;13:10:44;6/13/2019;Trade;250000;96.150;;M;;_;_;-;-;B;D;C;76870YAC6
5/15/2019;10:16:38;5/17/2019;Trade;460000;96.250;;M;;_;_;-;-;S;D;C;76870YAC6
5/15/2019;10:15:06;5/17/2019;Trade;460000;96.150;;M;;_;_;-;-;B;D;C;76870YAC6
5/14/2019;10:52:05;5/16/2019;Trade;765000;96.250;;M;;_;_;-;-;S;D;C;76870YAC6
5/14/2019;10:50:50;5/16/2019;Trade;765000;96.150;;M;;_;_;-;-;B;D;C;76870YAC6
5/1/2019;12:31:37;5/3/2019;Trade;347000;96.250;;M;;_;_;-;-;S;D;C;76870YAC6
5/1/2019;12:30:55;5/3/2019;Trade;347000;96.150;;M;;_;_;-;-;B;D;C;76870YAC6
4/3/2019;09:32:33;4/5/2019;Trade;500000;97.000;;M;;_;_;-;-;B;D;C;76870YAC6
4/3/2019;09:32:03;4/5/2019;Trade;500000;97.100;;M;;_;_;-;-;S;D;C;76870YAC6
1/3/2019;15:57:10;1/7/2019;Trade;250000;99.450;;M;;_;_;-;-;S;D;C;76870YAC6
1/3/2019;15:56:51;1/7/2019;Trade;250000;99.350;;M;;_;_;-;-;B;D;C;76870YAC6
8/15/2018;09:55:13;8/17/2018;Trade;1MM+;97.900;;M;;_;_;-;-;S;D;C;76870YAC6
8/15/2018;09:54:36;8/17/2018;Trade;1MM+;97.800;;M;;_;_;-;-;B;D;C;76870YAC6
8/9/2018;09:50:09;8/13/2018;Trade;1000000;98.400;;M;;_;_;-;-;S;D;C;76870YAC6
8/9/2018;09:49:21;8/13/2018;Trade;1000000;98.300;;M;;_;_;-;-;B;D;C;76870YAC6
6/5/2018;08:53:57;6/7/2018;Cancel;250000;98.265;;M;;_;_;-;-;S;D;C;76870YAC6
6/5/2018;08:53:57;6/7/2018;Correction;278000;98.265;;M;;Z;_;-;-;S;D;C;76870YAC6
6/5/2018;08:52:40;6/7/2018;Cancel;250000;98.215;;M;;_;_;-;-;B;D;C;76870YAC6
6/5/2018;08:52:40;6/7/2018;Correction;278000;98.215;;M;;Z;_;-;-;B;D;C;76870YAC6
4/4/2018;11:29:32;4/6/2018;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;76870YAC6
4/4/2018;11:28:54;4/6/2018;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;76870YAC6
4/4/2018;11:28:08;4/6/2018;Trade;500000;98.500;;M;;_;_;-;-;S;D;C;76870YAC6
4/4/2018;11:27:39;4/6/2018;Trade;250000;98.500;;M;;_;_;-;-;S;D;C;76870YAC6
4/4/2018;11:25:12;4/6/2018;Trade;1MM+;98.300;;M;;_;_;-;-;B;D;C;76870YAC6
11/21/2017;10:08:51;11/24/2017;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;76870YAC6
11/21/2017;10:08:45;11/24/2017;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;76870YAC6
11/21/2017;09:44:32;11/24/2017;Trade;348000;99.750;;M;;_;_;-;-;S;D;C;76870YAC6
11/21/2017;09:33:24;11/24/2017;Trade;348000;99.650;;M;;_;_;-;-;B;D;C;76870YAC6
10/31/2017;11:08:25;11/2/2017;Trade;1000000;99.750;;M;;_;_;-;-;S;D;C;76870YAC6
10/31/2017;11:07:54;11/2/2017;Trade;1000000;99.500;;M;;_;_;-;-;B;D;C;76870YAC6
10/11/2017;14:12:36;10/13/2017;Trade;695000;100.300;;M;;_;_;-;-;S;D;C;76870YAC6
10/11/2017;14:12:36;10/13/2017;Trade;695000;100.200;;M;;_;_;-;-;B;D;C;76870YAC6
