Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS;Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/09/2016;12:00:00;12/09/2016;Trade;7400000;102,05 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
12/05/2016;12:00:00;12/09/2016;Trade;7400000;102,25 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
09/26/2016;12:00:00;12/09/2016;Trade;2000000;103,80 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
07/11/2016;12:00:00;12/09/2016;Trade;2000000;102,91 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
05/05/2016;12:00:00;12/09/2016;Trade;7350000;103,60 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
05/03/2016;12:00:00;12/09/2016;Trade;500000;103,35 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
04/12/2016;12:00:00;12/09/2016;Trade;7350000;103,35 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
03/04/2016;12:00:00;12/09/2016;Trade;2000000;103,15 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
03/03/2016;12:00:00;12/09/2016;Trade;7350000;103,25 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
02/12/2016;12:00:00;12/09/2016;Trade;7350000;103,35 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
01/29/2016;12:00:00;12/09/2016;Trade;7350000;103,60 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
01/11/2016;12:00:00;12/09/2016;Trade;7350000;103,95 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
01/07/2016;12:00:00;12/09/2016;Trade;7350000;104,10 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
09/23/2015;12:00:00;12/09/2016;Trade;1500000;105,10 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
07/28/2015;12:00:00;12/09/2016;Trade;500000;103,70 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
05/11/2015;12:00:00;12/09/2016;Trade;9520000;103,10 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
03/06/2015;12:00:00;12/09/2016;Trade;2000000;105,75 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
02/05/2015;12:00:00;12/09/2016;Trade;2000000;106,30 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
12/02/2014;12:00:00;12/09/2016;Trade;7520000;107,25 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
10/22/2014;12:00:00;12/09/2016;Trade;7520000;107,90 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
09/11/2014;12:00:00;12/09/2016;Trade;1000000;106,25 ;-;-;-;-;-;-;-;-;-;-;76117PAB0
