Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS;Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
07/12/2017;12:00:00;07/12/2017;Trade;1000000;100,10 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
06/28/2017;12:00:00;06/28/2017;Trade;8150000;99,90 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
06/22/2017;12:00:00;06/22/2017;Trade;500000;100,15 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
12/15/2016;12:00:00;12/15/2016;Trade;2000000;104,10 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
06/29/2016;12:00:00;06/29/2016;Trade;7350000;101,80 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
05/03/2016;12:00:00;05/03/2016;Trade;17700000;100,90 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
03/16/2016;12:00:00;03/16/2016;Trade;7350000;101,85 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
01/06/2016;12:00:00;01/06/2016;Trade;1000000;103,20 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
11/05/2015;12:00:00;11/05/2015;Trade;780000;105,20 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
10/28/2015;12:00:00;10/28/2015;Trade;7350000;105,20 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
09/03/2015;12:00:00;09/03/2015;Trade;8100000;102,90 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
06/23/2015;12:00:00;06/23/2015;Trade;4860000;101,90 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
05/28/2015;12:00:00;05/28/2015;Trade;1000000;102,30 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
04/27/2015;12:00:00;04/27/2015;Trade;7000520;103,00 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
02/12/2015;12:00:00;02/12/2015;Trade;500000;102,94 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
02/05/2015;12:00:00;02/05/2015;Trade;1000000;103,15 ;-;-;-;-;-;-;-;-;-;-;76117PAC8
