Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS;Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/21/2017;12:00:00;11/21/2017;Trade;500000;99,245 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
06/06/2017;12:00:00;06/06/2017;Trade;2000000;100,30 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
04/25/2017;12:00:00;04/25/2017;Trade;7400000;100,20 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
03/09/2017;12:00:00;03/09/2017;Trade;7400000;100,60 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
09/22/2016;12:00:00;09/22/2016;Trade;7400000;101,00 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
05/23/2016;12:00:00;05/23/2016;Trade;1500000;99,60 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
02/03/2016;12:00:00;02/03/2016;Trade;7350000;99,80 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
01/06/2016;12:00:00;01/06/2016;Trade;1000000;99,70 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
04/08/2015;12:00:00;04/08/2015;Trade;7520000;100,60 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
03/05/2015;12:00:00;03/05/2015;Trade;1100000;101,00 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
02/12/2015;12:00:00;02/12/2015;Trade;500000;100,99 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
02/11/2015;12:00:00;02/11/2015;Trade;900000;101,09 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
01/30/2015;12:00:00;01/30/2015;Trade;7520000;101,05 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
12/15/2014;12:00:00;12/15/2014;Trade;7520000;101,35 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
08/22/2014;12:00:00;08/22/2014;Trade;7520000;100,50 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
08/20/2014;12:00:00;08/20/2014;Trade;2000000;100,25 ;-;-;-;-;-;-;-;-;-;-;76117PAD6
